Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.11,0.11,0.78,1000.0,0.996758829755748,5.7e-322,0.0,0.0,9927.051523114062
0.11,0.11,0.78,2000.0,0.9967586656108924,5.9e-322,0.0,0.0,9927.051530721385
0.11,0.11,0.78,4000.0,0.9967587798925424,6.03e-322,0.0,0.0,9927.051525424982
0.11,0.33,0.56,1000.0,0.9967587629202708,6.13e-322,0.0,0.0,9927.051526211575
0.11,0.33,0.56,2000.0,0.9967586645895438,5.93e-322,0.0,0.0,9927.05153076871
0.11,0.33,0.56,4000.0,0.9967585213286598,6.1e-322,0.0,0.0,9927.05153740817
0.11,0.56,0.32999999999999996,1000.0,0.99675872264556,6.13e-322,0.0,0.0,9927.051528078106
0.11,0.56,0.32999999999999996,2000.0,0.9967585487849102,6.1e-322,0.0,0.0,9927.051536135692
0.11,0.56,0.32999999999999996,4000.0,0.996758597715392,6.13e-322,0.0,0.0,9927.051533868023
0.11,0.78,0.10999999999999999,1000.0,0.9967586627383918,6.13e-322,0.0,0.0,9927.051530854511
0.11,0.78,0.10999999999999999,2000.0,0.9484779707680151,0.7407100478066699,2123.2660789175047,6846.833335772028,510.5244058265516
0.11,0.78,0.10999999999999999,4000.0,0.9472473214124792,0.82540531201325,1608.4049685471136,7589.344903361965,272.05048227734716
0.33,0.11,0.56,1000.0,0.9967585731326334,4.45e-322,0.0,0.0,9927.0515350073
0.33,0.11,0.56,2000.0,0.9967585628236804,6.13e-322,0.0,0.0,9927.051535485078
0.33,0.11,0.56,4000.0,0.9967587469944156,6.13e-322,0.0,0.0,9927.051526949643
0.33,0.33,0.33999999999999997,1000.0,0.9967586634573786,5.83e-322,0.0,0.0,9927.05153082119
0.33,0.33,0.33999999999999997,2000.0,0.9967585649491528,6.13e-322,0.0,0.0,9927.051535386569
0.33,0.33,0.33999999999999997,4000.0,0.9967586627388504,5.7e-322,0.0,0.0,9927.051530854498
0.33,0.56,0.10999999999999988,1000.0,0.9967586625715732,4.2e-322,0.0,0.0,9927.051530862249
0.33,0.56,0.10999999999999988,2000.0,0.996758663632974,4.2e-322,0.0,0.0,9927.051530813049
0.33,0.56,0.10999999999999988,4000.0,0.9967586627427863,5.83e-322,0.0,0.0,9927.05153085431
0.56,0.11,0.32999999999999996,1000.0,0.9967586660352408,5.4e-322,0.0,0.0,9927.051530701705
0.56,0.11,0.32999999999999996,2000.0,0.99675870603366,4.55e-322,0.0,0.0,9927.051528847976
0.56,0.11,0.32999999999999996,4000.0,0.996758665014845,4.4e-322,0.0,0.0,9927.051530748997
0.56,0.33,0.10999999999999988,1000.0,0.9967586636511776,5.93e-322,0.0,0.0,9927.051530812194
0.56,0.33,0.10999999999999988,2000.0,0.996758663729259,5.9e-322,0.0,0.0,9927.051530808596
0.56,0.33,0.10999999999999988,4000.0,0.996758666189122,5.73e-322,0.0,0.0,9927.051530694587
0.78,0.11,0.10999999999999999,1000.0,0.9967584133757976,0.0,0.0,0.0,9927.05154241126
0.78,0.11,0.10999999999999999,2000.0,0.996758663729868,0.0,0.0,0.0,9927.051530808549
0.78,0.11,0.10999999999999999,4000.0,0.9967585628197292,0.0,0.0,0.0,9927.051535485254
