,Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq,Tpos_0,Tpro_0,Tneg_0
Tpos_ir,1.0,-0.4999701082082862,-0.5000149456724838,1.3563648069766937e-17,0.39046177916181923,-0.38890176177813063,-0.38055831339422075,-0.38910811937193285,0.3904617792313787,0.7222372147142148,-0.36109701839271696,-0.3607758044853392
Tpro_ir,-0.4999701082082862,1.0,-0.5000149456724838,0.0,-0.6863736391836152,0.6901063747966886,0.6527332829709681,0.6900263901147828,-0.6863722755995653,-0.3610970183927172,0.7222372147142149,-0.36077580448533925
Tneg_ir,-0.5000149456724838,-0.5000149456724838,1.0,6.781621323101059e-18,0.2959030150826949,-0.3011956098766801,-0.27216683414401843,-0.30090927615987184,0.29590165146984576,-0.36112940167797397,-0.36112940167797386,0.7215300414673039
Totcell,1.3563648069766937e-17,0.0,6.781621323101059e-18,1.0,-0.1310390321761719,0.1466679312318935,0.08722458294868178,0.14563274086799718,-0.13103560459024566,0.5738791125983493,0.5738791125983493,0.5750216882048523
o2_eq,0.39046177916181923,-0.6863736391836152,0.2959030150826949,-0.1310390321761719,1.0,-0.9960063714410088,-0.9746323047583234,-0.9965347524725923,0.9999999998218273,0.25716500085187455,-0.6221899985644913,0.13905702890340052
test_eq,-0.38890176177813063,0.6901063747966886,-0.3011956098766801,0.1466679312318935,-0.9960063714410088,1.0,0.9507575497974459,0.9999812264900315,-0.9960046858969704,-0.25307553289850426,0.6494334604657018,-0.14345129006008728
Tpos_eq,-0.38055831339422075,0.6527332829709681,-0.27216683414401843,0.08722458294868178,-0.9746323047583234,0.9507575497974459,1.0,0.9526388415834803,-0.9746365294532497,-0.25831824030059375,0.5318838353578069,-0.123121820998219
Tpro_eq,-0.38910811937193285,0.6900263901147828,-0.30090927615987184,0.14563274086799718,-0.9965347524725923,0.9999812264900315,0.9526388415834803,1.0,-0.9965331821667165,-0.25342081273503275,0.6477295143413107,-0.14318633809532597
Tneg_eq,0.3904617792313787,-0.6863722755995653,0.29590165146984576,-0.13103560459024566,0.9999999998218273,-0.9960046858969704,-0.9746365294532497,-0.9965331821667165,1.0,0.257165650668465,-0.6221837027764171,0.139055991313602
Tpos_0,0.7222372147142148,-0.3610970183927172,-0.36112940167797397,0.5738791125983493,0.25716500085187455,-0.25307553289850426,-0.25831824030059375,-0.25342081273503275,0.257165650668465,1.0,-0.005974098873341085,-0.005020122349614853
Tpro_0,-0.36109701839271696,0.7222372147142149,-0.36112940167797386,0.5738791125983493,-0.6221899985644913,0.6494334604657018,0.5318838353578069,0.6477295143413107,-0.6221837027764171,-0.005974098873341085,1.0,-0.005020122349614872
Tneg_0,-0.3607758044853392,-0.36077580448533925,0.7215300414673039,0.5750216882048523,0.13905702890340052,-0.14345129006008728,-0.123121820998219,-0.14318633809532597,0.139055991313602,-0.005020122349614853,-0.005020122349614872,1.0
