Tpos_o2_Eff,Tpos_test_Eff,Tpro_o2_Eff,Tpro_test_Eff,Tneg_o2_Eff,TotCell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_Null,1000,0.9967586634466848,5.93e-322,0.0,0.0,9927.051530821673
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_Null,2000,0.9967585193971586,5.93e-322,0.0,0.0,9927.051537497688
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_Null,4000,0.9967585731096802,6.03e-322,0.0,0.0,9927.051535008372
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_HE,1000,0.9964227116489895,6.03e-322,0.0,0.0,9959.330658105906
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_HE,2000,0.996423017237166,5.93e-322,0.0,0.0,9959.330658105906
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_HE,4000,0.9964229617840356,6e-322,0.0,0.0,9959.330658105906
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_LE,1000,0.9969495220645332,4.8e-322,0.0,0.0,9908.699890383828
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_LE,2000,0.9969495309641796,5.9e-322,0.0,0.0,9908.699889696185
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_LE,4000,0.9969497769954844,5.4e-322,0.0,0.0,9908.699870686109
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_LE,Tpro_test_LE,Tneg_o2_Null,1000,0.9967586646304942,3.3e-322,0.0,0.0,9927.051530766816
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_LE,Tpro_test_LE,Tneg_o2_Null,2000,0.9967586634564699,3.4e-322,0.0,0.0,9927.051530821225
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_LE,Tpro_test_LE,Tneg_o2_Null,4000,0.9967585249260592,5.93e-322,0.0,0.0,9927.05153724145
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_LE,Tpro_test_LE,Tneg_o2_HE,1000,0.996423161978022,5.83e-322,0.0,0.0,9959.330658105906
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_LE,Tpro_test_LE,Tneg_o2_HE,2000,0.996422960394346,5.7e-322,0.0,0.0,9959.330658105906
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_LE,Tpro_test_LE,Tneg_o2_HE,4000,0.9964229559932252,6.13e-322,0.0,0.0,9959.330658105906
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_LE,Tpro_test_LE,Tneg_o2_LE,1000,0.9969494051263784,4.8e-322,0.0,0.0,9908.699899419296
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_LE,Tpro_test_LE,Tneg_o2_LE,2000,0.9969495871626382,5.53e-322,0.0,0.0,9908.699885353912
Tpos_o2_Null,Tpos_test_HE,Tpro_o2_LE,Tpro_test_LE,Tneg_o2_LE,4000,0.9969495797400841,5.83e-322,0.0,0.0,9908.699885927415
Tpos_o2_LE,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_Null,1000,0.9967586631297081,6.03e-322,0.0,0.0,9927.05153083638
Tpos_o2_LE,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_Null,2000,0.9967586053387131,6.1e-322,0.0,0.0,9927.051533514705
Tpos_o2_LE,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_Null,4000,0.9967583867694332,6.13e-322,0.0,0.0,9927.051543644347
Tpos_o2_LE,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_HE,1000,0.9964229615026224,5.5e-322,0.0,0.0,9959.330658105906
Tpos_o2_LE,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_HE,2000,0.9964229605938808,6e-322,0.0,0.0,9959.330658105906
Tpos_o2_LE,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_HE,4000,0.9964229603755912,5.93e-322,0.0,0.0,9959.330658105906
Tpos_o2_LE,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_LE,1000,0.9969495205842694,5.7e-322,0.0,0.0,9908.699890498212
Tpos_o2_LE,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_LE,2000,0.9969496374289298,6.03e-322,0.0,0.0,9908.699881469976
Tpos_o2_LE,Tpos_test_HE,Tpro_o2_Null,Tpro_test_LE,Tneg_o2_LE,4000,0.9969495205801956,3.2e-322,0.0,0.0,9908.699890498518
