t,Tpos,Tpro,Tneg,o2,test
0,0.0,1000.0,1000.0,0.5,0.0
60,0.0,0.00010074004157014133,426.2667437167192,1.0941075126531612,0.00010934977185862927
120,0.0,9.198233421893862e-08,437.7466689160873,1.095463838258013,8.60179152090139e-05
180,0.0,4.322683743639125e-11,449.52118650520003,1.095345551801,6.766390127902441e-05
240,0.0,-9.245229475257453e-09,461.5970588120834,1.09522049722134,5.322662941248304e-05
300,0.0,8.609803670927757e-10,473.98116867266947,1.0950922424324385,4.187034862144846e-05
360,0.0,-4.912882052307326e-10,486.6805063787493,1.0949607196276714,3.2939002301269836e-05
420,0.0,-7.227619445589839e-11,499.70217206514303,1.0948258569149711,2.591351002248452e-05
480,0.0,1.1378009526179892e-10,513.0533744579852,1.0946875802655536,2.0384352938995348e-05
540,0.0,1.449868573713475e-10,526.7414311698699,1.0945458123971206,1.603109688372305e-05
600,0.0,1.4788270635395241e-09,540.7737745368406,1.094400476887428,1.2608218128640186e-05
660,0.0,-8.757417671605048e-09,555.157938337243,1.0942514958350325,9.917251157371864e-06
720,0.0,4.042658190060305e-09,569.9015590493359,1.0940987896826952,7.80093723588742e-06
780,0.0,-5.545524390164929e-10,585.0123759083833,1.0939422781588501,6.136205944107424e-06
840,0.0,-5.109950318044897e-10,600.4982286952016,1.093781879938884,4.826737114712304e-06
900,0.0,5.316302677473509e-10,616.3670543681275,1.0936175125473435,3.7966991469266537e-06
960,0.0,-1.2207914851890461e-09,632.626884197825,1.093449092738278,2.9861775482818974e-06
1020,0.0,4.5729806488612414e-10,649.2858414674306,1.0932765361263428,2.3486591056277614e-06
1080,0.0,3.253789379559441e-10,666.3521378365048,1.0930997574834869,1.8475625705029795e-06
1140,0.0,-7.730067019661796e-12,683.8340705928423,1.0929186706358236,1.4535445787684445e-06
1200,0.0,-7.932260232375985e-12,701.7400149213439,1.0927331886309963,1.1436832142226736e-06
1260,0.0,9.068727157474484e-12,720.0784219006731,1.0925432237066028,8.998995411972702e-07
1320,0.0,3.811650180690979e-11,738.8578062959574,1.0923486874306594,7.076160356114433e-07
1380,0.0,2.7460091607106486e-11,758.0867610927427,1.09214949054708,5.561194424112501e-07
1440,0.0,-9.18047624454222e-12,777.7739414139774,1.0919455431453544,4.370437968593842e-07
1500,0.0,3.806014812868294e-11,797.9280545516915,1.0917367547623027,3.4357747907103353e-07
1560,0.0,-8.900870013354111e-11,818.5578545630868,1.091523034436797,2.7019516866562186e-07
1620,0.0,2.1503145941474885e-10,839.6721373091406,1.0913042907612054,2.1251425432804163e-07
1680,0.0,-5.72007070839159e-10,861.2797344694702,1.0910804319430496,1.671296122472161e-07
1740,0.0,1.1468530409886784e-09,883.389505985599,1.090851365883059,1.3140653404163022e-07
1800,0.0,-3.934422600006854e-09,906.0103313637923,1.0906170002640398,1.0327734510259452e-07
1860,0.0,2.510589915599949e-10,929.1511076629959,1.0903772425733613,8.121881767314615e-08
1920,0.0,1.0413603068761613e-11,952.8207276657736,1.0901320003243558,6.389037985198891e-08
1980,0.0,8.430733048093815e-11,977.028077732378,1.089881181083023,5.027447545503495e-08
2040,0.0,2.5593318168313204e-12,1001.7820292897919,1.0896246925529525,3.9580922355870534e-08
2100,0.0,-1.7724894902049038e-12,1027.0914289261511,1.089362442679124,3.1173174335894244e-08
2160,0.0,-2.5788574953881045e-13,1052.9650867458324,1.0890943397661887,2.4554761204712118e-08
2220,0.0,-8.612245076511691e-13,1079.4117648375827,1.0888202925983923,1.9341417856065106e-08
2280,0.0,1.8056891650586333e-12,1106.4401705706032,1.08854021051085,1.5228664976691635e-08
2340,0.0,-3.490417413051213e-13,1134.0589346504762,1.088254003611715,1.1984494677126015e-08
2400,0.0,-2.6299372609930304e-13,1162.2765996602252,1.087961582899808,9.431006795162559e-09
2460,0.0,2.3497213035275155e-13,1191.1016168052488,1.087662860309746,7.421349856428554e-09
2520,0.0,4.567846759175689e-13,1220.5423288218012,1.0873577488782273,5.838078928136449e-09
2580,0.0,4.2174958780906713e-13,1250.6069534640342,1.0870461629117545,4.58950176511701e-09
2640,0.0,7.961715711133099e-13,1281.3035547702464,1.0867280182923864,3.607359252201693e-09
2700,0.0,-3.55761390142643e-13,1312.6400448529841,1.0864032324609618,2.8363838558673783e-09
2760,0.0,1.3577593928603027e-12,1344.62417069394,1.086071724543959,2.231020477012757e-09
2820,0.0,-5.899843102388151e-12,1377.2634910246422,1.0857334155939893,1.7548559463682664e-09
2880,0.0,1.0256564626040744e-12,1410.5653678172464,1.0853882286840562,1.3798503254337322e-09
2940,0.0,2.5265499228434224e-11,1444.5369393418216,1.0850360891898132,1.0846468660574722e-09
3000,0.0,-2.0867881962667112e-10,1479.1851056210455,1.0846769249253974,8.524108155317594e-10
3060,0.0,8.549036803221584e-10,1514.5165105649198,1.0843106663459587,6.698079950252218e-10
3120,0.0,-1.8767037114374428e-09,1550.5375268147131,1.083937246690313,5.263669627032079e-10
3180,0.0,-8.692607237265457e-10,1587.2542395184128,1.0835566021554666,4.138556629868672e-10
3240,0.0,3.0027502902185736e-11,1624.6724228540302,1.0831686721461309,3.256988253633967e-10
3300,0.0,-1.9375892795976565e-12,1662.797508305984,1.0827733995897446,2.5621067492952447e-10
3360,0.0,6.988952319591158e-14,1701.6345880470842,1.0823707309136137,2.0155988582523832e-10
3420,0.0,-5.01530654922534e-14,1741.1883883276814,1.081960616316454,1.5857196852130633e-10
3480,0.0,-2.4208632048359088e-14,1781.4632625929983,1.0815430098409577,1.247274944848514e-10
3540,0.0,-1.563362969575822e-14,1822.4631442883028,1.0811178698616974,9.80817627784503e-11
3600,0.0,-2.879580552167505e-15,1864.1915236988045,1.0806851593283253,7.71326747314399e-11
3660,0.0,-1.8580152195903527e-14,1906.651456821784,1.0802448456736229,6.066637407273036e-11
3720,0.0,-1.6698619137940076e-14,1949.8455236479374,1.0797969012459177,4.770045846301096e-11
3780,0.0,-1.2571123767080867e-13,1993.775855117236,1.0793413030302854,3.750298376027571e-11
3840,0.0,2.1157506933238227e-14,2038.4440506790593,1.07887803350547,2.9481781167413315e-11
3900,0.0,1.770903347019441e-14,2083.8511862258392,1.0784070805617538,2.3173244800184256e-11
3960,0.0,1.2091931050117338e-14,2129.997793396834,1.0779284377168035,1.821430130930566e-11
4020,0.0,4.491197976711225e-14,2176.883842909086,1.077442104289625,1.4318713928126187e-11
4080,0.0,-8.63514885495105e-14,2224.5087241426504,1.0769480856138975,1.1257065475182124e-11
4140,0.0,1.5599639443163164e-13,2272.87122781891,1.0764463932187789,8.849682787964629e-12
4200,0.0,5.202061306096513e-13,2321.9695245955436,1.0759370450526649,6.954027588207909e-12
4260,0.0,7.952090676703454e-13,2371.8011737305565,1.0754200653933108,5.469159942108588e-12
4320,0.0,8.929591640522034e-15,2422.363068991465,1.0748954854154842,4.307880457353732e-12
4380,0.0,-5.461400035939143e-13,2473.651444046209,1.0743633431293345,3.4002760202582213e-12
4440,0.0,4.670107465299268e-12,2525.6618483153475,1.0738236836317638,2.69092508997231e-12
4500,0.0,-1.5217315672136394e-12,2578.389143060755,1.0732765591704436,2.1343003434191398e-12
4560,0.0,-4.0103070365456535e-11,2631.827481780335,1.0727220293370432,1.6910861805659554e-12
4620,0.0,4.725272889880728e-11,2685.970313303428,1.0721601609791411,1.3389419074062067e-12
4680,0.0,2.1295651834862806e-10,2740.810358163298,1.071591028529684,1.0571925278810084e-12
4740,0.0,-7.430791474196339e-10,2796.339606984429,1.0710147141308477,8.243696417886244e-13
4800,0.0,-2.1694454242836913e-09,2852.5493105348955,1.0704313074436311,6.334844161503407e-13
4860,0.0,-1.9929050519999295e-09,2909.4299705952176,1.069840905816339,4.860830513250393e-13
4920,0.0,1.9371715498678038e-10,2966.9713286909187,1.069243614644151,3.7711866365254744e-13
4980,0.0,1.45568992633887e-09,3025.162393585365,1.0686395470295766,2.9613365500566546e-13
5040,0.0,1.00820075841494e-09,3083.99138283758,1.0680288242255864,2.365568281536327e-13
5100,0.0,-1.2349180757928753e-09,3143.4457711201717,1.0674115752021434,1.958439714292341e-13
5160,0.0,-3.0053198777337327e-09,3203.5122860773445,1.0667879366382194,1.7967111921265922e-13
5220,0.0,-3.3239996737462945e-09,3264.176895787337,1.0661580531168011,1.7265279092665803e-13
5280,0.0,-2.9971848058507366e-10,3325.424828390651,1.0655220768507951,1.4456055328422945e-13
5340,0.0,4.091917712692077e-09,3387.2405704782723,1.0648801679214537,8.175310088336952e-14
5400,0.0,3.785124316576339e-09,3449.607876156108,1.0642324941488395,-3.0157363142123815e-14
5460,0.0,6.266522213927861e-10,3512.509781615801,1.0635792308313552,-1.1449764313632717e-13
5520,0.0,-2.2096766263727248e-09,3575.928608830024,1.062920560850328,-2.1753992655685725e-14
5580,0.0,-3.9661466368994635e-09,3639.845992630373,1.062256673841912,1.4133120804465044e-13
5640,0.0,-6.084718944936349e-10,3704.242881638018,1.061587766465578,2.1932150665723275e-13
5700,0.0,2.678781877228465e-09,3769.099574937562,1.0609140422639058,1.9217906655505864e-13
5760,0.0,-1.052164833534111e-09,3834.3957213978874,1.0602357112883443,-7.439833707277453e-14
5820,0.0,-4.063567011549801e-09,3900.110359690257,1.059552991457108,-3.9164018737147585e-13
5880,0.0,1.100193705584384e-09,3966.2219305492467,1.0588661071259093,-4.832148418356534e-13
5940,0.0,1.7813815211735936e-09,4032.7083102312718,1.0581752858335833,-4.655783181853799e-13
6000,0.0,-1.1354796917251389e-10,4099.546830180265,1.0574807623011075,-3.021251286855314e-13
6060,0.0,3.6514452721834616e-09,4166.714307487993,1.0567827769896683,-1.1290052349017531e-13
6120,0.0,1.824003254232883e-09,4234.187077218841,1.0560815753157462,1.5360683325004862e-14
6180,0.0,-8.275638604855586e-09,4301.94101693841,1.0553774078521803,-2.3926567876406033e-14
6240,0.0,-4.1809702925123e-09,4369.951589253467,1.0546705288214768,-1.3472993996185241e-14
