t,Tpos,Tpro,Tneg,o2,test
0,0.0,1800.0,200.0,0.5,0.0
60,0.0,995.5618254768207,204.86433828571703,1.0799771147181874,0.024988260670530504
120,0.0,952.6140299867616,209.94395636832314,1.0822058817282487,0.042430712733037806
180,0.0,930.4031972772791,215.16479360698258,1.0825550748408563,0.05544271610818814
240,0.0,916.1535696840685,220.52311460576803,1.082748537233294,0.06526581103804621
300,0.0,905.9873858751077,226.01902655474217,1.0828664194841824,0.07271291437913963
360,0.0,898.2177252809576,231.65404459599827,1.0829402162936401,0.07836391499482365
420,0.0,891.963574862619,237.4303819467423,1.0829858777750936,0.08264655576973824
480,0.0,886.710231272646,243.35066676372404,1.0830125637589414,0.0858816006037578
540,0.0,882.133380728128,249.4178075361934,1.0830259407898593,0.0883118430403317
600,0.0,878.0174522217961,255.63492157351723,1.0830297287924893,0.0901220792893786
660,0.0,874.2133138147801,262.00529362034354,1.0830264857826417,0.09145350533080934
720,0.0,870.6146891823284,268.53235090982395,1.0830180127828353,0.09241423053616624
780,0.0,867.1439819280089,275.21964692763464,1.0830056305022402,0.0930872129202408
840,0.0,863.7435475783741,282.0708517773791,1.0829902156064921,0.09353608636049221
900,0.0,860.3697998709209,289.0897436843854,1.0829725452338363,0.09380975555140657
960,0.0,856.9893067028058,296.2802080835521,1.082953100398645,0.0939458348833999
1020,0.0,853.576149181989,303.6462305681488,1.082932345289527,0.09397318206766067
1080,0.0,850.1099454134015,311.19189603685004,1.0829105216238084,0.09391395884908244
1140,0.0,846.574424445474,318.92139359810767,1.0828878675202742,0.09378520698592618
1200,0.0,842.9564598401118,326.8390074016002,1.0828646133484305,0.09359996697149081
1260,0.0,839.2452908584443,334.949118796597,1.082840830778948,0.09336820917377978
1320,0.0,835.4319179095099,343.256217970426,1.0828166469677343,0.09309756856630974
1380,0.0,831.5087081970588,351.7648900184451,1.0827921728250978,0.09279385107787803
1440,0.0,827.4690724830895,360.4798143429864,1.0827674083221936,0.09246144517775991
1500,0.0,823.3071766512512,369.40578911602637,1.082742448943066,0.09210367159529007
1560,0.0,819.0177884040926,378.5477042053586,1.082717308673157,0.0917230063342563
1620,0.0,814.5961075234688,387.9105615443332,1.082692037455945,0.09132128368471329
1680,0.0,810.037661845922,397.4994708258366,1.0826666354201775,0.09089983646776019
1740,0.0,805.338225013064,407.31964249652407,1.0826411209599875,0.09045961023994387
1800,0.0,800.493735511049,417.3764100317448,1.0826155080562094,0.09000125058794599
1860,0.0,795.5002571745496,427.67521010482005,1.082589815100005,0.08952517261237279
1920,0.0,790.3539295932751,438.2215917128326,1.0825640297137575,0.0890316182253387
1980,0.0,785.050943667993,449.0212157287283,1.0825381648011017,0.08852068986802371
2040,0.0,779.5875231553877,460.0798666543213,1.0825122227991069,0.08799236804184415
2100,0.0,773.9599005452556,471.40345246775104,1.0824862014144974,0.08744654370833232
2160,0.0,768.1642973712458,482.99799594944153,1.0824600997483251,0.08688305143642919
2220,0.0,762.1969188866012,494.86964033784034,1.0824339164599182,0.08630167500753615
2280,0.0,756.053949121939,507.0246523938957,1.082407649072234,0.08570215374263826
2340,0.0,749.731545286067,519.4694248759729,1.0823812938012416,0.08508419084133456
2400,0.0,743.2258331779484,532.2104780551668,1.0823548459962127,0.08444746154100513
2460,0.0,736.532904475895,545.2544606484136,1.0823283001488733,0.08379161952872474
2520,0.0,729.6488161010336,558.608151555394,1.0823016501181348,0.0831163014780397
2580,0.0,722.5695909147553,572.2784605513182,1.0822748894270995,0.08242112749479782
2640,0.0,715.2912186293394,586.2724308093849,1.0822480100938188,0.08170570570134594
2700,0.0,707.8096586070064,600.5972399130598,1.082221003504494,0.08096963301493391
2760,0.0,700.120840998103,615.2602006886094,1.0821938600763836,0.08021249645603447
2820,0.0,692.2206724617079,630.2687639072076,1.0821665692674167,0.07943387632068351
2880,0.0,684.10504113077,645.6305188464244,1.0821391193571568,0.07863334615352338
2940,0.0,675.769818443781,661.3531936705875,1.0821114974807975,0.07781047321574497
3000,0.0,667.2108686334976,677.4446575981219,1.0820836894285866,0.07696482045492897
3060,0.0,658.4240565897271,693.9129215653674,1.082055679544044,0.07609594706075841
3120,0.0,649.4052545667834,710.7661387770657,1.0820274505925873,0.07520340918740262
3180,0.0,640.1503469397105,728.0126052604644,1.081998983685102,0.07428676052006519
3240,0.0,630.655251300015,745.6607613458868,1.0819702579202695,0.07334555427234636
3300,0.0,620.9159248370337,763.7191915166505,1.0819412502884234,0.07237934356657419
3360,0.0,610.9283785414362,782.1966247308196,1.0819119354406177,0.07138768259239917
3420,0.0,600.6886934070321,801.1019344890213,1.0818822854273629,0.07037012787038363
3480,0.0,590.1930360457964,820.4441387209414,1.0818522694501571,0.0693262394462873
3540,0.0,579.4376807208821,840.2323994997007,1.0818218535128756,0.06825558256352546
3600,0.0,568.4190296771095,860.4760225122869,1.0817910001048987,0.06715772915807662
3660,0.0,557.1336438792159,881.184456030077,1.0817596677187336,0.06603226010148217
3720,0.0,545.5782705583745,902.3672897656922,1.0817278104108135,0.06487876732699865
3780,0.0,533.7498743393702,924.0342533520482,1.0816953773387834,0.06369685601311321
3840,0.0,521.6456750567743,946.1952144196306,1.0816623121672113,0.06248614731557489
3900,0.0,509.2631913612448,968.8601762232162,1.0816285523952192,0.061246281514217765
3960,0.0,496.6002900976614,992.0392747888756,1.0815940286002685,0.05997692155980773
4020,0.0,483.6552391090979,1015.7427757061655,1.0815586636277512,0.05867775685582019
4080,0.0,470.4267795869534,1039.981069663957,1.0815223714875766,0.05734850833071178
4140,0.0,456.9141946178604,1064.7646680324322,1.081485056298725,0.05598893333730352
4200,0.0,443.1173944405549,1090.1041973352014,1.0814466109877843,0.054598831663157085
4260,0.0,429.03701422035925,1116.0103929160075,1.081406915812334,0.053178052295990874
4320,0.0,414.67452421475855,1142.4940917756564,1.0813658366657046,0.05172650102926512
4380,0.0,400.0323719360068,1169.566223349461,1.0813232229079612,0.05024415026005285
4440,0.0,385.11412894185725,1197.2378000371077,1.0812789051410414,0.04873104911735692
4500,0.0,369.92467215591665,1225.519905650434,1.0812326924387865,0.04718733565624945
4560,0.0,354.4703901543943,1254.423682462804,1.081184369204025,0.04561325073729364
4620,0.0,338.75943348371044,1283.960315734085,1.0811336913535676,0.04400915476164106
4680,0.0,322.80200811210307,1314.141015951233,1.0810803818487849,0.04237554704626062
4740,0.0,306.61072383191157,1344.9769981504219,1.08102412537234,0.04071308871944641
4800,0.0,290.2009933889448,1376.4794587338847,1.0809645622519994,0.03902262873386312
4860,0.0,273.59153240675386,1408.6595471445792,1.0809012808351075,0.03730523597603645
4920,0.0,256.8049539405972,1441.5283328736552,1.0808338083764424,0.03556223756029944
4980,0.0,239.86844872600795,1475.0967687453224,1.0807616007344019,0.033795261892445916
5040,0.0,222.81464481198122,1509.3756454396348,1.0806840291252082,0.032006292663546675
5100,0.0,205.68262733589617,1544.3755386719579,1.080600364656556,0.030197732926482566
5160,0.0,188.51916317909718,1580.1067469429902,1.080509759501299,0.028372481377467142
5220,0.0,171.38018330379938,1616.5792171326977,1.0804112242685757,0.026534024564366324
5280,0.0,154.33255739083538,1653.8024560127526,1.080303600786332,0.024686547606324417
5340,0.0,137.45620327059402,1691.7854245945537,1.0801855297359975,0.022835066837515915
5400,0.0,120.84655997044158,1730.5364116223727,1.0800554126074358,0.020985588246300185
5460,0.0,104.61740150068552,1770.0628825176304,1.0799113682307706,0.019145294335324897
5520,0.0,88.90387807050192,1810.3712996656614,1.0797511854597928,0.017322760282492248
5580,0.0,73.86548537325437,1851.4669110439631,1.0795722762775912,0.015528195174597064
5640,0.0,59.68825656740843,1893.3535044125747,1.0793716395031347,0.013773694884673322
5700,0.0,46.58484414138426,1936.0331346581474,1.0791458548992083,0.0120734684429144
5760,0.0,34.79000376651053,1979.5058374349849,1.0788911440914837,0.010443969668859953
5820,0.0,24.547339303069492,2023.7693679811969,1.0786035609905578,0.008903797434369958
5880,0.0,16.08141526528888,2068.8190378580894,1.0782794025795952,0.007473140449157904
5940,0.0,9.54936528062468,2114.647771161367,1.0779159383920953,0.006172444074104396
6000,0.0,4.972843058448068,2161.2465404624922,1.0775124712850581,0.005019970415255475
6060,0.0,2.171407283128621,2208.605307122789,1.0770714537202501,0.004028227953856474
6120,0.0,0.7490924924159298,2256.7143757725107,1.0765988964924489,0.0032001232400514262
6180,0.0,0.18903314843089483,2305.5656763479356,1.0761031290798253,0.002526873836453049
6240,0.0,0.03164013485633733,2355.1532518603544,1.0755920248180193,0.0019897823947552236
6300,0.0,0.003102986414356248,2405.472674092975,1.0750706402178352,0.0015655078284219138
6360,0.0,0.00015224601367432508,2456.519972238966,1.0745410882015536,0.0012314951509953286
6420,0.0,3.05891875058603e-06,2508.2908567859267,1.074003927628589,0.0009687292966844059
6480,0.0,2.3893911488485926e-08,2560.7804161968556,1.0734592789919004,0.0007620294696666012
6540,0.0,2.1837906134467818e-09,2613.983045767279,1.072907204157855,0.0005994336174419461
6600,0.0,1.420871485870302e-09,2667.8924301331945,1.0723477677110576,0.00047153121142459037
6660,0.0,1.1690019744221926e-09,2722.501532521059,1.071781041579622,0.00037091974201429695
6720,0.0,2.954645646667729e-09,2777.802585458856,1.0712071052739638,0.0002917759206346542
6780,0.0,-3.041593991945876e-09,2833.787082785275,1.070626045973142,0.0002295191678564655
6840,0.0,4.92177922783949e-09,2890.44577300459,1.0700379585983995,0.00018054624786274442
6900,0.0,3.174411612857557e-11,2947.76865406263,1.069442945866421,0.00014202261707221825
6960,0.0,-2.7354709533044788e-09,3005.7449696191616,1.0688411183350197,0.00011171857742091073
7020,0.0,-9.388634475644065e-11,3064.3631686281215,1.0682325948202833,8.787714347174811e-05
7080,0.0,2.5135963944151443e-10,3123.611051439235,1.0676175008932904,6.912737464505354e-05
7140,0.0,5.180200791638554e-10,3183.475560331059,1.0669959710382777,5.437954228763108e-05
7200,0.0,-2.0908680536042956e-09,3243.9429133698904,1.0663681472870978,4.277815120882525e-05
7260,0.0,1.761707401551003e-09,3304.998586085544,1.065734179399319,3.365180518987794e-05
7320,0.0,2.7973870953342583e-09,3366.6273080494652,1.0650942249050275,2.6472483773809305e-05
7380,0.0,-8.616391131342327e-10,3428.8130747009304,1.0644484489841648,2.082484598224413e-05
7440,0.0,-1.8292412242188211e-09,3491.5391573750067,1.0637970243663057,1.6382125709613854e-05
