t,Tpos,Tpro,Tneg,o2,test
0,0.0,100.0,900.0,0.5,0.0
60,0.0,72.01762187159447,152.7041670647316,1.0957584982358128,0.001712614550529531
120,0.0,72.05685157273054,156.90647701064054,1.0971979595813346,0.003036695850387552
180,0.0,72.49675038512268,161.22239210918767,1.0971505146681546,0.004084917223312454
240,0.0,73.0997078371335,165.65475567780757,1.0970951534386029,0.004922012278032379
300,0.0,73.79187403403749,170.20653301121905,1.0970369447042874,0.00559582337266978
360,0.0,74.54056280672833,174.88077928414378,1.096976477054762,0.006142842529465319
420,0.0,75.32843626338732,179.68063100516622,1.0969140185694104,0.006591218590187583
480,0.0,76.14519328043295,184.60930331310536,1.0968497549345062,0.006962784110710452
540,0.0,76.98422446926725,189.67008981058711,1.0967837345916014,0.007274521629128537
600,0.0,77.84104545237687,194.86636056027092,1.0967160087695458,0.007539655119622029
660,0.0,78.71247226376794,200.20156776467624,1.0966466039586236,0.007768515389158451
720,0.0,79.59617558214818,205.6792414078866,1.0965755102975103,0.007969149155791215
780,0.0,80.49039577231906,211.3029923215163,1.0965027269148266,0.008147844052417048
840,0.0,81.39377118869339,217.07651539062778,1.0964282534249588,0.00830951185781968
900,0.0,82.30522387958979,223.00358827050712,1.096352031678585,0.008457989836893498
960,0.0,83.22388351591697,229.08807115757602,1.0962740744837107,0.008596268387943508
1020,0.0,84.14902996436876,235.3339124900073,1.0961943358641653,0.008726684314546726
1080,0.0,85.0800549144902,241.74514671430697,1.0961127884901336,0.008851060468685628
1140,0.0,86.01643284091188,248.32589942539025,1.0960293986322431,0.00897081728464469
1200,0.0,86.95770014050167,255.08037950622494,1.0959441117178874,0.009087059098751146
1260,0.0,87.90343739017818,262.01289145873017,1.095856932546731,0.009200646230558867
1320,0.0,88.85325815174755,269.1278280354969,1.0957677876268666,0.00931224458675169
1380,0.0,89.8067985145593,276.42968130049866,1.0956766403515088,0.009422367986342967
1440,0.0,90.76370945146013,283.92303135337414,1.095583455099477,0.009531415795360971
1500,0.0,91.7236511866255,291.6125522158643,1.0954881881127612,0.009639695736229642
1560,0.0,92.68628912181282,299.50301428924234,1.0953907949045791,0.00974744020968979
1620,0.0,93.65129019608919,307.5992927989398,1.095291229520077,0.009854817366514366
1680,0.0,94.61831844159998,315.90635635989383,1.095189445802229,0.009961956478247316
1740,0.0,95.58703308983614,324.42927121926334,1.0950853992878138,0.010068953061887254
1800,0.0,96.55708705538268,333.1732036087754,1.0949790402569561,0.010175873574431487
1860,0.0,97.52812525967592,342.1434210691639,1.0948703195925291,0.010282761164373226
1920,0.0,98.49978310600562,351.34529267218875,1.094759188065565,0.010389641197064182
1980,0.0,99.47168525864414,360.7842893219591,1.094645595083475,0.01049652522990746
2040,0.0,100.44344475541564,370.4659842621515,1.0945294889540131,0.01060341342946527
2100,0.0,101.41466229206566,380.39605363563544,1.0944108176141263,0.010710296200865688
2160,0.0,102.38492511237025,390.58027695755794,1.09428952747931,0.010817157076488742
2220,0.0,103.35380631965232,401.02453753338176,1.0941655641151182,0.010923973899467615
2280,0.0,104.32086465042609,411.7348224652705,1.0940388738224855,0.0110307185640685
2340,0.0,105.28564383379387,422.71722273242744,1.09390939837628,0.011137358164245303
2400,0.0,106.24767204862928,433.97793316886344,1.093777085000177,0.011243855721034098
2460,0.0,107.20646139197913,445.52325226952996,1.093641874362343,0.011350170755552304
2520,0.0,108.16150734311942,457.3595821024187,1.0935037055366157,0.0114562599849641
2580,0.0,109.11228831269383,469.4934276027891,1.0933625224368546,0.011562077277630539
2640,0.0,110.05826516611165,481.93139644783406,1.0932182658641594,0.011667574297017064
2700,0.0,110.99888093953386,494.68019791114966,1.093070874130216,0.01177269989282226
2760,0.0,111.9335603658914,507.74664205754647,1.0929202860722298,0.01187740056020295
2820,0.0,112.86170947620516,521.1376390958778,1.0927664389412495,0.011981620431411304
2880,0.0,113.78271521658121,534.8601974585594,1.0926092706027881,0.01208530131087787
2940,0.0,114.69594502911093,548.9214230940657,1.0924487176193358,0.012188382769837995
3000,0.0,115.60074643556017,563.3285174568852,1.0922847158517204,0.012290802272248963
3060,0.0,116.49644669702336,578.0887751149951,1.092117200383398,0.012392494960523108
3120,0.0,117.38235233944465,593.2095840564494,1.091946105717174,0.012493394042002944
3180,0.0,118.25774893084684,608.6984198949656,1.0917713659467807,0.012593430187937512
3240,0.0,119.1219005465239,624.5628474377496,1.091592914404307,0.012692532056116508
3300,0.0,119.97404954645816,640.8105143642092,1.091410684007686,0.012790625875486806
3360,0.0,120.81341614966834,657.4491505888375,1.091224607227395,0.012887635529465152
3420,0.0,121.63919808590524,674.486564279714,1.0910346160026256,0.012983482602387597
3480,0.0,122.45057028450634,691.930637519646,1.090840641831781,0.013078086253550673
3540,0.0,123.24668448428137,709.7893248322172,1.0906426158866844,0.013171363241084713
3600,0.0,124.02666897572367,728.070645650589,1.0904404690128517,0.01326322792965257
3660,0.0,124.78962819109763,746.7826845520949,1.0902341317518507,0.013353592185527206
3720,0.0,125.53464255827537,765.9335810226111,1.0900235345019176,0.013442365382942788
3780,0.0,126.26076799176026,785.531531093453,1.089808607436716,0.013529454384117592
3840,0.0,126.967035910466,805.5847744561432,1.0895892806534115,0.013614763421677086
3900,0.0,127.65245263355827,826.101597336109,1.0893654841833118,0.013698194163017225
3960,0.0,128.31599954002115,847.0903172170403,1.0891371481117529,0.013779645603620976
4020,0.0,128.95663241164448,868.5592863027869,1.088904202570537,0.013859014059935481
