t,Tpos,Tpro,Tneg,o2,test
0,1000.0,1000.0,0.0,0.5,0.0
60,6.349057687802294,0.014517716728986546,0.0,1.0983612607403725,-5.5777168420969226e-05
120,3.092291472540389,0.007142053046700826,0.0,1.0999404142620004,-5.7293408759838506e-05
180,2.057956977791036,0.004774693395937988,0.0,1.0999642537238261,-5.287055660099967e-05
240,1.5499742250645643,0.0036045763646114387,0.0,1.099973544399042,-4.714722485656184e-05
300,1.2481121341614918,0.002905980079240827,0.0,1.0999789037005048,-4.142770152783159e-05
360,1.0481109275954903,0.0024413761365663887,0.0,1.099982395423017,-3.6163005342958e-05
420,0.9058810658140923,0.0021099239208376766,0.0,1.0999848516830235,-3.1495422556199465e-05
480,0.7995696552351171,0.0018614848245677934,0.0,1.0999866721931968,-2.7439745707009694e-05
540,0.7171112503240431,0.001668303427703181,0.0,1.0999880766557824,-2.395682980906178e-05
600,0.651300156951451,0.001513766166516939,0.0,1.0999891909620838,-2.098672789139252e-05
660,0.5975674604264599,0.0013873179229239793,0.0,1.0999900969204353,-1.8464344189008594e-05
720,0.5528760440352586,0.0012819298963693995,0.0,1.0999908524255397,-1.6326824130317706e-05
780,0.5151282728986313,0.0011927397606049158,0.0,1.0999914865451053,-1.4516831002110872e-05
840,0.48282880394158256,0.001116276252249617,0.0,1.099992027135583,-1.298372241711942e-05
900,0.4548829614389682,0.0010499948095869518,0.0,1.0999925028467015,-1.1683659650836966e-05
960,0.4304707876630867,0.0009919870972886393,0.0,1.09999291174992,-1.0579193442199711e-05
1020,0.4089661498607426,0.0009407942050040636,0.0,1.0999932809495088,-9.638623172995784e-06
1080,0.3898825556145026,0.0008952813755999153,0.0,1.0999935971582555,-8.83528485418946e-06
1140,0.372836307150691,0.0008545527248451022,0.0,1.099993871966865,-8.14685158473397e-06
1200,0.3575207119602371,0.0008178914897749641,0.0,1.0999941167938452,-7.554686526203492e-06
1260,0.34368768616608136,0.0007847173638670003,0.0,1.0999943419016056,-7.043265843632688e-06
1320,0.33113439252519533,0.0007545554798612919,0.0,1.099994555244916,-6.599675682067911e-06
1380,0.31969337541422893,0.00072701349018928,0.0,1.0999947493942965,-6.213180541781354e-06
1440,0.3092251668250006,0.0007017643741659327,0.0,1.099994918518364,-5.874856954102132e-06
1500,0.2996126758378271,0.0006785333818996572,0.0,1.0999950805002814,-5.577285287786706e-06
1560,0.2907568707426002,0.0006570879787842117,0.0,1.0999952262669253,-5.314291703045607e-06
1620,0.28257342844719857,0.0006372300369751437,0.0,1.0999953620369665,-5.080733468728551e-06
1680,0.2749901046926909,0.0006187897024895985,0.0,1.099995487138776,-4.872320851205695e-06
1740,0.2679446362622989,0.0006016204998445465,0.0,1.099995604153451,-4.685468985229935e-06
1800,0.26138307715280873,0.0005855954467808436,0.0,1.0999957124067996,-4.517176155846897e-06
1860,0.25525846660917983,0.0005706039419927082,0.0,1.099995813633007,-4.364923998046795e-06
1920,0.249529721495886,0.000556549175765618,0.0,1.0999959084320932,-4.226593623911564e-06
1980,0.24416074601045612,0.0005433460473679001,0.0,1.0999959969211615,-4.1003974327716374e-06
2040,0.23911969864186816,0.0005309194493247914,0.0,1.0999960803640605,-3.984822970235649e-06
2100,0.2343783861561373,0.0005192028482646383,0.0,1.099996158778364,-3.878586813586978e-06
2160,0.22991175537764025,0.0005081370942327721,0.0,1.0999962324544357,-3.7805962726771413e-06
2220,0.22569746081190276,0.0004976694072054989,0.0,1.0999963016048753,-3.689917275757829e-06
2280,0.22171551246638144,0.00048775255108151504,0.0,1.0999963674822548,-3.605748804018517e-06
2340,0.21794797570005706,0.00047834412941528666,0.0,1.099996429655424,-3.5274015612037533e-06
2400,0.21437871242048476,0.00046940597793091875,0.0,1.0999964883795126,-3.4542800416805626e-06
2460,0.2109931622423642,0.0004609036505876858,0.0,1.099996544015814,-3.3858678598068785e-06
2520,0.20777815041711076,0.0004528059683528504,0.0,1.0999965971482517,-3.3217151828183047e-06
2580,0.20472172837554647,0.00044508464438598733,0.0,1.0999966475311074,-3.261428748360733e-06
2640,0.2018130357982762,0.0004377139596952212,0.0,1.0999966957613048,-3.2046635587484978e-06
2700,0.19904217965481455,0.00043067047859888456,0.0,1.099996740873901,-3.1511158228414758e-06
2760,0.19640012797182244,0.00042393279875082304,0.0,1.0999967851874863,-3.10051695043357e-06
2820,0.19387861936735037,0.00041748133817332196,0.0,1.0999968270897749,-3.0526286497809515e-06
2880,0.1914700785463404,0.00041129813627846404,0.0,1.0999968657211319,-3.0072384721352165e-06
2940,0.1891675490177801,0.00040536669532317013,0.0,1.0999969035042076,-2.964156550023719e-06
3000,0.18696463177005662,0.00039967183588457064,0.0,1.0999969401559444,-2.92321266049345e-06
3060,0.18485543047376476,0.0003941995676844908,0.0,1.0999969748808065,-2.8842536775880065e-06
3120,0.18283450269729792,0.00038893697454582505,0.0,1.09999700800895,-2.8471413920146037e-06
3180,0.18089681677905556,0.0003838721126538656,0.0,1.099997039857297,-2.8117506640894396e-06
3240,0.17903771526015244,0.00037899392424990246,0.0,1.0999970702685855,-2.777967953429094e-06
3300,0.17725287622462285,0.00037429214641141346,0.0,1.0999970994941035,-2.7456897014070955e-06
3360,0.17553828770911126,0.0003697572505834437,0.0,1.099997128370191,-2.714821444424564e-06
3420,0.17389021971570026,0.00036538037648030196,0.0,1.0999971549667575,-2.6852767680664653e-06
3480,0.1723051989661732,0.0003611532724433866,0.0,1.0999971809957083,-2.6569763857889057e-06
3540,0.1707799875979632,0.000357068245080389,0.0,1.0999972077638764,-2.629847423575889e-06
3600,0.16931156441285533,0.00035311811492973096,0.0,1.099997228204372,-2.6038227874533453e-06
3660,0.16789710616214748,0.00034929617221474596,0.0,1.099997254637639,-2.5788405356618753e-06
3720,0.16653397085049576,0.00034559613735721365,0.0,1.0999972838000023,-2.554843340543992e-06
3780,0.16521968425107228,0.00034201212906218053,0.0,1.0999972998485328,-2.5317780862480066e-06
3840,0.16395192700432204,0.00033853863376781047,0.0,1.099997316381708,-2.5095954999863258e-06
3900,0.16272852243694302,0.00033517047681998316,0.0,1.0999973329408723,-2.4882497773473223e-06
3960,0.1615474253775029,0.0003319027959904041,0.0,1.099997352752208,-2.4676982611705666e-06
4020,0.16040671272421914,0.0003287310191382057,0.0,1.0999973727021197,-2.44790117290187e-06
4080,0.15930457482024687,0.00032565084376534544,0.0,1.0999973966701122,-2.4288213857420833e-06
4140,0.15823930576278256,0.0003226582140659929,0.0,1.0999974186640415,-2.4104241467512555e-06
4200,0.15720929757336266,0.00031974930708714454,0.0,1.0999974238630605,-2.3926769419071372e-06
4260,0.15621303309974321,0.00031692051590927043,0.0,1.0999974335996536,-2.3755493039344702e-06
4320,0.15524907869392662,0.00031416843227805176,0.0,1.0999974564901158,-2.3590126241399195e-06
4380,0.15431607960081078,0.00031148983565141154,0.0,1.0999974845680671,-2.343040046490171e-06
4440,0.15341275433595286,0.000308881679878259,0.0,1.0999975027301185,-2.3276063121745015e-06
4500,0.1525378891694052,0.0003063410801026499,0.0,1.0999975034031169,-2.312687628137026e-06
4560,0.1516903343605243,0.00030386530382768166,0.0,1.099997511738057,-2.2982615734757762e-06
4620,0.15086900001855819,0.00030145176107967937,0.0,1.0999975271658369,-2.284307007059139e-06
4680,0.15007285148172728,0.0002990979934439774,0.0,1.0999975546994447,-2.270803950514284e-06
4740,0.14930090681348665,0.00029680166810206035,0.0,1.099997566275428,-2.2577335404195415e-06
4800,0.14855223314090302,0.000294560569139142,0.0,1.0999975718026247,-2.245077936340036e-06
4860,0.14782594318227954,0.00029237258929261416,0.0,1.0999975743777421,-2.232820242539592e-06
4920,0.14712119317892514,0.0002902357250325825,0.0,1.0999975932430053,-2.2209444599693854e-06
4980,0.14643717997373995,0.00028814806961462153,0.0,1.0999976152239173,-2.2094354220731145e-06
5040,0.14577313828163338,0.0002861078065933131,0.0,1.0999976257584503,-2.1982787309906515e-06
5100,0.1451283390447778,0.0002841132059056921,0.0,1.0999976278535069,-2.187460724045632e-06
5160,0.14450208693202393,0.00028216261792360896,0.0,1.0999976252812478,-2.1769684171421747e-06
5220,0.1438937184210489,0.0002802544688898317,0.0,1.0999976357935184,-2.166789463590279e-06
5280,0.1433026002965406,0.00027838725733850814,0.0,1.0999976557315956,-2.156912122983156e-06
5340,0.1427281275952591,0.00027655954920861886,0.0,1.0999976800168136,-2.147325214442661e-06
