t,Tpos,Tpro,Tneg,o2,test
0,1000.0,1000.0,0.0,0.5,0.0
60,4.1295884715226674e-10,777.7950999811579,0.0,1.0858630333619972,0.018356893509747497
120,5.903340052102397e-13,782.9501512668002,0.0,1.087252209616978,0.03274919080003517
180,4.04259309724154e-15,791.0354448928707,0.0,1.0871295283763032,0.04423335438590924
240,-4.1715681585228945e-16,800.3733087100416,0.0,1.0869800723982892,0.0534737196817481
300,4.1083217316366216e-17,810.446116541025,0.0,1.0868176137402419,0.06097120329879698
360,-3.540696379826354e-18,821.0271212911774,0.0,1.086646389791943,0.06711185787681896
420,1.8931511720928584e-15,831.9978376272378,0.0,1.0864685501983269,0.07219553994261842
480,-5.596427695370555e-15,843.2894271830099,0.0,1.0862853227667906,0.0764560183530291
540,1.4800338625069177e-15,854.8590881991036,0.0,1.0860974630220737,0.08007591234308158
600,-2.29916901744282e-14,866.6789875165961,0.0,1.0859054588490307,0.0831980705041485
660,-6.56772535081887e-14,878.7305416794856,0.0,1.0857096345154764,0.0859343239622432
720,-4.285786040853314e-12,891.0011634519988,0.0,1.0855102095537292,0.08837229350058265
780,5.496422881887684e-11,903.4823495687172,0.0,1.085307332071403,0.09058065439825917
840,1.6614030513220555e-11,916.168449108888,0.0,1.0851011015971388,0.09261326498414414
900,2.8166205835428803e-11,929.0558607896849,0.0,1.0848915812328612,0.09451239239167561
960,2.3381608060627193e-11,942.1424968623937,0.0,1.0846788090795274,0.0963112140706361
1020,-1.2440522022784358e-10,955.4273987838029,0.0,1.0844628034577573,0.09803579053736482
1080,-1.4747330711444463e-09,968.9104624502522,0.0,1.0842435680893505,0.09970661848234413
1140,6.408105479479646e-09,982.592244505972,0.0,1.0840210956800622,0.10133982362369605
1200,7.104796380916739e-10,996.473814493671,0.0,1.0837953700645808,0.10294810972423737
1260,-1.7121755544090439e-09,1010.5566449600063,0.0,1.0835663681900833,0.10454149919038504
1320,5.783803507782742e-10,1024.8425287224127,0.0,1.0833340616836766,0.10612791549696901
1380,-5.512294013683798e-10,1039.3335164418854,0.0,1.083098417762085,0.10771363501369503
1440,-5.919003219175778e-11,1054.0318673818701,0.0,1.0828594001167924,0.10930364950177256
1500,5.282537361635903e-10,1068.9400132561736,0.0,1.0826169695656456,0.11090194013916949
1560,-9.249172168199444e-10,1084.0605299727574,0.0,1.0823710844855041,0.11251169550903485
1620,1.0631022954221944e-09,1099.3961152352533,0.0,1.0821217012147653,0.1141354862380796
1680,-1.5372928851794154e-09,1114.9495715504254,0.0,1.0818687743482505,0.11577539966377418
1740,3.1816712989930956e-10,1130.7237933136319,0.0,1.081612256946316,0.1174331443954542
1800,-1.2831580668660058e-09,1146.721756742668,0.0,1.081352100708738,0.11911013327276378
1860,-1.1665928119983614e-09,1162.9465121165663,0.0,1.081088256113313,0.12080754859138226
1920,1.4423867624441484e-09,1179.4011780421572,0.0,1.0808206725076983,0.12252639177928225
1980,-6.027501107971096e-10,1196.0889366894298,0.0,1.0805492981903868,0.12426752565332311
2040,-5.172748610033773e-11,1213.013030522112,0.0,1.0802740804715514,0.12603170517145845
2100,-7.125966198133186e-10,1230.1767599658422,0.0,1.0799949657104262,0.1278196009292158
2160,5.961180720447194e-10,1247.583481670579,0.0,1.0797118993452313,0.12963181806596746
2220,-7.315151529158775e-10,1265.2366072383982,0.0,1.0794248259138137,0.13146891158746296
2280,7.816062008574242e-10,1283.1396023538696,0.0,1.079133689072385,0.13333139860795162
2340,1.1778691812045642e-10,1301.2959862049604,0.0,1.0788384316032622,0.1352197683770486
2400,-2.6796215025278623e-09,1319.7093313165906,0.0,1.078538995419198,0.13713448917252313
2460,-1.4018618988458964e-10,1338.383263531013,0.0,1.0782353215641307,0.13907601409113743
2520,-3.480972985764686e-11,1357.3214625169414,0.0,1.0779273502067652,0.14104478441629734
2580,4.830336830356253e-12,1376.5276624126138,0.0,1.0776150206221338,0.1430412346473319
2640,-1.138827033489021e-13,1396.0056547176196,0.0,1.0772982711610528,0.14506579493062827
2700,-2.108565884292615e-13,1415.759279674776,0.0,1.0769770393753237,0.14711889357410157
2760,-2.526180841478431e-13,1435.7924323559048,0.0,1.0766512619251072,0.14920095824506838
2820,1.6075025065605913e-13,1456.1090644753858,0.0,1.07632087454974,0.15131241741249468
2880,1.0227686968450579e-14,1476.7131806015739,0.0,1.0759858121287056,0.15345370126415886
2940,1.2630073038761854e-13,1497.6088407413893,0.0,1.0756460086394388,0.155625243106182
3000,1.5045518534798416e-13,1518.8001771182887,0.0,1.0753013968848808,0.15782747938887245
3060,-2.7389434269328812e-14,1540.2913778204447,0.0,1.0749519087590909,0.16006085153600572
3120,5.698486337170467e-14,1562.086685848123,0.0,1.0745974752632443,0.1623258058723572
3180,6.322531496665298e-14,1584.1904049543273,0.0,1.07423802641045,0.16462279372369637
3240,-1.1877665076091868e-13,1606.6068980613286,0.0,1.0738734912515682,0.16695227207391905
3300,-4.880107457824759e-14,1629.340591209132,0.0,1.0735037978109498,0.1693147035829997
3360,2.3998880692781978e-14,1652.3959670078173,0.0,1.0731288731929687,0.17171055608526187
3420,7.438782215419128e-14,1675.7775825472743,0.0,1.0727486432907283,0.1741403048862986
3480,-1.544382373237678e-15,1699.4900466026102,0.0,1.072363033156785,0.1766044296198577
3540,-3.061991545859719e-14,1723.5380470558666,0.0,1.0719719665573202,0.17910341891085144
3600,-1.6840839635191528e-14,1747.9263264551664,0.0,1.0715753663694132,0.1816377656930135
3660,-1.3486813854024155e-14,1772.6597029341435,0.0,1.071173154241054,0.18420797151218402
3720,-4.3188580805266215e-14,1797.7430585294617,0.0,1.070765250781,0.1868145440490365
3780,-6.740864543092424e-14,1823.1813453707196,0.0,1.070351575458155,0.18945799821288783
3840,-2.131096925675434e-14,1848.979587503177,0.0,1.0699320465719504,0.19213885655128599
3900,6.922594702788016e-14,1875.1428754060016,0.0,1.0695065813414462,0.1948576481700683
3960,4.1834423694972096e-14,1901.676377891981,0.0,1.0690750957118595,0.19761491047718102
4020,8.565310316977463e-17,1928.5843205726103,0.0,1.0686375089595705,0.20041118622650775
4080,5.8955601847017616e-21,1955.8143060276677,0.0,1.0681944646262944,0.20324643815089177
4140,3.7879539618729402e-22,1983.3342707142303,0.0,1.0677466760581475,0.20611940812717436
4200,8.381871291762104e-22,2011.1446439803733,0.0,1.0672941572155294,0.20902883006932046
4260,-1.0751142217338176e-21,2039.24577193748,0.0,1.0668368988138168,0.21197374373400016
4320,-2.2948105560186956e-20,2067.6379169200613,0.0,1.0663748975634355,0.21495340498462048
4380,2.1720981321947374e-20,2096.321260777802,0.0,1.0659081504053491,0.21796722678465952
4440,-2.4198018575810383e-21,2125.2958986692583,0.0,1.0654366551476526,0.22101475629330317
4500,-1.2320822253920085e-21,2154.561833725476,0.0,1.064960411641363,0.22409564741121857
4560,9.00976043386999e-22,2184.1189833783033,0.0,1.064479421125412,0.22720961889398747
4620,-7.187902406750109e-21,2213.9671755092168,0.0,1.0639936860595829,0.2303564423945156
4680,1.6831905782170414e-20,2244.1061457577102,0.0,1.0635032105351871,0.23353593479227888
4740,-4.568329861046388e-20,2274.535535237621,0.0,1.0630080000497266,0.23674794648251804
4800,1.2777659473241563e-19,2305.254888905673,0.0,1.062508061875342,0.2399923506935007
4860,-3.6092065096992374e-19,2336.2636543857257,0.0,1.062003404645679,0.24326903537635008
4920,-8.283741408926706e-19,2367.5611801577957,0.0,1.0614940387147347,0.24657789667119118
4980,3.418618516637603e-19,2399.146714964706,0.0,1.0609799762893546,0.24991883815009253
5040,-1.4223588029185317e-20,2431.0194054396425,0.0,1.0604612307298007,0.2532917643364461
5100,6.132393129234297e-20,2463.1782946516855,0.0,1.0599378174191063,0.2566965785451386
5160,2.443714802214883e-19,2495.6223216786248,0.0,1.059409753366763,0.2601331822852764
5220,-3.885920421017052e-19,2528.3503191004493,0.0,1.0588770573513746,0.26360147077994084
5280,3.635051647197403e-19,2561.3610121581078,0.0,1.058339749836671,0.26710133284296006
