t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,0.5,0.0
60,0.0,0.0,10.27974737591099,0.881632854918689,0.0
120,0.0,0.0,10.567264624555081,0.8822425527316495,0.0
180,0.0,0.0,10.862764376402561,0.8830949736304715,0.0
240,0.0,0.0,11.16646490081613,0.8833925088074747,0.0
300,0.0,0.0,11.478590245361328,0.8819771966348539,0.0
360,0.0,0.0,11.799370377970506,0.8811644904581329,0.0
420,0.0,0.0,12.129041331963286,0.8813644868301879,0.0
480,0.0,0.0,12.467845353975113,0.8827994888687489,0.0
540,0.0,0.0,12.816031054789184,0.8826002771307441,0.0
600,0.0,0.0,13.173853563110283,0.8825088489940276,0.0
660,0.0,0.0,13.541574682250634,0.8802591594031963,0.0
720,0.0,0.0,13.919463049797326,0.8805591482320975,0.0
780,0.0,0.0,14.30779430019171,0.8812801171755591,0.0
840,0.0,0.0,14.706851230293223,0.8826791256963337,0.0
900,0.0,0.0,15.116923967876769,0.8816150414676361,0.0
960,0.0,0.0,15.538310143093394,0.8812604205889916,0.0
1020,0.0,0.0,15.971315062831076,0.8792062057254975,0.0
1080,0.0,0.0,16.416251888021833,0.8803521696384224,0.0
1140,0.0,0.0,16.873441813814086,0.8810781304748914,0.0
1200,0.0,0.0,17.3432142526209,0.8817242677159979,0.0
1260,0.0,0.0,17.825907020000866,0.8802276621909105,0.0
1320,0.0,0.0,18.321866523325408,0.8798065711668869,0.0
1380,0.0,0.0,18.831447953171345,0.8792297649425408,0.0
1440,0.0,0.0,19.355015477406578,0.8800294022219447,0.0
1500,0.0,0.0,19.892942437907855,0.8805551217145954,0.0
1560,0.0,0.0,20.44561154979064,0.8797116229978426,0.0
1620,0.0,0.0,21.013415103159364,0.8786205811137701,0.0
1680,0.0,0.0,21.596755167179218,0.8784546317119882,0.0
1740,0.0,0.0,22.19604379644919,0.8789102495920321,0.0
1800,0.0,0.0,22.81170323953203,0.8794340877996579,0.0
1860,0.0,0.0,23.444166149522445,0.8795782615092751,0.0
1920,0.0,0.0,24.09387579652803,0.8778858598262822,0.0
1980,0.0,0.0,24.76128628190244,0.8775957847113725,0.0
2040,0.0,0.0,25.44686275406167,0.8777354983511302,0.0
2100,0.0,0.0,26.151081625724373,0.8782031598485822,0.0
2160,0.0,0.0,26.87443079241606,0.8784244918564,0.0
2220,0.0,0.0,27.617409851933605,0.8770583101666183,0.0
2280,0.0,0.0,28.380530324695133,0.8759287154722997,0.0
2340,0.0,0.0,29.164315874576094,0.8761713492619051,0.0
2400,0.0,0.0,29.96930253009707,0.8768232353877555,0.0
2460,0.0,0.0,30.796038905629185,0.877182833769344,0.0
2520,0.0,0.0,31.645086422337446,0.8766028033030161,0.0
2580,0.0,0.0,32.51701952855689,0.8750507048344023,0.0
2640,0.0,0.0,33.41242591922748,0.8746899121272507,0.0
2700,0.0,0.0,34.33190675405582,0.8754259836880808,0.0
2760,0.0,0.0,35.276076874003515,0.8755632541054271,0.0
2820,0.0,0.0,36.24556501575061,0.8755690855309233,0.0
2880,0.0,0.0,37.24101402356886,0.8736734158808909,0.0
2940,0.0,0.0,38.26308105832625,0.8728107264082702,0.0
3000,0.0,0.0,39.31243780293345,0.8731199232461876,0.0
3060,0.0,0.0,40.38977066388424,0.8746451633832267,0.0
3120,0.0,0.0,41.495780968222235,0.8735601750797708,0.0
3180,0.0,0.0,42.63118515549057,0.8733864116828767,0.0
3240,0.0,0.0,43.79671496383828,0.8704694747380536,0.0
3300,0.0,0.0,44.99311760991389,0.8710840763074693,0.0
3360,0.0,0.0,46.221155961594164,0.8714741336582892,0.0
3420,0.0,0.0,47.481608703050924,0.8719493601895393,0.0
3480,0.0,0.0,48.775270491297775,0.8715466712777887,0.0
3540,0.0,0.0,50.10295210343287,0.8693473221438963,0.0
3600,0.0,0.0,51.465480573827904,0.8687183554802951,0.0
3660,0.0,0.0,52.863699320256735,0.8691652804625174,0.0
3720,0.0,0.0,54.298468258230415,0.8706067639144955,0.0
3780,0.0,0.0,55.77066390243611,0.8689465054737885,0.0
3840,0.0,0.0,57.28117945448579,0.8686126521176506,0.0
3900,0.0,0.0,58.830924875654716,0.8659169549193206,0.0
3960,0.0,0.0,60.42082694387176,0.8666717433023895,0.0
4020,0.0,0.0,62.0518292935809,0.8674918874257568,0.0
4080,0.0,0.0,63.72489243740922,0.8666957800265479,0.0
4140,0.0,0.0,65.4409937685876,0.8665534298906084,0.0
4200,0.0,0.0,67.20112754251026,0.864384630266073,0.0
4260,0.0,0.0,69.00630483656428,0.8637472860405515,0.0
4320,0.0,0.0,70.8575534865347,0.8641253152177244,0.0
4380,0.0,0.0,72.75591799844707,0.8640492549364847,0.0
4440,0.0,0.0,74.70245943429148,0.8635100453876413,0.0
4500,0.0,0.0,76.69825527024393,0.8612978949215958,0.0
4560,0.0,0.0,78.74439922576451,0.8609520953407213,0.0
4620,0.0,0.0,80.84200106213252,0.8611316782820456,0.0
4680,0.0,0.0,82.9921863487156,0.8607274200031708,0.0
4740,0.0,0.0,85.19609619558102,0.8603617732664528,0.0
4800,0.0,0.0,87.45488695036175,0.8579280981364752,0.0
4860,0.0,0.0,89.76972985819451,0.8578606626656885,0.0
4920,0.0,0.0,92.14181068253673,0.85675109622015,0.0
4980,0.0,0.0,94.57232928538957,0.8567623695146886,0.0
5040,0.0,0.0,97.06249916518316,0.8573797278061285,0.0
5100,0.0,0.0,99.61354695018039,0.8552353703814511,0.0
5160,0.0,0.0,102.22671184610051,0.854014330309268,0.0
5220,0.0,0.0,104.90324503561443,0.8526296465172359,0.0
5280,0.0,0.0,107.64440902828237,0.8525361063896799,0.0
5340,0.0,0.0,110.45147695888117,0.8524501785296925,0.0
5400,0.0,0.0,113.32573183245852,0.8515896915586958,0.0
5460,0.0,0.0,116.26846571409267,0.8488118848966019,0.0
5520,0.0,0.0,119.28097886182928,0.8484160043095887,0.0
5580,0.0,0.0,122.36457880081609,0.8479593270650932,0.0
5640,0.0,0.0,125.52057933699022,0.8474617892185417,0.0
