t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,100.0,0.0
60,0.0,0.0,10.277143488156723,40.14933387558543,0.0
120,0.0,0.0,10.561885653156466,39.9873195869387,0.0
180,0.0,0.0,10.854430228258384,40.012545116058526,0.0
240,0.0,0.0,11.15498614214807,40.0476506982557,0.0
300,0.0,0.0,11.463767644808389,40.02997892331735,0.0
360,0.0,0.0,11.780994427632054,39.98208444321917,0.0
420,0.0,0.0,12.106891745357736,39.96595048773997,0.0
480,0.0,0.0,12.441690539784956,39.998145709835505,0.0
540,0.0,0.0,12.785627565260597,40.05658242119602,0.0
600,0.0,0.0,13.138945515872221,40.04521551349114,0.0
660,0.0,0.0,13.50189315431973,39.98635907801851,0.0
720,0.0,0.0,13.874725442412938,39.97146179854143,0.0
780,0.0,0.0,14.25770367315443,39.97229207607984,0.0
840,0.0,0.0,14.651095604307375,40.04587016880426,0.0
900,0.0,0.0,15.055175593436527,40.06329687458108,0.0
960,0.0,0.0,15.470224734282677,40.02410845018599,0.0
1020,0.0,0.0,15.896530994448325,39.95035552328397,0.0
1080,0.0,0.0,16.33438935425824,39.9827198939689,0.0
1140,0.0,0.0,16.784101946746226,39.98992133706913,0.0
1200,0.0,0.0,17.245978198587466,40.08067349563887,0.0
1260,0.0,0.0,17.72033497194628,40.03540546790355,0.0
1320,0.0,0.0,18.207496707032032,39.999782771784275,0.0
1380,0.0,0.0,18.707795565293342,39.93725892618791,0.0
1440,0.0,0.0,19.221571573054423,40.01344945230438,0.0
1500,0.0,0.0,19.74917276548851,40.012531184027,0.0
1560,0.0,0.0,20.290955330677615,40.06362234243106,0.0
1620,0.0,0.0,20.847283753664787,39.99983189307892,0.0
1680,0.0,0.0,21.418530960247974,39.98163804203233,0.0
1740,0.0,0.0,22.005078460321084,39.958721228282904,0.0
1800,0.0,0.0,22.607316490549426,40.05395467579499,0.0
1860,0.0,0.0,23.225644156139282,40.030916459588155,0.0
1920,0.0,0.0,23.860469571419,40.01085289157313,0.0
1980,0.0,0.0,24.51220999899968,39.97946056921121,0.0
2040,0.0,0.0,25.181291987250717,39.97413191314949,0.0
2100,0.0,0.0,25.868151505690644,40.029103891353756,0.0
2160,0.0,0.0,26.57323407811062,40.02458373074595,0.0
2220,0.0,0.0,27.296994912953494,40.04329108422809,0.0
2280,0.0,0.0,28.039899030687586,39.9779244493757,0.0
2340,0.0,0.0,28.80242138776998,39.97962231835685,0.0
2400,0.0,0.0,29.585046996771414,39.97070619279633,0.0
