t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,21000000.0,0.5,0.0
60,0.0,0.0,21529058.79913067,1.6488858315564336,0.0
120,0.0,0.0,22071875.929373942,1.6440226843196541,0.0
180,0.0,0.0,22626738.9298369,1.6328663311871272,0.0
240,0.0,0.0,23193831.981187407,1.6220294984605805,0.0
300,0.0,0.0,23773337.826712467,1.6148259806035017,0.0
360,0.0,0.0,24365437.50845883,1.606827018502793,0.0
420,0.0,0.0,24970310.09284368,1.597053829352502,0.0
480,0.0,0.0,25588132.38581872,1.585030926647013,0.0
540,0.0,0.0,26219078.63760591,1.573862344435029,0.0
600,0.0,0.0,26863320.237157512,1.5643350434209402,0.0
660,0.0,0.0,27521025.396439075,1.5550095250435976,0.0
720,0.0,0.0,28192358.824770086,1.545205758097848,0.0
780,0.0,0.0,28877481.393392153,1.5320030285345339,0.0
840,0.0,0.0,29576549.790598925,1.5195337788096637,0.0
900,0.0,0.0,30289716.167711787,1.508043409349759,0.0
960,0.0,0.0,31017127.776313007,1.499012260434999,0.0
1020,0.0,0.0,31758926.597139176,1.4866424979130644,0.0
1080,0.0,0.0,32515248.961155716,1.4750268702476703,0.0
1140,0.0,0.0,33286225.163313035,1.4584177071508575,0.0
1200,0.0,0.0,34071979.06962126,1.4464841709626743,0.0
1260,0.0,0.0,34872627.71820692,1.4345583974850946,0.0
1320,0.0,0.0,35688280.915048875,1.4230589872486799,0.0
1380,0.0,0.0,36519040.82522563,1.409885551819115,0.0
1440,0.0,0.0,37365001.56047267,1.3942844996037163,0.0
1500,0.0,0.0,38226248.764008984,1.3786539962521227,0.0
1560,0.0,0.0,39102859.193580054,1.365783756135105,0.0
1620,0.0,0.0,39994900.30378413,1.3541565218348852,0.0
1680,0.0,0.0,40902429.82875525,1.338300102516756,0.0
1740,0.0,0.0,41825495.36640931,1.3236913722353376,0.0
1800,0.0,0.0,42764133.96542034,1.3048622875778797,0.0
1860,0.0,0.0,43718371.71625598,1.2911120040388897,0.0
1920,0.0,0.0,44688223.34760228,1.2765072412827005,0.0
1980,0.0,0.0,45673691.82952398,1.2608070660058548,0.0
2040,0.0,0.0,46674767.98487678,1.2460093328240138,0.0
2100,0.0,0.0,47691430.1103573,1.2271705010507705,0.0
2160,0.0,0.0,48723643.60877061,1.2098207821149531,0.0
2220,0.0,0.0,49771360.6340681,1.193312776747392,0.0
2280,0.0,0.0,50834519.75070662,1.1770333943363935,0.0
2340,0.0,0.0,51913045.60895593,1.1599030949487212,0.0
2400,0.0,0.0,53006848.63777274,1.1421098010692958,0.0
