t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,21000000.0,0.5,0.0
60,0.0,0.0,21530998.38617377,2347.06072581004,0.0
120,0.0,0.0,22073858.701777343,2184.9332092084,0.0
180,0.0,0.0,22628765.555274606,2013.0205758373872,0.0
240,0.0,0.0,23195903.12260085,1839.695522924784,0.0
300,0.0,0.0,23775454.141380176,1657.640156704595,0.0
360,0.0,0.0,24367599.64702374,1475.256658379377,0.0
420,0.0,0.0,24972518.698299427,1289.5064706711312,0.0
480,0.0,0.0,25590388.092462987,1100.6450744760189,0.0
540,0.0,0.0,26221382.06995188,904.4794182699825,0.0
600,0.0,0.0,26865672.008817814,705.6349125906602,0.0
660,0.0,0.0,27523426.108970843,501.3911506255198,0.0
720,0.0,0.0,28194809.066467702,294.0973857374399,0.0
780,0.0,0.0,28879981.738066502,82.62159498437302,0.0
840,0.0,0.0,28908820.694049746,68.79307776566235,0.0
900,0.0,0.0,28951692.07349284,56.84707997047854,0.0
960,0.0,0.0,28984461.80110309,47.86713391719209,0.0
1020,0.0,0.0,27018753.791461665,564.5717714226175,0.0
1080,0.0,0.0,27679690.31466663,453.368869934319,0.0
1140,0.0,0.0,28354293.786447786,245.36375645569413,0.0
1200,0.0,0.0,29042724.11331878,32.525250913320576,0.0
1260,0.0,0.0,29076131.554184064,20.96986008446914,0.0
1320,0.0,0.0,29098062.738515776,14.51014562483564,0.0
1380,0.0,0.0,27769435.667910393,423.5778566244899,0.0
1440,0.0,0.0,28445885.7323127,216.98727056556297,0.0
1500,0.0,0.0,29136183.796913642,3.673458565756013,0.0
1560,0.0,0.0,28173473.703726485,62.724253629049485,0.0
1620,0.0,0.0,28858210.051197216,88.92898513988105,0.0
1680,0.0,0.0,28541816.576584786,177.94280714638592,0.0
1740,0.0,0.0,28102892.647944182,156.68338258539032,0.0
1800,0.0,0.0,28786184.676660378,111.37843103070053,0.0
1860,0.0,0.0,28363766.339153796,222.93318624428835,0.0
1920,0.0,0.0,29052389.935691923,29.4959812051518,0.0
1980,0.0,0.0,28502884.84140751,197.23069402541435,0.0
2040,0.0,0.0,27368468.767372422,171.34056603598492,0.0
