t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,7000.0,0.0
60,0.0,0.0,10.263779358287241,99758.08053102123,0.0
120,0.0,0.0,10.534048313009617,99956.13024550574,0.0
180,0.0,0.0,10.810940781615875,100036.36290710342,0.0
240,0.0,0.0,11.094592884758404,100067.69195474897,0.0
300,0.0,0.0,11.385142146986643,99979.75171513065,0.0
360,0.0,0.0,11.682727431046985,99794.79724714362,0.0
420,0.0,0.0,11.987488866699822,99925.93966096781,0.0
480,0.0,0.0,12.299567773890061,100072.60035082445,0.0
540,0.0,0.0,12.619106580036375,100069.52430400698,0.0
600,0.0,0.0,12.946248731275078,100016.70520048194,0.0
660,0.0,0.0,13.281138597414818,99880.1500160688,0.0
720,0.0,0.0,13.62392137045467,99893.00559492856,0.0
780,0.0,0.0,13.97474295644047,99980.3052586215,0.0
840,0.0,0.0,14.333749860503163,100138.20894974575,0.0
900,0.0,0.0,14.70108906486735,99949.38412657399,0.0
960,0.0,0.0,15.076907899698709,99969.13261098204,0.0
1020,0.0,0.0,15.461353906579662,99849.74717842581,0.0
1080,0.0,0.0,15.854574694502885,100038.76770840277,0.0
1140,0.0,0.0,16.256717788214104,100019.9164462169,0.0
1200,0.0,0.0,16.667930468789155,100150.88462959006,0.0
1260,0.0,0.0,17.088359606313258,99957.9996349462,0.0
1320,0.0,0.0,17.518151484579384,99909.92432677819,0.0
1380,0.0,0.0,17.957451617708674,99930.74181408575,0.0
1440,0.0,0.0,18.4064045586375,100011.6777802136,0.0
1500,0.0,0.0,18.865153699422038,100047.18720368796,0.0
1560,0.0,0.0,19.333841063351556,100045.40200454707,0.0
1620,0.0,0.0,19.812607088840466,99791.60546904778,0.0
1680,0.0,0.0,20.30159040516549,99911.49011261364,0.0
1740,0.0,0.0,20.800927600085135,100044.04389824269,0.0
1800,0.0,0.0,21.310752979413405,100040.53023080023,0.0
1860,0.0,0.0,21.831198318712737,100107.16575257876,0.0
1920,0.0,0.0,22.362392607186386,99920.7062319133,0.0
1980,0.0,0.0,22.904461784009754,99884.13481983004,0.0
2040,0.0,0.0,23.45752846730882,100049.33212398864,0.0
2100,0.0,0.0,24.021711676028055,100031.70638045507,0.0
2160,0.0,0.0,24.597126545026608,100107.5043279932,0.0
2220,0.0,0.0,25.183884033695698,99806.53064935305,0.0
2280,0.0,0.0,25.782090628524045,99875.41583987101,0.0
2340,0.0,0.0,26.39184804002842,99917.20826386378,0.0
2400,0.0,0.0,27.01325289451638,100040.19317016189,0.0
2460,0.0,0.0,27.646396421231753,100066.86296776005,0.0
2520,0.0,0.0,28.291364135417577,99920.29726860263,0.0
2580,0.0,0.0,28.94823551795407,99961.71773445127,0.0
2640,0.0,0.0,29.617083692214862,99873.1967707383,0.0
2700,0.0,0.0,30.29797509886522,99980.86143045321,0.0
2760,0.0,0.0,30.990969169405645,100149.56617615305,0.0
2820,0.0,0.0,31.69611799921264,100013.5625901066,0.0
2880,0.0,0.0,32.413466021003075,99973.3583177931,0.0
2940,0.0,0.0,33.14304967960361,99869.37600992953,0.0
3000,0.0,0.0,33.88489710899428,99953.28904218755,0.0
3060,0.0,0.0,34.639027812631426,100062.22745401846,0.0
3120,0.0,0.0,35.40545234810262,100072.77902332989,0.0
3180,0.0,0.0,36.18417201717602,99880.8074436002,0.0
3240,0.0,0.0,36.97517856239518,99919.36327643148,0.0
3300,0.0,0.0,37.77845387136865,99933.6653143413,0.0
3360,0.0,0.0,38.59396968992578,100076.95627175074,0.0
3420,0.0,0.0,39.42168734539366,100054.02749385087,0.0
3480,0.0,0.0,40.26155748116878,100031.19275692789,0.0
3540,0.0,0.0,41.11351980389768,99763.13434989084,0.0
3600,0.0,0.0,41.977502844480114,99916.18108934347,0.0
3660,0.0,0.0,42.85342373420452,100061.76336392066,0.0
3720,0.0,0.0,43.74118799724212,100033.17555531183,0.0
3780,0.0,0.0,44.64068936080247,100117.02792676703,0.0
3840,0.0,0.0,45.55180958415609,99918.70469401867,0.0
3900,0.0,0.0,46.47441830777429,99889.60609026405,0.0
3960,0.0,0.0,47.408372923782565,99979.76971014544,0.0
4020,0.0,0.0,48.35351846887403,100044.36338272908,0.0
4080,0.0,0.0,49.309687540811005,100015.41110208453,0.0
4140,0.0,0.0,50.27670023957614,100013.6405261002,0.0
4200,0.0,0.0,51.254364134174885,99797.91613800543,0.0
4260,0.0,0.0,52.242474256035806,99931.18274487715,0.0
4320,0.0,0.0,53.240813119862466,100096.07399041778,0.0
4380,0.0,0.0,54.24915077272174,100043.87537495745,0.0
4440,0.0,0.0,55.267244872058626,100058.87625934956,0.0
4500,0.0,0.0,56.294840793222576,99739.40644700809,0.0
4560,0.0,0.0,57.33167176701104,99907.85353222917,0.0
4620,0.0,0.0,58.377459047575094,100011.8630593131,0.0
4680,0.0,0.0,59.43191211098754,100119.0054252776,0.0
4740,0.0,0.0,60.49472888456856,100015.18501056303,0.0
4800,0.0,0.0,61.56559600703053,99969.7282659199,0.0
4860,0.0,0.0,62.64418911927138,99872.12178640891,0.0
4920,0.0,0.0,63.73017318560575,99952.76974396496,0.0
4980,0.0,0.0,64.82320284501898,100058.28020506147,0.0
5040,0.0,0.0,65.92292279192118,100070.53671520809,0.0
5100,0.0,0.0,67.02896818575563,99858.89777982661,0.0
5160,0.0,0.0,68.14096508864318,99927.32527038315,0.0
5220,0.0,0.0,69.25853093010264,99943.25357676286,0.0
5280,0.0,0.0,70.38127499782838,100011.30396273422,0.0
5340,0.0,0.0,71.5087989532425,100148.30741109008,0.0
5400,0.0,0.0,72.64069737055803,99981.8452082811,0.0
5460,0.0,0.0,73.77655829788353,99920.35225147444,0.0
5520,0.0,0.0,74.91596383874574,99902.77682980188,0.0
5580,0.0,0.0,76.05849075241926,99993.76853251921,0.0
5640,0.0,0.0,77.20371107124798,100168.15216458538,0.0
5700,0.0,0.0,78.35119273306557,99978.59401107178,0.0
5760,0.0,0.0,79.50050022684829,99988.07545386362,0.0
5820,0.0,0.0,80.65119524943316,99831.75292048325,0.0
5880,0.0,0.0,81.80283737136497,99978.69492436353,0.0
5940,0.0,0.0,82.95498470957673,100047.73516998542,0.0
6000,0.0,0.0,84.10719460488399,99994.68156132796,0.0
6060,0.0,0.0,85.25902430195654,100016.81849532475,0.0
6120,0.0,0.0,86.41003162963193,99793.55840947895,0.0
6180,0.0,0.0,87.55977567933161,99935.80653610005,0.0
6240,0.0,0.0,88.70781747931176,100109.4750160709,0.0
6300,0.0,0.0,89.85372066266866,100037.23378191411,0.0
6360,0.0,0.0,90.99705212685795,100061.40509812911,0.0
6420,0.0,0.0,92.13738268265868,99877.66147455548,0.0
6480,0.0,0.0,93.27428769056432,99903.21646307805,0.0
6540,0.0,0.0,94.40734768254019,100024.89930181517,0.0
6600,0.0,0.0,95.53614896734152,100067.40943687971,0.0
6660,0.0,0.0,96.66028421753737,99966.3206241883,0.0
6720,0.0,0.0,97.77935303654142,99972.86754179001,0.0
6780,0.0,0.0,98.89296250404344,99841.1038344703,0.0
6840,0.0,0.0,100.00072769836969,99964.25494482121,0.0
6900,0.0,0.0,101.10227219436118,100130.25210004408,0.0
6960,0.0,0.0,102.19722853558642,99983.74208302656,0.0
7020,0.0,0.0,103.28523867973944,99986.59146931868,0.0
7080,0.0,0.0,104.36595441624529,99842.7998174071,0.0
7140,0.0,0.0,105.43903775524818,100001.09038992233,0.0
7200,0.0,0.0,106.50416128725709,100009.4108792003,0.0
7260,0.0,0.0,107.56100851290446,100160.64662345524,0.0
7320,0.0,0.0,108.60927414236903,99975.24187239783,0.0
7380,0.0,0.0,109.64866436420549,99928.73819459011,0.0
7440,0.0,0.0,110.67889708337324,99909.19008476035,0.0
7500,0.0,0.0,111.69970212848834,99994.44206462998,0.0
7560,0.0,0.0,112.71082142837483,100056.1600810547,0.0
7620,0.0,0.0,113.71200915814866,100056.28044154357,0.0
