t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,7000.0,0.0
60,0.0,0.0,5.759739251219155,214869.78793018416,0.0
120,0.0,0.0,4.0779189081791944,215396.6321991197,0.0
180,0.0,0.0,3.1759284131610603,215441.64308532455,0.0
240,0.0,0.0,2.6136228330680464,215586.26625272777,0.0
300,0.0,0.0,2.229652849339529,215274.7712172266,0.0
360,0.0,0.0,1.9508835679592311,215442.9845527609,0.0
420,0.0,0.0,1.7393612837434824,215056.55818235947,0.0
480,0.0,0.0,1.5734289939013726,215347.56672471802,0.0
540,0.0,0.0,1.4398277639240686,215763.5020281483,0.0
600,0.0,0.0,1.3299856199427147,215486.95581713447,0.0
660,0.0,0.0,1.2381146815879653,215497.89807735643,0.0
720,0.0,0.0,1.160165773020091,215148.671642257,0.0
780,0.0,0.0,1.0932211059667094,215287.41903888495,0.0
840,0.0,0.0,1.035124934347813,215543.51879430353,0.0
900,0.0,0.0,0.9842500148076629,215592.41393619293,0.0
960,0.0,0.0,0.9393449956507198,215221.99270211873,0.0
1020,0.0,0.0,0.8994318003371756,215331.00330167744,0.0
1080,0.0,0.0,0.8637348896580841,215216.06811567122,0.0
1140,0.0,0.0,0.8316314118594983,215421.8586173371,0.0
1200,0.0,0.0,0.8026153877980197,215766.8159981596,0.0
1260,0.0,0.0,0.7762715241458716,215448.99019202086,0.0
1320,0.0,0.0,0.7522557653015712,215341.34843281715,0.0
1380,0.0,0.0,0.730280645599277,215177.55000256587,0.0
1440,0.0,0.0,0.7101041120998685,215368.44042199096,0.0
1500,0.0,0.0,0.6915208962665451,215580.25620307337,0.0
1560,0.0,0.0,0.6743557808430816,215589.69237364014,0.0
1620,0.0,0.0,0.6584582933735335,215157.5400902899,0.0
1680,0.0,0.0,0.6436984858293611,215075.26679118763,0.0
1740,0.0,0.0,0.6299635496935596,215301.47337787392,0.0
1800,0.0,0.0,0.6171550794048609,215800.53851285408,0.0
1860,0.0,0.0,0.6051868440254914,215461.99804161693,0.0
1920,0.0,0.0,0.5939829600981087,215526.61429684068,0.0
1980,0.0,0.0,0.5834763841309636,214946.1441451076,0.0
2040,0.0,0.0,0.5736076610587895,215272.86472937177,0.0
2100,0.0,0.0,0.5643238796194344,215598.3300035936,0.0
2160,0.0,0.0,0.55557779560213,215520.53956364264,0.0
2220,0.0,0.0,0.5473270924278355,215650.91127132264,0.0
2280,0.0,0.0,0.5395337545883754,215231.35589737236,0.0
2340,0.0,0.0,0.5321635342874464,215206.31057816016,0.0
2400,0.0,0.0,0.5251854956053236,215432.8928677769,0.0
2460,0.0,0.0,0.5185716232493423,215556.72777852786,0.0
2520,0.0,0.0,0.5122964855205804,215440.07987084353,0.0
2580,0.0,0.0,0.5063369429069091,215439.5584792185,0.0
2640,0.0,0.0,0.5006718952659903,215030.33990951852,0.0
2700,0.0,0.0,0.4952820617523721,215314.61706554485,0.0
2760,0.0,0.0,0.49014978866499026,215677.71105181918,0.0
2820,0.0,0.0,0.4852588811472505,215529.67830649813,0.0
2880,0.0,0.0,0.48059445536386547,215522.87084060392,0.0
2940,0.0,0.0,0.47614280831306743,214904.78963923783,0.0
3000,0.0,0.0,0.47189130285084024,215260.15978796664,0.0
3060,0.0,0.0,0.46782826591350546,215503.26566736252,0.0
3120,0.0,0.0,0.4639428981845563,215666.496074112,0.0
3180,0.0,0.0,0.4602251937458956,215453.71409651794,0.0
3240,0.0,0.0,0.45666586844024665,215329.19105997242,0.0
3300,0.0,0.0,0.45325629586987215,215185.72554176042,0.0
3360,0.0,0.0,0.44998845009265703,215366.49497748484,0.0
3420,0.0,0.0,0.4468548542149346,215569.54234552366,0.0
3480,0.0,0.0,0.44384853418419407,215585.75416685527,0.0
3540,0.0,0.0,0.44096297717738014,215095.09084470538,0.0
3600,0.0,0.0,0.4381920940601273,215263.4502567209,0.0
3660,0.0,0.0,0.4355301854630593,215369.7181137227,0.0
3720,0.0,0.0,0.4329719110693336,215483.49582706252,0.0
3780,0.0,0.0,0.4305122617686324,215747.43883863543,0.0
3840,0.0,0.0,0.42814653436872546,215373.03680249525,0.0
3900,0.0,0.0,0.42587030859244984,215237.82782255826,0.0
3960,0.0,0.0,0.4236794261275808,215262.98784823567,0.0
4020,0.0,0.0,0.4215699715140207,215455.3837475689,0.0
4080,0.0,0.0,0.4195382546854212,215779.38435721857,0.0
4140,0.0,0.0,0.41758079500031586,215364.20653456915,0.0
4200,0.0,0.0,0.4156943066148126,215380.1846105583,0.0
4260,0.0,0.0,0.41387568507010364,215137.65981234045,0.0
4320,0.0,0.0,0.41212199497532176,215423.97990971495,0.0
4380,0.0,0.0,0.4104304586853431,215561.55318187998,0.0
4440,0.0,0.0,0.4087984458791104,215394.365273357,0.0
4500,0.0,0.0,0.40722346395675163,215452.25499920137,0.0
4560,0.0,0.0,0.4057031491815287,215022.9230920874,0.0
4620,0.0,0.0,0.40423525849905767,215320.51192671087,0.0
4680,0.0,0.0,0.4028176619753743,215703.5991762629,0.0
4740,0.0,0.0,0.4014483357987176,215514.87337747103,0.0
4800,0.0,0.0,0.4001253557966668,215532.19235055457,0.0
4860,0.0,0.0,0.3988468914257546,215155.34405673607,0.0
4920,0.0,0.0,0.3976112001923497,215250.2669942752,0.0
