t,Tpos,Tpro,Tneg,o2,test
0,0.0,10.0,0.0,100.0,0.0
60,0.0,10.173023703140805,0.0,20.195732109547237,-202.3911369289536
120,0.0,10.349009920275675,0.0,20.004213820970193,-206.37833468715775
180,0.0,10.528008286868644,0.0,19.996792323005035,-209.96668198125033
240,0.0,10.710069232026433,0.0,19.973423885514194,-213.65586396469686
300,0.0,10.895243989857017,0.0,20.002428725951248,-217.27659330666924
360,0.0,11.08358461094248,0.0,20.009233515385638,-221.01580579369022
420,0.0,11.275143973925069,0.0,20.026877020791474,-224.7921969965429
480,0.0,11.469975797207361,0.0,20.00127529062021,-228.7416581350969
540,0.0,11.668134650764875,0.0,19.985564787151695,-232.73281952280323
600,0.0,11.869675968068867,0.0,19.990499841304988,-236.73997919182264
660,0.0,12.074656058121496,0.0,20.017131733677854,-240.76164041903047
720,0.0,12.28313211759806,0.0,20.018753677215166,-244.91537289687022
780,0.0,12.49516224309766,0.0,19.99698868743411,-249.19828891153156
840,0.0,12.710805443499506,0.0,19.992650018556443,-253.50982876413536
900,0.0,12.930121652426234,0.0,19.98153557259262,-257.9115173217741
960,0.0,13.15317174080604,0.0,20.027055676095618,-262.24650606411217
1020,0.0,13.380017529541487,0.0,20.008409039102858,-266.81714971452885
1080,0.0,13.610721802271634,0.0,20.018574958491524,-271.3929316074129
1140,0.0,13.845348318235011,0.0,20.00043446843732,-276.1175024085416
1200,0.0,14.083961825227282,0.0,19.968347797290118,-280.9563576222102
1260,0.0,14.32662807264772,0.0,19.999519910755115,-285.71836591670876
1320,0.0,14.573413824641866,0.0,20.00904759383785,-290.6164919725519
1380,0.0,14.824386873324078,0.0,20.0221970239519,-295.5891090596269
1440,0.0,15.079616052088978,0.0,20.00464020179894,-300.7231555386076
1500,0.0,15.3391712490016,0.0,19.986322071621014,-305.9453845018114
1560,0.0,15.60312342026664,0.0,19.985864709655665,-311.21079539938535
1620,0.0,15.871544603770213,0.0,20.02862044627,-316.45763551287484
1680,0.0,16.14450793269492,0.0,20.017429660337058,-321.9295358195954
1740,0.0,16.422087649197664,0.0,20.005501877058744,-327.4953511701751
1800,0.0,16.704359118152283,0.0,19.98205333674048,-333.1834628517604
1860,0.0,16.99139884095137,0.0,19.988371159023686,-338.89249098651527
1920,0.0,17.283284469359064,0.0,20.000108429905755,-344.68466914316673
1980,0.0,17.580094819415027,0.0,20.04416837273825,-350.4945166365335
2040,0.0,17.881909885380974,0.0,20.014338377737047,-356.5883532520107
2100,0.0,18.18881085372616,0.0,19.981358394905424,-362.791484702271
2160,0.0,18.500880117144362,0.0,19.991639534141115,-368.98988298426383
2220,0.0,18.818201288603372,0.0,19.98053563390615,-375.346336702429
2280,0.0,19.140859215407477,0.0,20.01920323301787,-381.6851965137709
2340,0.0,19.468939993283566,0.0,20.02034758978316,-388.2257433089233
2400,0.0,19.802530980467814,0.0,19.99840062864291,-394.9337492211335
2460,0.0,20.141720811798564,0.0,19.987390852341523,-401.7261755753368
2520,0.0,20.486599412801134,0.0,19.999498605233846,-408.57446242256594
2580,0.0,20.837258013761357,0.0,20.000247870564337,-415.5663503507135
2640,0.0,21.19378916377414,0.0,20.035439439659882,-422.5895458315569
2700,0.0,21.556286744766112,0.0,20.001091646782424,-429.90505205363604
2760,0.0,21.92484598547741,0.0,19.994451175921515,-437.27242253599076
2820,0.0,22.299563475398628,0.0,19.96759654107685,-444.8130061870972
2880,0.0,22.68053717864911,0.0,20.02866751869424,-452.2592774786804
2940,0.0,23.067866447793953,0.0,20.009472507173506,-460.03234700753234
3000,0.0,23.461652037578435,0.0,20.01554016452194,-467.87125189671
3060,0.0,23.86199611858066,0.0,19.999579633751114,-475.8958743188549
3120,0.0,24.269002290768316,0.0,19.967386561618667,-484.0938369371863
3180,0.0,24.682775596940377,0.0,19.99957610325293,-492.2663626197757
3240,0.0,25.103422536059533,0.0,20.009560377678604,-500.63133488857784
3300,0.0,25.531051076441436,0.0,20.021054779651354,-509.13181491213606
3360,0.0,25.96577066880683,0.0,20.00336492045481,-517.8464651604124
3420,0.0,26.407692259172876,0.0,19.985738002735797,-526.7046239110775
