t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,7000.0,0.0
60,0.0,0.0,9.919702216246847,462880.03441907786,0.0
120,0.0,0.0,9.842830392592582,464207.9197531427,0.0
180,0.0,0.0,9.769195080615622,463942.0022192108,0.0
240,0.0,0.0,9.69862266343369,464411.6364045805,0.0
300,0.0,0.0,9.630951412807546,464493.2038458206,0.0
360,0.0,0.0,9.566030487579534,463908.04580990295,0.0
420,0.0,0.0,9.503719031878873,463772.37924667716,0.0
480,0.0,0.0,9.443885361676,463798.22895502136,0.0
540,0.0,0.0,9.386406229688758,464232.8583046342,0.0
600,0.0,0.0,9.331166160016656,464808.9584919295,0.0
660,0.0,0.0,9.278056844899371,463996.0743226804,0.0
720,0.0,0.0,9.226976596891712,463949.1031302041,0.0
780,0.0,0.0,9.17782985069062,463553.0910950868,0.0
840,0.0,0.0,9.13052670934503,464137.2293374868,0.0
900,0.0,0.0,9.084982530374033,464453.55523004034,0.0
960,0.0,0.0,9.041117547708613,464042.6995588624,0.0
1020,0.0,0.0,8.998856525906334,464142.75379279,0.0
1080,0.0,0.0,8.95812844348256,463287.133818393,0.0
1140,0.0,0.0,8.918866202499926,463907.0284463353,0.0
1200,0.0,0.0,8.881006361952704,464718.8518883834,0.0
1260,0.0,0.0,8.844488892664247,464316.7347050471,0.0
1320,0.0,0.0,8.809256951702723,464303.2198754805,0.0
1380,0.0,0.0,8.775256674551633,463523.6326759457,0.0
1440,0.0,0.0,8.742436983381035,463751.44576491165,0.0
1500,0.0,0.0,8.710749410023183,464332.7043274343,0.0
1560,0.0,0.0,8.680147932320148,464491.2928540903,0.0
1620,0.0,0.0,8.650588822693193,464076.1033250569,0.0
1680,0.0,0.0,8.622030507874284,463374.47281703644,0.0
1740,0.0,0.0,8.594433438855567,463720.493065816,0.0
1800,0.0,0.0,8.567759970194166,464568.90802805685,0.0
1860,0.0,0.0,8.54197424789322,464352.43250640295,0.0
1920,0.0,0.0,8.51704210515345,464475.7987994218,0.0
1980,0.0,0.0,8.492930965366785,463271.9133506994,0.0
2040,0.0,0.0,8.469609751751534,463789.51402287546,0.0
2100,0.0,0.0,8.447048803127611,464059.6291441941,0.0
2160,0.0,0.0,8.425219795325946,464245.8623620155,0.0
2220,0.0,0.0,8.40409566780886,464825.7979565588,0.0
2280,0.0,0.0,8.38365055510162,463966.84037914535,0.0
2340,0.0,0.0,8.363859722656658,463706.236434752,0.0
2400,0.0,0.0,8.34469950683999,463818.2497298379,0.0
2460,0.0,0.0,8.32614725871289,464207.5124401499,0.0
2520,0.0,0.0,8.308181291341045,464391.8523090612,0.0
2580,0.0,0.0,8.29078083037117,464361.09984642913,0.0
2640,0.0,0.0,8.273925967641324,463215.51968701865,0.0
2700,0.0,0.0,8.25759761760561,463724.5689689913,0.0
2760,0.0,0.0,8.241777476381612,464325.9143481223,0.0
2820,0.0,0.0,8.226447983229614,464516.28941053536,0.0
2880,0.0,0.0,8.211592284299533,464348.4462910111,0.0
2940,0.0,0.0,8.197194198491099,463765.18603130063,0.0
3000,0.0,0.0,8.183238185281263,463363.67655946355,0.0
3060,0.0,0.0,8.169709314390248,463912.99306384474,0.0
3120,0.0,0.0,8.1565932371608,464806.66558341694,0.0
3180,0.0,0.0,8.143876159541112,464279.60695154377,0.0
3240,0.0,0.0,8.131544816561446,464345.7423871123,0.0
3300,0.0,0.0,8.119586448216817,463529.20859500486,0.0
3360,0.0,0.0,8.107988776655521,463770.73930276785,0.0
3420,0.0,0.0,8.096739984599932,464340.3023430295,0.0
3480,0.0,0.0,8.085828694915579,464477.469257028,0.0
3540,0.0,0.0,8.075243951260552,463814.75014942844,0.0
3600,0.0,0.0,8.064975199746488,463953.2619955517,0.0
3660,0.0,0.0,8.055012271552334,463555.7603808856,0.0
3720,0.0,0.0,8.04534536642951,464063.7208131017,0.0
3780,0.0,0.0,8.035965037047603,464821.42621463217,0.0
3840,0.0,0.0,8.026862174130164,464226.53112944163,0.0
3900,0.0,0.0,8.018027992331485,464017.63146145525,0.0
3960,0.0,0.0,8.009454016815933,463534.05229158927,0.0
4020,0.0,0.0,8.001132070494194,463926.9806109746,0.0
4080,0.0,0.0,7.993054261881889,464946.04807143233,0.0
4140,0.0,0.0,7.985212973543889,464229.42371516617,0.0
4200,0.0,0.0,7.977600851090321,464302.7691860126,0.0
4260,0.0,0.0,7.970210792696379,463042.3087313487,0.0
4320,0.0,0.0,7.963035939112785,463833.109270899,0.0
