t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,0.5,0.0
60,0.0,0.0,9.992567036246372,-0.00028967766749727155,0.0
120,0.0,0.0,7.449862764496057,-0.0007887261446289295,0.0
180,0.0,0.0,5.973047335643258,-0.00029327853518222065,0.0
240,0.0,0.0,5.010176493819764,2.8426422908248475e-05,0.0
300,0.0,0.0,4.473568249986618,0.00021421746291043606,0.0
360,0.0,0.0,4.144348619475254,0.00032390913545231765,0.0
420,0.0,0.0,3.906027619754913,0.00040354306883084984,0.0
480,0.0,0.0,3.720790153701819,0.00046185724060554176,0.0
540,0.0,0.0,3.5703953244004403,0.0005086458716756892,0.0
600,0.0,0.0,3.4447369517570166,0.0005486057269965382,0.0
660,0.0,0.0,3.337519498996803,0.0005858488002722442,0.0
720,0.0,0.0,3.2447746341988215,0.0006155709095032482,0.0
780,0.0,0.0,3.1635302458024754,0.0006394788964990543,0.0
840,0.0,0.0,3.0916225398072332,0.0006596737851073003,0.0
900,0.0,0.0,3.027350294663208,0.0006817834820233626,0.0
960,0.0,0.0,2.9696035536945478,0.0007010306830873256,0.0
1020,0.0,0.0,2.917380533059157,0.0007195298137083733,0.0
1080,0.0,0.0,2.8700094166095593,0.0007318490803763381,0.0
1140,0.0,0.0,2.826749309012942,0.0007441577534813431,0.0
1200,0.0,0.0,2.7870904618429613,0.0007565820835093328,0.0
1260,0.0,0.0,2.7505793681124393,0.0007712636212843633,0.0
1320,0.0,0.0,2.716948256256565,0.0007818298131274475,0.0
1380,0.0,0.0,2.6858714308201845,0.0007895473623279786,0.0
1440,0.0,0.0,2.657043893129558,0.0007974677039362642,0.0
1500,0.0,0.0,2.6302406329721926,0.0008057228689860957,0.0
1560,0.0,0.0,2.605236859682493,0.0008167653281506591,0.0
1620,0.0,0.0,2.5819354953722655,0.0008252381949992291,0.0
1680,0.0,0.0,2.5601896665085957,0.0008301513330316962,0.0
1740,0.0,0.0,2.539854684388305,0.0008327772448071054,0.0
1800,0.0,0.0,2.520724007021604,0.0008409561520772269,0.0
1860,0.0,0.0,2.5027874812857185,0.0008466227411193641,0.0
1920,0.0,0.0,2.485882071875486,0.0008560965702562566,0.0
1980,0.0,0.0,2.4700482079357577,0.0008582658094456425,0.0
2040,0.0,0.0,2.455112759979016,0.0008617242199629833,0.0
2100,0.0,0.0,2.441044817343892,0.000863288735621584,0.0
2160,0.0,0.0,2.427688075562619,0.0008725285227985508,0.0
2220,0.0,0.0,2.4151273842940024,0.0008753641355948421,0.0
2280,0.0,0.0,2.4032310310723215,0.0008799685578323185,0.0
2340,0.0,0.0,2.391996904218225,0.0008818363034689864,0.0
2400,0.0,0.0,2.38137236404216,0.0008820796607485322,0.0
2460,0.0,0.0,2.3712475222518528,0.0008882729968529289,0.0
2520,0.0,0.0,2.361664082716077,0.0008923282772537343,0.0
2580,0.0,0.0,2.352573497720637,0.0008960259531729004,0.0
2640,0.0,0.0,2.3439652704571197,0.0008969780483612962,0.0
2700,0.0,0.0,2.335786134317131,0.0008980705188412761,0.0
2760,0.0,0.0,2.328000849899609,0.000900588956527335,0.0
2820,0.0,0.0,2.3205588364707292,0.0009074385370873545,0.0
2880,0.0,0.0,2.313532045592603,0.0009080596325004376,0.0
2940,0.0,0.0,2.3068491718084374,0.0009080457556158604,0.0
3000,0.0,0.0,2.300481506325717,0.0009086689996095423,0.0
3060,0.0,0.0,2.2943999757464417,0.0009113170789634966,0.0
3120,0.0,0.0,2.288591338348824,0.0009153629558629977,0.0
3180,0.0,0.0,2.28305899605683,0.000919136730983935,0.0
3240,0.0,0.0,2.277818151035654,0.0009183813471326182,0.0
3300,0.0,0.0,2.272830303336592,0.0009163095825340592,0.0
3360,0.0,0.0,2.268025644716332,0.0009198873905239415,0.0
3420,0.0,0.0,2.2634571798049343,0.000921318875970912,0.0
3480,0.0,0.0,2.2590713843775534,0.0009258799170951947,0.0
3540,0.0,0.0,2.2549174740715143,0.0009259485632296528,0.0
3600,0.0,0.0,2.250959952850128,0.0009248001917561607,0.0
3660,0.0,0.0,2.2471654787082556,0.0009255378271455679,0.0
3720,0.0,0.0,2.243510784027254,0.0009298604726594619,0.0
3780,0.0,0.0,2.2400472891639707,0.0009304517061140405,0.0
3840,0.0,0.0,2.23672847326466,0.0009319925288806544,0.0
3900,0.0,0.0,2.2335846370452046,0.0009298549437085038,0.0
3960,0.0,0.0,2.23055213292461,0.000931151575361738,0.0
4020,0.0,0.0,2.227652934548559,0.0009321452390183635,0.0
4080,0.0,0.0,2.2248397772186714,0.000938597670752514,0.0
4140,0.0,0.0,2.2222112511684,0.0009363757330002224,0.0
4200,0.0,0.0,2.2196946742175054,0.0009343775160403653,0.0
4260,0.0,0.0,2.217261411067684,0.0009356431612956114,0.0
4320,0.0,0.0,2.2149480816032163,0.0009348631804330891,0.0
4380,0.0,0.0,2.2126934419355764,0.0009394504382629245,0.0
4440,0.0,0.0,2.2105596966775853,0.0009405242901672284,0.0
4500,0.0,0.0,2.2085349624374007,0.0009391546616573479,0.0
4560,0.0,0.0,2.20659041409905,0.0009385880964991905,0.0
4620,0.0,0.0,2.2047112067209644,0.0009402265434620425,0.0
4680,0.0,0.0,2.2029194413080626,0.0009408772692014451,0.0
4740,0.0,0.0,2.20117737191911,0.0009448826283644332,0.0
4800,0.0,0.0,2.1995524897472656,0.0009428297835860201,0.0
4860,0.0,0.0,2.1980016797453796,0.0009400298916080875,0.0
4920,0.0,0.0,2.1964767641516927,0.000942636368159579,0.0
4980,0.0,0.0,2.1950302149863705,0.0009433259013807793,0.0
5040,0.0,0.0,2.193622023533544,0.0009467173182815916,0.0
5100,0.0,0.0,2.1923159362567173,0.0009443634171958021,0.0
5160,0.0,0.0,2.191046077660614,0.000944351668857486,0.0
5220,0.0,0.0,2.1898472500596267,0.0009417728344325267,0.0
5280,0.0,0.0,2.188650868832915,0.0009456982420138496,0.0
5340,0.0,0.0,2.18752145733464,0.0009470606474985291,0.0
5400,0.0,0.0,2.186444776835857,0.000947618466148741,0.0
5460,0.0,0.0,2.1854259184031375,0.0009462157790201277,0.0
5520,0.0,0.0,2.1844443479313096,0.0009454623167654177,0.0
5580,0.0,0.0,2.183495949083388,0.0009458751402788516,0.0
5640,0.0,0.0,2.1825514327530797,0.0009510100358002246,0.0
5700,0.0,0.0,2.181695212117752,0.0009492035590567703,0.0
5760,0.0,0.0,2.1808775294380083,0.0009469239599288957,0.0
5820,0.0,0.0,2.180081766779488,0.000946386171333402,0.0
5880,0.0,0.0,2.1793085168792903,0.000947363939779893,0.0
5940,0.0,0.0,2.178551610403624,0.0009501922189522333,0.0
6000,0.0,0.0,2.1778378723321747,0.000951583413545045,0.0
6060,0.0,0.0,2.1771747625218842,0.0009496508260728678,0.0
6120,0.0,0.0,2.176550518053843,0.0009461105933777018,0.0
6180,0.0,0.0,2.1759074707625903,0.0009487669348411517,0.0
6240,0.0,0.0,2.1753065876750286,0.0009491280528394828,0.0
6300,0.0,0.0,2.174710837104402,0.0009522458774612806,0.0
6360,0.0,0.0,2.1741689176488155,0.0009509880124968042,0.0
6420,0.0,0.0,2.173655758194668,0.0009488297408442101,0.0
6480,0.0,0.0,2.1731505307078893,0.0009486476587906974,0.0
6540,0.0,0.0,2.172636991250577,0.0009523932828462312,0.0
6600,0.0,0.0,2.1721754205260795,0.000951784150045694,0.0
6660,0.0,0.0,2.171726558864481,0.0009519576499118793,0.0
6720,0.0,0.0,2.171307559921767,0.0009504505363946308,0.0
6780,0.0,0.0,2.1709129086568875,0.0009479954443346773,0.0
6840,0.0,0.0,2.1704785960785955,0.0009534714729895169,0.0
6900,0.0,0.0,2.170108333299314,0.0009523928000584686,0.0
6960,0.0,0.0,2.1697368294830643,0.0009533519025834773,0.0
7020,0.0,0.0,2.169418486961707,0.0009491348942745045,0.0
7080,0.0,0.0,2.169073209396627,0.000950606331956963,0.0
7140,0.0,0.0,2.1687589863454746,0.0009494837442025059,0.0
7200,0.0,0.0,2.168421733251672,0.000953451817539323,0.0
7260,0.0,0.0,2.1681228161035326,0.0009537053022105976,0.0
7320,0.0,0.0,2.1678520510936266,0.0009517096926835155,0.0
7380,0.0,0.0,2.1675858037692755,0.0009507015516176844,0.0
7440,0.0,0.0,2.16731265617072,0.0009521275692076501,0.0
7500,0.0,0.0,2.1670611860066407,0.0009521637839675422,0.0
7560,0.0,0.0,2.16679567938144,0.0009555149010890624,0.0
7620,0.0,0.0,2.166581528389387,0.0009530213029873783,0.0
7680,0.0,0.0,2.1663820854761346,0.0009497544669823964,0.0
7740,0.0,0.0,2.1661498514616397,0.0009523923537626651,0.0
7800,0.0,0.0,2.165945481317881,0.0009524996872723387,0.0
7860,0.0,0.0,2.1657272893177852,0.0009554462107841156,0.0
7920,0.0,0.0,2.165561730371314,0.0009523971822802204,0.0
7980,0.0,0.0,2.1653813312450523,0.0009523038122145146,0.0
8040,0.0,0.0,2.165227354352896,0.0009494435229802448,0.0
8100,0.0,0.0,2.1650331812765073,0.0009531963606673656,0.0
8160,0.0,0.0,2.1648648772250834,0.0009542313683831245,0.0
8220,0.0,0.0,2.1647107773168726,0.0009542565629585954,0.0
8280,0.0,0.0,2.1645739934727795,0.0009526235143932441,0.0
8340,0.0,0.0,2.1644370994119777,0.0009517958770280113,0.0
8400,0.0,0.0,2.1643001837356355,0.0009519367544748285,0.0
8460,0.0,0.0,2.16413390548961,0.0009568999522089573,0.0
8520,0.0,0.0,2.1640244699014333,0.0009546667452799475,0.0
8580,0.0,0.0,2.163922660835473,0.0009520040910201808,0.0
8640,0.0,0.0,2.1638055381347154,0.0009521321839553893,0.0
8700,0.0,0.0,2.1637011604193996,0.0009511670314967598,0.0
8760,0.0,0.0,2.1635465207365407,0.0009580568791657432,0.0
8820,0.0,0.0,2.1634663555901024,0.0009551141279142199,0.0
8880,0.0,0.0,2.163378751596613,0.0009535257704562566,0.0
8940,0.0,0.0,2.1633061204531634,0.0009505208340889964,0.0
9000,0.0,0.0,2.1632015674465697,0.0009526711519600826,0.0
9060,0.0,0.0,2.1631099202120874,0.0009532680814448278,0.0
9120,0.0,0.0,2.1630081810530135,0.0009558957965789561,0.0
9180,0.0,0.0,2.162937724467698,0.0009544243253386221,0.0
9240,0.0,0.0,2.1628759393577517,0.0009521738529285803,0.0
9300,0.0,0.0,2.162804140295313,0.0009518873503685568,0.0
9360,0.0,0.0,2.162705523547214,0.0009557133396728899,0.0
9420,0.0,0.0,2.1626444274262226,0.0009547848095812684,0.0
9480,0.0,0.0,2.162579929420448,0.0009546444023003353,0.0
9540,0.0,0.0,2.1625273901054562,0.0009531441063860721,0.0
9600,0.0,0.0,2.162484950065676,0.000950606945466457,0.0
9660,0.0,0.0,2.1623870123834594,0.0009563198455843542,0.0
9720,0.0,0.0,2.162343281605084,0.0009548675266414872,0.0
9780,0.0,0.0,2.1622844543794875,0.0009555748915050063,0.0
9840,0.0,0.0,2.1622651952424197,0.0009512029532428348,0.0
9900,0.0,0.0,2.1622057406606268,0.000952761145691182,0.0
9960,0.0,0.0,2.162166298317142,0.0009516177127101891,0.0
10020,0.0,0.0,2.162093382462416,0.0009555225341247971,0.0
10080,0.0,0.0,2.162049001610378,0.0009555577173203433,0.0
10140,0.0,0.0,2.162021907804251,0.0009534177489357571,0.0
10200,0.0,0.0,2.16198865316581,0.0009524123803852109,0.0
10260,0.0,0.0,2.161938155427545,0.0009539909013797608,0.0
10320,0.0,0.0,2.1619026106187307,0.0009538493163452844,0.0
10380,0.0,0.0,2.161845085890617,0.0009569458980892541,0.0
10440,0.0,0.0,2.1618287776662526,0.0009544166859031781,0.0
10500,0.0,0.0,2.1618195398500215,0.0009510725307729105,0.0
10560,0.0,0.0,2.1617739534220792,0.0009530095050806397,0.0
10620,0.0,0.0,2.161739159597759,0.0009536314999297306,0.0
10680,0.0,0.0,2.1616822959572297,0.0009577550163041691,0.0
10740,0.0,0.0,2.161676391623942,0.0009547799900493488,0.0
10800,0.0,0.0,2.161666057575343,0.0009523949962997691,0.0
10860,0.0,0.0,2.161638976066714,0.0009525933222816409,0.0
10920,0.0,0.0,2.1616050023407167,0.000954184344835337,0.0
10980,0.0,0.0,2.1615710362081155,0.0009555664480601518,0.0
11040,0.0,0.0,2.161551487234387,0.0009551371710387498,0.0
11100,0.0,0.0,2.1615403688150785,0.0009535473425417257,0.0
11160,0.0,0.0,2.1615239365446737,0.0009527789589841451,0.0
11220,0.0,0.0,2.161503636934137,0.0009528496430695697,0.0
