t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,1000.0,0.5,0.0
60,0.0,0.0,1025.0127233037174,1.040452302712823,0.0
120,0.0,0.0,1050.8401882620635,1.0418639309532274,0.0
180,0.0,0.0,1077.2399666876127,1.0410393382639738,0.0
240,0.0,0.0,1104.2207663946438,1.0414437014629445,0.0
300,0.0,0.0,1131.7912244591914,1.0421322670863864,0.0
360,0.0,0.0,1159.9598946159892,1.0394389240514372,0.0
420,0.0,0.0,1188.7352341567996,1.0393407290986114,0.0
480,0.0,0.0,1218.1255903351207,1.0391318292430471,0.0
540,0.0,0.0,1248.1391862780451,1.0404817224605554,0.0
600,0.0,0.0,1278.7841064131003,1.0399952109730541,0.0
660,0.0,0.0,1310.0682814143238,1.0395692970400265,0.0
720,0.0,0.0,1341.9994726796215,1.036465466393491,0.0
780,0.0,0.0,1374.5852563484843,1.0373844309834004,0.0
840,0.0,0.0,1407.8330068759722,1.0382844789452246,0.0
900,0.0,0.0,1441.7498801762504,1.0386052048869299,0.0
960,0.0,0.0,1476.342796357906,1.0378091935133438,0.0
1020,0.0,0.0,1511.618422067044,1.0362827508064418,0.0
1080,0.0,0.0,1547.583152466609,1.034700991389352,0.0
1140,0.0,0.0,1584.243092875089,1.0356347873531453,0.0
1200,0.0,0.0,1621.6040400960192,1.0371257515147143,0.0
1260,0.0,0.0,1659.6714634680359,1.0357976297268996,0.0
1320,0.0,0.0,1698.4504856731276,1.0355022676433643,0.0
1380,0.0,0.0,1737.9458633384033,1.0332660345769595,0.0
1440,0.0,0.0,1778.1619674738445,1.0332851500103282,0.0
1500,0.0,0.0,1819.1027637902248,1.034147449402786,0.0
1560,0.0,0.0,1860.771792943361,1.0340885983580177,0.0
1620,0.0,0.0,1903.172150754566,1.032412497950602,0.0
1680,0.0,0.0,1946.306468460985,1.0320631285846846,0.0
1740,0.0,0.0,1990.1768930507224,1.0305307422811167,0.0
1800,0.0,0.0,2034.7850677415054,1.0318984103296271,0.0
1860,0.0,0.0,2080.132112665633,1.0314921212463115,0.0
1920,0.0,0.0,2126.2186058218563,1.0317734584273144,0.0
1980,0.0,0.0,2173.0445643641146,1.0280384742659074,0.0
2040,0.0,0.0,2220.6094262918364,1.0288428582487397,0.0
2100,0.0,0.0,2268.9120326164775,1.0289040082716374,0.0
2160,0.0,0.0,2317.950610072226,1.0287606310736284,0.0
2220,0.0,0.0,2367.7227544492307,1.0296636373362325,0.0
2280,0.0,0.0,2418.2254146202486,1.0272209422778376,0.0
2340,0.0,0.0,2469.4548773394877,1.0261267053050616,0.0
2400,0.0,0.0,2521.4067528901187,1.025705254006972,0.0
2460,0.0,0.0,2574.07596165657,1.0260141659746909,0.0
2520,0.0,0.0,2627.4567216992305,1.025935921146128,0.0
2580,0.0,0.0,2681.5425374081638,1.0253450532065511,0.0
2640,0.0,0.0,2736.32618931039,1.0221966838403862,0.0
2700,0.0,0.0,2791.7997251061392,1.0227600202102742,0.0
2760,0.0,0.0,2847.9544520060244,1.0234373222205098,0.0
2820,0.0,0.0,2904.7809304388065,1.0229245145241883,0.0
2880,0.0,0.0,2962.2689691982355,1.0230793054708955,0.0
2940,0.0,0.0,3020.4076220918637,1.0205918148115518,0.0
3000,0.0,0.0,3079.1851861535847,1.0195221322778643,0.0
3060,0.0,0.0,3138.589201475465,1.0204111121069963,0.0
3120,0.0,0.0,3198.6064527109247,1.0197677700757422,0.0
3180,0.0,0.0,3259.2229722958255,1.0199512082953435,0.0
3240,0.0,0.0,3320.4240454282103,1.016444393254674,0.0
3300,0.0,0.0,3382.194216842676,1.0163393054565375,0.0
3360,0.0,0.0,3444.517299406452,1.0160066742192977,0.0
3420,0.0,0.0,3507.3763845607373,1.0166160040874914,0.0
3480,0.0,0.0,3570.75385462055,1.016270311811272,0.0
3540,0.0,0.0,3634.631396941424,1.0142853976097979,0.0
3600,0.0,0.0,3698.9900199518665,1.0139527067759893,0.0
3660,0.0,0.0,3763.8100710429235,1.0121702373105201,0.0
3720,0.0,0.0,3829.071256299389,1.012659769993541,0.0
3780,0.0,0.0,3894.752662045085,1.013710676390061,0.0
3840,0.0,0.0,3960.832778171931,1.0117545948251179,0.0
3900,0.0,0.0,4027.2895232095952,1.0107167268732709,0.0
3960,0.0,0.0,4094.100271084546,1.0088005496600647,0.0
4020,0.0,0.0,4161.241879512272,1.0089068092960134,0.0
4080,0.0,0.0,4228.6907199537845,1.0093692325790562,0.0
4140,0.0,0.0,4296.422709062687,1.008817540138496,0.0
4200,0.0,0.0,4364.413341541544,1.0064912199388663,0.0
4260,0.0,0.0,4432.637724316646,1.0048267905154282,0.0
4320,0.0,0.0,4501.070611934308,1.005141245478308,0.0
4380,0.0,0.0,4569.686443076482,1.0066550558440825,0.0
4440,0.0,0.0,4638.4593780859195,1.0048006152330553,0.0
4500,0.0,0.0,4707.363337386625,1.0043487426688416,0.0
4560,0.0,0.0,4776.37204067913,1.0008048846408328,0.0
4620,0.0,0.0,4845.459046789073,1.0015235639050166,0.0
4680,0.0,0.0,4914.598250369522,1.0020147435455669,0.0
4740,0.0,0.0,4983.759439651896,1.0012538722783382,0.0
4800,0.0,0.0,5052.911314537933,1.0014252547688833,0.0
4860,0.0,0.0,5122.0114305881,0.9987517994375955,0.0
4920,0.0,0.0,5191.042658637514,0.9976605103975448,0.0
4980,0.0,0.0,5259.930355791987,0.9977374650730546,0.0
5040,0.0,0.0,5328.681554105112,0.9977223449235484,0.0
5100,0.0,0.0,5397.267741622845,0.9968792195508697,0.0
5160,0.0,0.0,5465.67232011148,0.9961100835071612,0.0
5220,0.0,0.0,5533.885337651016,0.9931521673865191,0.0
5280,0.0,0.0,5601.760643404966,0.9937432914695115,0.0
