t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,0.5,0.0
60,0.0,0.0,10.266239968914082,0.8816363285088856,0.0
120,0.0,0.0,10.539197875058337,0.8822504783025215,0.0
180,0.0,0.0,10.819022387229676,0.8831077261908328,0.0
240,0.0,0.0,11.105865263999014,0.8834104182897174,0.0
300,0.0,0.0,11.399880492794747,0.8820005815399048,0.0
360,0.0,0.0,11.701224247663784,0.8811938354981148,0.0
420,0.0,0.0,12.010054868116153,0.8814002680886591,0.0
480,0.0,0.0,12.326532814555405,0.8828421832733709,0.0
540,0.0,0.0,12.650820633311456,0.8826502732522825,0.0
600,0.0,0.0,12.98308288038474,0.8825666209992599,0.0
660,0.0,0.0,13.323486094813944,0.8803251592332253,0.0
720,0.0,0.0,13.672198695623985,0.8806342182982458,0.0
780,0.0,0.0,14.029390966613942,0.8813648646792381,0.0
840,0.0,0.0,14.395234947574329,0.8827740508467978,0.0
900,0.0,0.0,14.76990437925894,0.8817207742718928,0.0
960,0.0,0.0,15.153574571068594,0.8813775110975441,0.0
1020,0.0,0.0,15.546422362525062,0.8793357031949557,0.0
1080,0.0,0.0,15.9486259570909,0.8804949220857582,0.0
1140,0.0,0.0,16.360364896220666,0.8812350429406137,0.0
1200,0.0,0.0,16.781819878043198,0.8818956964621226,0.0
1260,0.0,0.0,17.21317266897006,0.8804148000355092,0.0
1320,0.0,0.0,17.654605921669198,0.8800100700222278,0.0
1380,0.0,0.0,18.106303095986146,0.8794516433396178,0.0
1440,0.0,0.0,18.568448262074035,0.8802701881880676,0.0
1500,0.0,0.0,19.04122598436039,0.880816154939148,0.0
1560,0.0,0.0,19.524821128925936,0.8799929652723385,0.0
1620,0.0,0.0,20.01941867168864,0.8789245042694102,0.0
1680,0.0,0.0,20.525203526743766,0.8787821627412482,0.0
1740,0.0,0.0,21.042360366161596,0.8792638284889978,0.0
1800,0.0,0.0,21.571073404941725,0.8798144976262866,0.0
1860,0.0,0.0,22.111526182811456,0.8799864968315528,0.0
1920,0.0,0.0,22.66390135207017,0.8783232542084991,0.0
1980,0.0,0.0,23.22838037632403,0.8780648545038539,0.0
2040,0.0,0.0,23.805143383831748,0.8782392846651615,0.0
2100,0.0,0.0,24.39436885720072,0.8787421980701756,0.0
2160,0.0,0.0,24.99623338394989,0.8790009244092394,0.0
2220,0.0,0.0,25.610911386496316,0.8776723249656633,0.0
2280,0.0,0.0,26.238574780181363,0.8765842071548858,0.0
2340,0.0,0.0,26.879392726486405,0.8768715787963893,0.0
2400,0.0,0.0,27.533531353993897,0.8775711404399056,0.0
2460,0.0,0.0,28.201153409587885,0.877979788333684,0.0
2520,0.0,0.0,28.88241793705487,0.8774496748974709,0.0
2580,0.0,0.0,29.57747993284187,0.8759509320711479,0.0
2640,0.0,0.0,30.286489967466185,0.8756479124597719,0.0
2700,0.0,0.0,31.00959391936029,0.876447040852853,0.0
2760,0.0,0.0,31.74693261058629,0.876647439594874,0.0
2820,0.0,0.0,32.498641361425506,0.8767200756376384,0.0
2880,0.0,0.0,33.26484971195002,0.8748911106767228,0.0
2940,0.0,0.0,34.04568087678842,0.8741034153087256,0.0
3000,0.0,0.0,34.84125153134797,0.8744922459782982,0.0
3060,0.0,0.0,35.65167136024001,0.8761026144550963,0.0
3120,0.0,0.0,36.47704277270349,0.8751018126148855,0.0
3180,0.0,0.0,37.3174601838294,0.8750181714074745,0.0
3240,0.0,0.0,38.173010028010296,0.8721924369167275,0.0
3300,0.0,0.0,39.043769830790495,0.8729107483522044,0.0
3360,0.0,0.0,39.92980842878604,0.8734076070910565,0.0
3420,0.0,0.0,40.83118512338683,0.8739937648224562,0.0
3480,0.0,0.0,41.747949449930296,0.873706072319219,0.0
3540,0.0,0.0,42.68014073253137,0.8716217177706972,0.0
3600,0.0,0.0,43.62778750776599,0.8711240211033752,0.0
3660,0.0,0.0,44.59090744909954,0.8717072557434461,0.0
3720,0.0,0.0,45.569506817041365,0.8732941133989766,0.0
3780,0.0,0.0,46.5635802894997,0.8717745843722788,0.0
3840,0.0,0.0,47.57311000399362,0.8715947143127497,0.0
3900,0.0,0.0,48.598065975376656,0.8690559776986619,0.0
3960,0.0,0.0,49.63840487839976,0.8699841000231712,0.0
4020,0.0,0.0,50.6940706610021,0.8709888971840056,0.0
4080,0.0,0.0,51.76499368930827,0.8703736269767747,0.0
4140,0.0,0.0,52.851090283184206,0.8704225857782093,0.0
4200,0.0,0.0,53.952262955290294,0.8684499053922493,0.0
4260,0.0,0.0,55.06839945529684,0.8680283499336644,0.0
4320,0.0,0.0,56.19937316406134,0.8686357296510927,0.0
4380,0.0,0.0,57.34504269618366,0.86879216751671,0.0
4440,0.0,0.0,58.50525153437741,0.8684856277796615,0.0
4500,0.0,0.0,59.679828046346145,0.8665195590445736,0.0
4560,0.0,0.0,60.86858486715628,0.866441023962454,0.0
4620,0.0,0.0,62.0713195283424,0.8669140110700344,0.0
4680,0.0,0.0,63.2878139985893,0.8667912029020275,0.0
4740,0.0,0.0,64.51783448029256,0.86672662132173,0.0
4800,0.0,0.0,65.76113178904308,0.8645830943896261,0.0
4860,0.0,0.0,67.0174404863622,0.8648501951032276,0.0
4920,0.0,0.0,68.28648028856874,0.8640924585769212,0.0
4980,0.0,0.0,69.56795486160897,0.8644578154790015,0.0
5040,0.0,0.0,70.86155273444146,0.8654520702148708,0.0
5100,0.0,0.0,72.16694753767413,0.863673012022474,0.0
5160,0.0,0.0,73.4837970572315,0.8628425818250784,0.0
5220,0.0,0.0,74.81174478458622,0.8618835855217777,0.0
5280,0.0,0.0,76.1504193492811,0.8622312536803208,0.0
5340,0.0,0.0,77.49943545755501,0.8625954482731163,0.0
5400,0.0,0.0,78.85839385659317,0.862199392469812,0.0
5460,0.0,0.0,80.2268818270331,0.8598722291427113,0.0
5520,0.0,0.0,81.60447274355616,0.859995951189926,0.0
5580,0.0,0.0,82.990728265812,0.8600905293434695,0.0
5640,0.0,0.0,84.38519754326529,0.8601308706926858,0.0
5700,0.0,0.0,85.78741798608259,0.8606438700009543,0.0
5760,0.0,0.0,87.19691666544634,0.8576009021627364,0.0
5820,0.0,0.0,88.61320835450134,0.8578922547409544,0.0
5880,0.0,0.0,90.03579977070277,0.8573274683271955,0.0
5940,0.0,0.0,91.46418721321702,0.8587369552966033,0.0
6000,0.0,0.0,92.89785976770736,0.8576094117406113,0.0
6060,0.0,0.0,94.33629718915235,0.8576161647012513,0.0
6120,0.0,0.0,95.77897344664598,0.8555070569184126,0.0
6180,0.0,0.0,97.22535477868442,0.8550446831462948,0.0
6240,0.0,0.0,98.67490272567325,0.8554998255601846,0.0
6300,0.0,0.0,100.12707420504233,0.8555061029533726,0.0
6360,0.0,0.0,101.58132202004444,0.8544869916882627,0.0
6420,0.0,0.0,103.03709531795967,0.8541162342641216,0.0
6480,0.0,0.0,104.49384183333186,0.8520820708219067,0.0
6540,0.0,0.0,105.95100623522407,0.8527697341007687,0.0
6600,0.0,0.0,107.40803414767677,0.853789701325874,0.0
6660,0.0,0.0,108.86437149641039,0.8526507047732662,0.0
6720,0.0,0.0,110.31946390775654,0.8521678901427076,0.0
6780,0.0,0.0,111.77276016227552,0.8502819001827371,0.0
6840,0.0,0.0,113.22371033352083,0.8502238136924694,0.0
6900,0.0,0.0,114.67176895995782,0.8517462675924963,0.0
6960,0.0,0.0,116.11639620324146,0.8503889182424391,0.0
7020,0.0,0.0,117.55705492055017,0.8502695700832765,0.0
7080,0.0,0.0,118.99321647406182,0.8469083728504633,0.0
7140,0.0,0.0,120.4243552681708,0.8478026861761129,0.0
7200,0.0,0.0,121.84995697127768,0.8480706201313895,0.0
7260,0.0,0.0,123.26951374857774,0.8483378488395353,0.0
7320,0.0,0.0,124.68252705810852,0.8479693219762431,0.0
7380,0.0,0.0,126.08850819916319,0.8455299005303865,0.0
7440,0.0,0.0,127.48697646554265,0.8458681054726812,0.0
7500,0.0,0.0,128.8774646680422,0.8459311666381824,0.0
7560,0.0,0.0,130.25951589284574,0.8458668528074299,0.0
7620,0.0,0.0,131.63268488212725,0.8464845037463548,0.0
7680,0.0,0.0,132.99654035451226,0.844530782132105,0.0
7740,0.0,0.0,134.35066129940418,0.8436129824370991,0.0
7800,0.0,0.0,135.69464152760486,0.8433689493079416,0.0
7860,0.0,0.0,137.02808848506515,0.8436810985373361,0.0
7920,0.0,0.0,138.35062403674084,0.843647238259789,0.0
7980,0.0,0.0,139.66188414707364,0.843168837017278,0.0
8040,0.0,0.0,140.96152009756986,0.8407145209371116,0.0
8100,0.0,0.0,142.24919539380352,0.840999389673144,0.0
8160,0.0,0.0,143.52459187973992,0.8413340522367014,0.0
8220,0.0,0.0,144.7874050804448,0.8427872162061136,0.0
8280,0.0,0.0,146.03734876372454,0.8404079562093654,0.0
8340,0.0,0.0,147.27414707792528,0.8404425558822112,0.0
8400,0.0,0.0,148.49754477594365,0.8384065806753153,0.0
8460,0.0,0.0,149.7072977818265,0.8392130963652218,0.0
8520,0.0,0.0,150.90318119828805,0.8403560679852381,0.0
8580,0.0,0.0,152.0849858824397,0.8391803713103048,0.0
8640,0.0,0.0,153.25251528161328,0.8388842474024254,0.0
8700,0.0,0.0,154.4055910932957,0.8370703736537226,0.0
8760,0.0,0.0,155.5440473018563,0.8371357744435415,0.0
8820,0.0,0.0,156.6677354232647,0.8378214304821205,0.0
8880,0.0,0.0,157.77652202664206,0.8377420207909392,0.0
8940,0.0,0.0,158.87028803724593,0.8362712632580976,0.0
9000,0.0,0.0,159.9489270303693,0.8361217022204512,0.0
9060,0.0,0.0,161.0123495669775,0.835025835362973,0.0
9120,0.0,0.0,162.06047741281054,0.8356408335807465,0.0
9180,0.0,0.0,163.0932482247338,0.8366761471127865,0.0
9240,0.0,0.0,164.1106139446062,0.8353448423164608,0.0
9300,0.0,0.0,165.11253615955235,0.8346571772990872,0.0
9360,0.0,0.0,166.09899183117577,0.8330402886848455,0.0
9420,0.0,0.0,167.0699672679608,0.8338769396893075,0.0
9480,0.0,0.0,168.0254643354851,0.8345898240507699,0.0
9540,0.0,0.0,168.96549570273132,0.8339780228920995,0.0
9600,0.0,0.0,169.89008384239963,0.83312387925595,0.0
9660,0.0,0.0,170.799262547088,0.8322586839849849,0.0
9720,0.0,0.0,171.69307563131647,0.8322313416870951,0.0
9780,0.0,0.0,172.57157774295467,0.8326043497623443,0.0
9840,0.0,0.0,173.43483333944056,0.8326629838970789,0.0
9900,0.0,0.0,174.28291563340224,0.832410564172027,0.0
9960,0.0,0.0,175.1159078861785,0.8299896355950853,0.0
10020,0.0,0.0,175.93389690587827,0.8307772348025849,0.0
10080,0.0,0.0,176.73698319350655,0.8316146606510084,0.0
10140,0.0,0.0,177.52527355455663,0.8313268904469463,0.0
10200,0.0,0.0,178.29887996051775,0.831693122446683,0.0
10260,0.0,0.0,179.05792437884975,0.8298833958054553,0.0
10320,0.0,0.0,179.8025308013003,0.8293490686208779,0.0
10380,0.0,0.0,180.53283180461094,0.8298487173676362,0.0
10440,0.0,0.0,181.24896628062154,0.8302188531059504,0.0
10500,0.0,0.0,181.9510775598625,0.830490349143846,0.0
10560,0.0,0.0,182.63931537615264,0.8286622123686646,0.0
10620,0.0,0.0,183.3138297293386,0.8286169784911893,0.0
10680,0.0,0.0,183.97477887082593,0.8286775354887852,0.0
10740,0.0,0.0,184.62232356010932,0.8290428796734072,0.0
10800,0.0,0.0,185.25662862108499,0.8292156899386618,0.0
10860,0.0,0.0,185.87786289191624,0.8276652028215903,0.0
10920,0.0,0.0,186.48619428069964,0.8279533314188792,0.0
10980,0.0,0.0,187.0817983636707,0.8269453451334838,0.0
11040,0.0,0.0,187.66484834783995,0.8276747435535176,0.0
11100,0.0,0.0,188.23552270746404,0.828937757840696,0.0
11160,0.0,0.0,188.79400320782293,0.8276142242958618,0.0
11220,0.0,0.0,189.34046801940792,0.8271577988665646,0.0
11280,0.0,0.0,189.87510040880605,0.8260824854850453,0.0
11340,0.0,0.0,190.39808175254282,0.8266002463327606,0.0
