t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,0.5,0.0
60,0.0,0.0,10.281667904374448,0.9953518404740178,0.0
120,0.0,0.0,10.571271514344248,0.9965833752111057,0.0
180,0.0,0.0,10.869031664247265,0.9964753172319933,0.0
240,0.0,0.0,11.175178016791273,0.9968814270990616,0.0
300,0.0,0.0,11.489946722971883,0.9974917794332114,0.0
360,0.0,0.0,11.81358059507722,0.994612679771986,0.0
420,0.0,0.0,12.146329230719704,0.9952882902407328,0.0
480,0.0,0.0,12.488449290794225,0.9957199924925986,0.0
540,0.0,0.0,12.840204643285505,0.9969561638178152,0.0
600,0.0,0.0,13.201866628447474,0.9964559803139125,0.0
660,0.0,0.0,13.573714179299174,0.9959038678171066,0.0
720,0.0,0.0,13.956034081514819,0.9933825052786813,0.0
780,0.0,0.0,14.349121164522176,0.9947716568365647,0.0
840,0.0,0.0,14.75327859326296,0.9961671675925943,0.0
900,0.0,0.0,15.168818118589703,0.995736134612143,0.0
960,0.0,0.0,15.596060150685823,0.9960790565828501,0.0
1020,0.0,0.0,16.035334250596257,0.9940725957004802,0.0
1080,0.0,0.0,16.4869790551603,0.9938024052728628,0.0
1140,0.0,0.0,16.951342902633407,0.9947343707957322,0.0
1200,0.0,0.0,17.4287838774437,0.9951918359724499,0.0
1260,0.0,0.0,17.9196701628147,0.995168747900276,0.0
1320,0.0,0.0,18.424380320804445,0.9931642187544525,0.0
1380,0.0,0.0,18.943303372680578,0.9933041598207988,0.0
1440,0.0,0.0,19.476839509337875,0.994026694258514,0.0
1500,0.0,0.0,20.025400168053547,0.9942117744056106,0.0
1560,0.0,0.0,20.589408220089737,0.9944086712430077,0.0
1620,0.0,0.0,21.169298571612185,0.9922686421212737,0.0
1680,0.0,0.0,21.765518229151592,0.9927971355217915,0.0
1740,0.0,0.0,22.378526828545475,0.9921193149970559,0.0
1800,0.0,0.0,23.008797037362505,0.9928322596971525,0.0
1860,0.0,0.0,23.656814542812786,0.9942470964028031,0.0
1920,0.0,0.0,24.323079278123014,0.992492733263192,0.0
1980,0.0,0.0,25.008104383101802,0.9918045489328438,0.0
2040,0.0,0.0,25.712418250728046,0.9908981017363151,0.0
2100,0.0,0.0,26.43656338428289,0.9915488544836457,0.0
2160,0.0,0.0,27.181098167451054,0.9922475958904243,0.0
2220,0.0,0.0,27.946596488114874,0.9920484497728893,0.0
