t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,100.0,0.0
60,0.0,0.0,10.27714183728788,5.614690098795112,0.0
120,0.0,0.0,10.561880913015285,-0.2787641435494224,0.0
180,0.0,0.0,10.854422140246074,-6.102209163301232,0.0
240,0.0,0.0,11.154974434014774,-12.09659655250114,0.0
300,0.0,0.0,11.463752026884064,-18.230936739145385,0.0
360,0.0,0.0,11.780974591825595,-24.5255277355322,0.0
420,0.0,0.0,12.106867364077102,-31.058012801561965,0.0
480,0.0,0.0,12.44166126481441,-37.73575286781197,0.0
540,0.0,0.0,12.785593026559171,-44.518448415448475,0.0
600,0.0,0.0,13.138905320328282,-51.54116305556534,0.0
660,0.0,0.0,13.501846884423447,-58.79156209397559,0.0
720,0.0,0.0,13.874672654859536,-66.30095232342845,0.0
780,0.0,0.0,14.257643897370821,-73.90901023759115,0.0
840,0.0,0.0,14.651028340903663,-81.65650943472787,0.0
900,0.0,0.0,15.055100312567049,-89.57558395527974,0.0
960,0.0,0.0,15.470140873926203,-97.95496023159845,0.0
1020,0.0,0.0,15.896437958593914,-106.64114963993048,0.0
1080,0.0,0.0,16.334286510986487,-115.25104528989392,0.0
1140,0.0,0.0,16.7839886262233,-124.17663882048525,0.0
1200,0.0,0.0,17.24585369094104,-133.17958600718865,0.0
1260,0.0,0.0,17.720198525031865,-142.7290768172593,0.0
1320,0.0,0.0,18.207347524084163,-152.78204775085294,0.0
1380,0.0,0.0,18.70763280244245,-162.49487741857035,0.0
1440,0.0,0.0,19.221394336746663,-172.7442142950232,0.0
1500,0.0,0.0,19.748980109716644,-182.8050803650207,0.0
1560,0.0,0.0,20.290746254120325,-193.9083936410654,0.0
1620,0.0,0.0,20.847057196649363,-205.14384982971993,0.0
1680,0.0,0.0,21.418285801554134,-216.47368594209203,0.0
1740,0.0,0.0,22.004813513847754,-228.17568829233562,0.0
1800,0.0,0.0,22.60703050177878,-239.61734988066934,0.0
1860,0.0,0.0,23.22533579843587,-252.2686467661227,0.0
1920,0.0,0.0,23.86013744214416,-265.37835998925516,0.0
1980,0.0,0.0,24.511852615415005,-278.1510092070018,0.0
2040,0.0,0.0,25.18090778223771,-291.48543412319594,0.0
2100,0.0,0.0,25.867738823238987,-304.63038258112636,0.0
2160,0.0,0.0,26.572791168583997,-318.829271328781,0.0
2220,0.0,0.0,27.296519928118716,-333.66016181054425,0.0
2280,0.0,0.0,28.039390018510986,-348.55574309385247,0.0
2340,0.0,0.0,28.801876286934394,-363.1799822574298,0.0
2400,0.0,0.0,29.584463630963267,-378.8095624801856,0.0
2460,0.0,0.0,30.387647114164864,-394.6795622976693,0.0
2520,0.0,0.0,31.211932077034028,-411.7596700450552,0.0
2580,0.0,0.0,32.05783424278274,-428.54415420650196,0.0
2640,0.0,0.0,32.92587981745175,-445.7977246469973,0.0
2700,0.0,0.0,33.81660558388909,-462.23148476035806,0.0
2760,0.0,0.0,34.73055898902413,-481.13597123147326,0.0
2820,0.0,0.0,35.66829822387398,-500.5584045780016,0.0
2880,0.0,0.0,36.63039229568327,-519.5625321876955,0.0
2940,0.0,0.0,37.61742109169011,-539.6015435107358,0.0
3000,0.0,0.0,38.6299754336447,-558.6550425577349,0.0
3060,0.0,0.0,39.66865712269688,-579.2566950231839,0.0
3120,0.0,0.0,40.73407897369386,-601.1319603016168,0.0
3180,0.0,0.0,41.826864838355235,-623.239770000246,0.0
3240,0.0,0.0,42.94764961646604,-645.0878378759187,0.0
3300,0.0,0.0,44.09707925437937,-667.9748370154282,0.0
3360,0.0,0.0,45.27581072991141,-690.3854587025561,0.0
3420,0.0,0.0,46.48451202291154,-715.3466059487083,0.0
3480,0.0,0.0,47.72386207058245,-741.2895157079236,0.0
3540,0.0,0.0,48.994550706606276,-765.4638133541891,0.0
3600,0.0,0.0,50.297278583328406,-791.4319000446746,0.0
3660,0.0,0.0,51.632757075775245,-816.8964102260094,0.0
3720,0.0,0.0,53.00170816680338,-845.6592676534214,0.0
3780,0.0,0.0,54.404864312183065,-873.5353037397541,0.0
3840,0.0,0.0,55.8429682847324,-903.4317613860047,0.0
3900,0.0,0.0,57.316772996292606,-930.9818459670385,0.0
3960,0.0,0.0,58.82704129667185,-960.5789665406257,0.0
4020,0.0,0.0,60.374545748234155,-991.6939030308802,0.0
4080,0.0,0.0,61.96006837521073,-1024.0831597008266,0.0
4140,0.0,0.0,63.584400386501436,-1056.645540803981,0.0
4200,0.0,0.0,65.24834187089404,-1089.7628086403545,0.0
4260,0.0,0.0,66.95270146341063,-1120.9407314230755,0.0
4320,0.0,0.0,68.69829598178725,-1157.178496040368,0.0
4380,0.0,0.0,70.48595003178386,-1194.6620900761318,0.0
4440,0.0,0.0,72.31649558016025,-1230.728735913209,0.0
4500,0.0,0.0,74.19077149430845,-1268.4743304968667,0.0
4560,0.0,0.0,76.10962304705521,-1304.279522878669,0.0
4620,0.0,0.0,78.07390138579161,-1343.4643287287925,0.0
4680,0.0,0.0,80.08446296457721,-1386.5389623308765,0.0
4740,0.0,0.0,82.14216893817374,-1426.5104015603476,0.0
4800,0.0,0.0,84.24788451695656,-1469.1794304023676,0.0
4860,0.0,0.0,86.40247828144776,-1506.8651514497744,0.0
4920,0.0,0.0,88.60682145566747,-1552.8864213684467,0.0
4980,0.0,0.0,90.86178713813541,-1599.0942851654434,0.0
5040,0.0,0.0,93.16824948965368,-1646.5900665648142,0.0
5100,0.0,0.0,95.5270828770644,-1693.7483913483372,0.0
5160,0.0,0.0,97.93916097195711,-1737.7436257649797,0.0
5220,0.0,0.0,100.4053558038303,-1788.3455222371094,0.0
5280,0.0,0.0,102.92653676687513,-1839.7938942710805,0.0
5340,0.0,0.0,105.50356957983298,-1891.9057067931815,0.0
5400,0.0,0.0,108.13731519868848,-1946.6144880586367,0.0
5460,0.0,0.0,110.82862868142875,-1996.5740545012316,0.0
5520,0.0,0.0,113.57835800502579,-2050.146951866184,0.0
5580,0.0,0.0,116.38734283433037,-2107.165088800233,0.0
5640,0.0,0.0,119.25641324298165,-2166.1192205488815,0.0
5700,0.0,0.0,122.18638838652552,-2224.8805257889635,0.0
5760,0.0,0.0,125.17807512813873,-2284.1913340049964,0.0
5820,0.0,0.0,128.2322666173292,-2339.620241394294,0.0
5880,0.0,0.0,131.34974082252518,-2404.843090065521,0.0
5940,0.0,0.0,134.5312590183634,-2469.9001456763635,0.0
6000,0.0,0.0,137.77756422878596,-2539.267054150226,0.0
6060,0.0,0.0,141.08937962733742,-2598.153801155055,0.0
6120,0.0,0.0,144.46740689608416,-2667.174794802089,0.0
6180,0.0,0.0,147.91232454514517,-2733.137237489719,0.0
6240,0.0,0.0,151.42478619462824,-2806.132987970033,0.0
6300,0.0,0.0,155.00541882161565,-2882.5663224235127,0.0
6360,0.0,0.0,158.65482097428452,-2951.142069730096,0.0
6420,0.0,0.0,162.3735609564059,-3024.0060492660677,0.0
6480,0.0,0.0,166.16217498504494,-3096.705433076309,0.0
6540,0.0,0.0,170.02116532496308,-3176.3519936101425,0.0
6600,0.0,0.0,173.95099840333754,-3257.9407398899416,0.0
6660,0.0,0.0,177.9521029088124,-3337.9240987403846,0.0
6720,0.0,0.0,182.0248678789234,-3411.624318624108,0.0
6780,0.0,0.0,186.169640780612,-3496.3461017294185,0.0
6840,0.0,0.0,190.38672558858025,-3582.7253918375213,0.0
6900,0.0,0.0,194.67638086642097,-3670.1935089364238,0.0
6960,0.0,0.0,199.038817856207,-3761.1747769306676,0.0
7020,0.0,0.0,203.47419858175755,-3837.4376297744193,0.0
7080,0.0,0.0,207.98263397171104,-3930.9704931620045,0.0
7140,0.0,0.0,212.5641820085793,-4022.696545285349,0.0
7200,0.0,0.0,217.21884590988918,-4124.226078030089,0.0
7260,0.0,0.0,221.9465723483245,-4214.741633136085,0.0
7320,0.0,0.0,226.74724971724038,-4311.719503842602,0.0
7380,0.0,0.0,231.62070644886734,-4400.708832686472,0.0
7440,0.0,0.0,236.56670939197696,-4500.547059420388,0.0
7500,0.0,0.0,241.58496225649435,-4606.186444385702,0.0
7560,0.0,0.0,246.67510413216252,-4709.634548384334,0.0
7620,0.0,0.0,251.83670808870346,-4806.888583503978,0.0
7680,0.0,0.0,257.0692798648887,-4912.313677419571,0.0
7740,0.0,0.0,262.37225665386677,-5012.546838612157,0.0
7800,0.0,0.0,267.7450059921085,-5125.669361330998,0.0
7860,0.0,0.0,273.18682475931456,-5243.085896218984,0.0
7920,0.0,0.0,278.69693829625345,-5346.520551883799,0.0
7980,0.0,0.0,284.27449964766305,-5455.4100398188975,0.0
8040,0.0,0.0,289.91858893688374,-5562.110161666118,0.0
8100,0.0,0.0,295.6282128787669,-5680.869989367229,0.0
8160,0.0,0.0,301.4023044370458,-5808.855884980377,0.0
8220,0.0,0.0,307.23972263202745,-5916.050695085435,0.0
8280,0.0,0.0,313.1392525040701,-6034.573998154868,0.0
8340,0.0,0.0,319.09960523785253,-6138.169980426787,0.0
8400,0.0,0.0,325.1194184520383,-6268.805576334712,0.0
8460,0.0,0.0,331.1972566582484,-6395.334435109017,0.0
8520,0.0,0.0,337.3316118929115,-6517.923134800644,0.0
8580,0.0,0.0,343.52090452473186,-6642.08195509892,0.0
8640,0.0,0.0,349.7634842400549,-6749.714423669881,0.0
8700,0.0,0.0,356.0576312076533,-6884.780413412289,0.0
8760,0.0,0.0,362.40155742362356,-7022.638377905854,0.0
8820,0.0,0.0,368.79340823668304,-7147.414454481706,0.0
8880,0.0,0.0,375.2312640530016,-7279.168980622872,0.0
8940,0.0,0.0,381.7131422192019,-7394.592483096364,0.0
9000,0.0,0.0,388.236999081397,-7525.0013611815375,0.0
9060,0.0,0.0,394.8007322168793,-7665.047534831227,0.0
9120,0.0,0.0,401.4021828349943,-7801.008529106781,0.0
9180,0.0,0.0,408.0391383423187,-7927.329749975257,0.0
9240,0.0,0.0,414.7093350667743,-8060.300342272234,0.0
9300,0.0,0.0,421.41046113442707,-8182.088320184817,0.0
9360,0.0,0.0,428.140159492052,-8331.319293407518,0.0
9420,0.0,0.0,434.8960310674596,-8468.18103440498,0.0
9480,0.0,0.0,441.67563805960134,-8612.436798302315,0.0
9540,0.0,0.0,448.4765073487861,-8721.102060791489,0.0
9600,0.0,0.0,455.2961340179518,-8866.991343249134,0.0
9660,0.0,0.0,462.13198497371565,-9006.240616608491,0.0
9720,0.0,0.0,468.9815026573311,-9147.769207541816,0.0
9780,0.0,0.0,475.84210883328836,-9298.37126348025,0.0
9840,0.0,0.0,482.7112084444059,-9418.669758317757,0.0
9900,0.0,0.0,489.58619352113504,-9550.635127391513,0.0
9960,0.0,0.0,496.46444713218915,-9688.517788376255,0.0
10020,0.0,0.0,503.34334736439325,-9834.423322885388,0.0
10080,0.0,0.0,510.22027131858874,-9976.870687768078,0.0
10140,0.0,0.0,517.0925991086461,-10113.933796570662,0.0
10200,0.0,0.0,523.9577178508893,-10225.52936180118,0.0
10260,0.0,0.0,530.8130256308255,-10373.9857423916,0.0
10320,0.0,0.0,537.6559354342587,-10524.403221290795,0.0
10380,0.0,0.0,544.4838790306923,-10661.402052719903,0.0
10440,0.0,0.0,551.2943107961581,-10804.697184308878,0.0
10500,0.0,0.0,558.0847114639041,-10901.837696215303,0.0
10560,0.0,0.0,564.8525917913496,-11053.132657587921,0.0
10620,0.0,0.0,571.5954961316402,-11195.370332888384,0.0
10680,0.0,0.0,578.3110059000313,-11349.580888798126,0.0
10740,0.0,0.0,584.9967429241947,-11471.324047087694,0.0
10800,0.0,0.0,591.6503726698401,-11603.369913462095,0.0
10860,0.0,0.0,598.2696073320881,-11717.300207040493,0.0
10920,0.0,0.0,604.8522087851419,-11856.350924256074,0.0
10980,0.0,0.0,611.3959913824214,-12001.813649183357,0.0
11040,0.0,0.0,617.8988246008317,-12135.066112013335,0.0
11100,0.0,0.0,624.3586355232856,-12243.912667097415,0.0
11160,0.0,0.0,630.7734111543775,-12377.737024215967,0.0
11220,0.0,0.0,637.1412005649325,-12498.678449676783,0.0
11280,0.0,0.0,643.4601168621463,-12637.327773159976,0.0
11340,0.0,0.0,649.7283389824329,-12783.003789521352,0.0
11400,0.0,0.0,655.9441133053939,-12888.590200611832,0.0
11460,0.0,0.0,662.105755087731,-13004.909121352131,0.0
11520,0.0,0.0,668.2116497167376,-13118.357746649015,0.0
11580,0.0,0.0,674.2602537839737,-13251.443780621923,0.0
11640,0.0,0.0,680.2500959802045,-13384.012108360132,0.0
11700,0.0,0.0,686.1797778135096,-13503.020755307622,0.0
11760,0.0,0.0,692.0479741531078,-13592.13238555595,0.0
11820,0.0,0.0,697.8534336020274,-13705.536542222324,0.0
11880,0.0,0.0,703.5949787023592,-13834.833267029158,0.0
11940,0.0,0.0,709.2715059774224,-13980.662601254697,0.0
12000,0.0,0.0,714.8819858155971,-14069.4004768888,0.0
12060,0.0,0.0,720.4254622011086,-14184.602025956765,0.0
12120,0.0,0.0,725.9010522973908,-14257.966944792632,0.0
12180,0.0,0.0,731.3079458890861,-14387.731255774528,0.0
12240,0.0,0.0,736.6454046890874,-14518.260938319905,0.0
12300,0.0,0.0,741.9127615171444,-14616.4302875366,0.0
12360,0.0,0.0,747.1094193570789,-14726.738531839508,0.0
12420,0.0,0.0,752.2348502994894,-14801.276326512818,0.0
12480,0.0,0.0,757.2885943772392,-14903.589993838179,0.0
12540,0.0,0.0,762.2702583010997,-15020.917815141493,0.0
12600,0.0,0.0,767.1795141028032,-15126.81769803795,0.0
12660,0.0,0.0,772.0160976929703,-15211.23927129714,0.0
12720,0.0,0.0,776.7798073413119,-15307.217620036257,0.0
12780,0.0,0.0,781.4705020863769,-15377.515680346887,0.0
