t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,100.0,0.0
60,0.0,0.0,10.277143480326258,51089.82077326296,0.0
120,0.0,0.0,10.561885645109735,51176.060876829106,0.0
180,0.0,0.0,10.854430219993976,51184.38645212705,0.0
240,0.0,0.0,11.154986133657719,51124.373845674985,0.0
300,0.0,0.0,11.46376763608346,50992.207806851744,0.0
360,0.0,0.0,11.780994418668392,51023.1405074416,0.0
420,0.0,0.0,12.106891736149345,51040.3562738697,0.0
480,0.0,0.0,12.441690530327444,51061.505286438885,0.0
540,0.0,0.0,12.78562755554471,50947.2102223162,0.0
600,0.0,0.0,13.138945505890572,50894.63904383614,0.0
660,0.0,0.0,13.501893144064436,50820.8166821018,0.0
720,0.0,0.0,13.874725431879003,50854.14657702697,0.0
780,0.0,0.0,14.257703662334926,50848.28813875521,0.0
840,0.0,0.0,14.651095593195766,50805.16795854623,0.0
900,0.0,0.0,15.055175582021247,50678.9233324658,0.0
960,0.0,0.0,15.470224722556589,50642.08063381792,0.0
1020,0.0,0.0,15.896530982404034,50649.40887750485,0.0
1080,0.0,0.0,16.334389341888727,50631.24924206123,0.0
1140,0.0,0.0,16.7841019340438,50603.54417913751,0.0
1200,0.0,0.0,17.245978185540807,50472.430087244604,0.0
1260,0.0,0.0,17.720334958545713,50384.11325756655,0.0
1320,0.0,0.0,18.20749669326894,50378.03001534772,0.0
1380,0.0,0.0,18.707795551158874,50387.0822972166,0.0
1440,0.0,0.0,19.221571558544323,50363.69109466246,0.0
1500,0.0,0.0,19.749172750586418,50270.41371164801,0.0
1560,0.0,0.0,20.290955315373118,50150.186840799346,0.0
1620,0.0,0.0,20.847283737949198,50100.52102963313,0.0
1680,0.0,0.0,21.41853094411262,50118.39972749403,0.0
1740,0.0,0.0,22.005078443752975,50073.32385367031,0.0
1800,0.0,0.0,22.607316473543587,50022.594897220624,0.0
1860,0.0,0.0,23.22564413867557,49858.17817713701,0.0
1920,0.0,0.0,23.860469553485437,49781.00270562905,0.0
1980,0.0,0.0,24.512209980591177,49759.00811471823,0.0
2040,0.0,0.0,25.181291968354603,49794.263390125176,0.0
2100,0.0,0.0,25.86815148629396,49677.40832276956,0.0
2160,0.0,0.0,26.573234058201272,49609.1301259816,0.0
2220,0.0,0.0,27.29699489251132,49404.01375463513,0.0
2280,0.0,0.0,28.039899009705454,49394.1472200085,0.0
2340,0.0,0.0,28.802421366235333,49361.688273015774,0.0
2400,0.0,0.0,29.585046974672593,49373.188903285634,0.0
2460,0.0,0.0,30.388271019600587,49194.111402809365,0.0
2520,0.0,0.0,31.212598968860533,49120.451671848845,0.0
2580,0.0,0.0,32.05854667959374,48957.1734634516,0.0
2640,0.0,0.0,32.92664049870327,48947.500844682276,0.0
2700,0.0,0.0,33.817417357154305,48886.66667244554,0.0
2760,0.0,0.0,34.73142485756832,48782.089346183086,0.0
2820,0.0,0.0,35.66922135462539,48688.79852408724,0.0
2880,0.0,0.0,36.63137602756382,48487.817395842976,0.0
2940,0.0,0.0,37.61846894428999,48455.39418350496,0.0
3000,0.0,0.0,38.631091116364004,48435.061307820004,0.0
3060,0.0,0.0,39.66984454420805,48304.52949550508,0.0
3120,0.0,0.0,40.735342251948694,48206.39673837235,0.0
3180,0.0,0.0,41.82820831094973,48011.49941579758,0.0
3240,0.0,0.0,42.94907785152646,47908.35413989545,0.0
3300,0.0,0.0,44.0985970618645,47898.859851448935,0.0
3360,0.0,0.0,45.2774231734466,47744.3288811323,0.0
3420,0.0,0.0,46.48622443216167,47647.61267604098,0.0
3480,0.0,0.0,47.725680054080875,47360.159299735344,0.0
3540,0.0,0.0,48.99648016523612,47296.63098397965,0.0
3600,0.0,0.0,50.299325724238706,47202.98955995576,0.0
3660,0.0,0.0,51.634928426967086,47118.82533449113,0.0
3720,0.0,0.0,53.0040105922925,46988.33093560609,0.0
3780,0.0,0.0,54.407305027770136,46751.16231732828,0.0
3840,0.0,0.0,55.845554874413835,46641.1551485236,0.0
3900,0.0,0.0,57.31951342932939,46497.50871685872,0.0
3960,0.0,0.0,58.82994394524975,46379.461566614875,0.0
4020,0.0,0.0,60.37761940592691,46291.71401034115,0.0
4080,0.0,0.0,61.96332227603548,46056.739596096704,0.0
4140,0.0,0.0,63.587844224777214,45868.28905318735,0.0
4200,0.0,0.0,65.25198582172874,45689.79858882111,0.0
4260,0.0,0.0,66.95655620400214,45561.17758851266,0.0
4320,0.0,0.0,68.70237271343021,45421.52899485058,0.0
4380,0.0,0.0,70.49026050268499,45241.96241699222,0.0
4440,0.0,0.0,72.32105210902675,44956.850027039676,0.0
4500,0.0,0.0,74.19558699466805,44778.559311301884,0.0
4560,0.0,0.0,76.11471105242119,44632.32046096111,0.0
4620,0.0,0.0,78.07927607560728,44539.907400964774,0.0
4680,0.0,0.0,80.09013919095825,44252.88755994031,0.0
4740,0.0,0.0,82.14816225352745,44064.676290705625,0.0
4800,0.0,0.0,84.25421120228417,43746.48624881186,0.0
4860,0.0,0.0,86.40915537554974,43598.577499502506,0.0
4920,0.0,0.0,88.6138667851288,43451.6674080558,0.0
4980,0.0,0.0,90.86921934804957,43200.325916726724,0.0
5040,0.0,0.0,93.17608807527436,42988.12363555436,0.0
5100,0.0,0.0,95.5353482160614,42671.429896177,0.0
5160,0.0,0.0,97.94787435753929,42435.66735388003,0.0
5220,0.0,0.0,100.41453947854808,42238.974119267645,0.0
5280,0.0,0.0,102.93621395715688,42007.92313537766,0.0
5340,0.0,0.0,105.51376453124965,41717.03993305191,0.0
5400,0.0,0.0,108.14805321178646,41457.56195738606,0.0
5460,0.0,0.0,110.8399361482367,41121.65274108969,0.0
5520,0.0,0.0,113.59026244608819,40900.9321425852,0.0
5580,0.0,0.0,116.39987293633699,40690.19915492009,0.0
5640,0.0,0.0,119.26959889679982,40369.68837217094,0.0
5700,0.0,0.0,122.20026072573563,40072.059190244596,0.0
5760,0.0,0.0,125.19266656781487,39669.33653188957,0.0
5820,0.0,0.0,128.2476108931576,39429.82529663131,0.0
5880,0.0,0.0,131.36587303017893,39164.69663780149,0.0
5940,0.0,0.0,134.54821565289615,38868.693761893875,0.0
6000,0.0,0.0,137.7953832242099,38508.461844925936,0.0
6060,0.0,0.0,141.10810039597303,38155.43231132151,0.0
6120,0.0,0.0,144.48707036788025,37798.693518805405,0.0
6180,0.0,0.0,147.93297320665235,37486.876211350325,0.0
6240,0.0,0.0,151.44646412766042,37169.68707785986,0.0
6300,0.0,0.0,155.02817174133213,36815.12059083659,0.0
6360,0.0,0.0,158.67869626667434,36365.84067473513,0.0
6420,0.0,0.0,162.3986077149533,36026.321605427984,0.0
6480,0.0,0.0,166.18844404653228,35667.36557237212,0.0
6540,0.0,0.0,170.04870930411016,35300.218714067254,0.0
6600,0.0,0.0,173.97987172635248,34951.74761760885,0.0
6660,0.0,0.0,177.98236184539027,34491.9355447571,0.0
6720,0.0,0.0,182.05657057274576,34065.08730814102,0.0
6780,0.0,0.0,186.20284727811432,33653.4414198381,0.0
6840,0.0,0.0,190.42149786573918,33262.67103815352,0.0
6900,0.0,0.0,194.7127828534996,32854.24870810435,0.0
6960,0.0,0.0,199.07691546012043,32416.526450595346,0.0
7020,0.0,0.0,203.51405970594365,31898.817165848195,0.0
7080,0.0,0.0,208.02432853333056,31463.14491478273,0.0
7140,0.0,0.0,212.60778195275915,31036.39867788404,0.0
7200,0.0,0.0,217.26442522091696,30641.233987664145,0.0
7260,0.0,0.0,221.99420705744436,30107.85702933132,0.0
7320,0.0,0.0,226.7970179069927,29640.310999607686,0.0
7380,0.0,0.0,231.67268825365414,29084.383754710387,0.0
7440,0.0,0.0,236.62098699471807,28634.710489496993,0.0
7500,0.0,0.0,241.6416198811784,28181.502906645423,0.0
7560,0.0,0.0,246.7342280320063,27655.601944146587,0.0
7620,0.0,0.0,251.8983865298791,27151.093250591108,0.0
7680,0.0,0.0,257.1336031055044,26577.958221690125,0.0
7740,0.0,0.0,262.43931691807256,26050.98945659248,0.0
7800,0.0,0.0,267.8148974392288,25544.036755520625,0.0
7860,0.0,0.0,273.25964344772405,25013.35250815816,0.0
7920,0.0,0.0,278.7727821419722,24445.887242238256,0.0
7980,0.0,0.0,284.3534683774903,23890.240833260905,0.0
8040,0.0,0.0,290.0007840359607,23283.571412171932,0.0
8100,0.0,0.0,295.71373753248145,22744.37272934643,0.0
8160,0.0,0.0,301.4912634672146,22205.34374513292,0.0
8220,0.0,0.0,307.3322224272663,21606.943470604663,0.0
8280,0.0,0.0,313.2354009443507,21018.559754418467,0.0
8340,0.0,0.0,319.1995116132079,20360.006693018535,0.0
8400,0.0,0.0,325.2231933754321,19793.630943643017,0.0
8460,0.0,0.0,331.3050119726429,19206.899087576257,0.0
8520,0.0,0.0,337.44346057259185,18614.15253710351,0.0
8580,0.0,0.0,343.63696057094796,17976.454585925872,0.0
8640,0.0,0.0,349.88386257115053,17346.39979025652,0.0
8700,0.0,0.0,356.1824475436974,16697.670172100738,0.0
8760,0.0,0.0,362.5309281658828,16076.414015860653,0.0
8820,0.0,0.0,368.9274503419631,15455.48875483302,0.0
8880,0.0,0.0,375.37009490314716,14814.688176310166,0.0
8940,0.0,0.0,381.85687948604004,14141.314145111393,0.0
9000,0.0,0.0,388.3857605872649,13497.303613375001,0.0
9060,0.0,0.0,394.9546357911819,12832.090613141361,0.0
9120,0.0,0.0,401.5613461670955,12185.229037807298,0.0
9180,0.0,0.0,408.2036788309707,11541.150037461564,0.0
9240,0.0,0.0,414.8793696666068,10858.950757270446,0.0
9300,0.0,0.0,421.5861061998941,10186.111441786723,0.0
9360,0.0,0.0,428.3215306190538,9500.124891104595,0.0
9420,0.0,0.0,435.0832429334379,8831.260663146106,0.0
9480,0.0,0.0,441.8688042621607,8163.337493778627,0.0
9540,0.0,0.0,448.67574024362216,7484.892616451686,0.0
9600,0.0,0.0,455.50154455622095,6793.645233199625,0.0
9660,0.0,0.0,462.3436825398118,6111.375810832112,0.0
9720,0.0,0.0,469.19959490703815,5417.862300556727,0.0
9780,0.0,0.0,476.06670153335335,4738.492913124275,0.0
9840,0.0,0.0,482.94240531356564,4058.1759424194947,0.0
9900,0.0,0.0,489.82409607324104,3367.171011218301,0.0
9960,0.0,0.0,496.70915452212813,2679.756570488379,0.0
10020,0.0,0.0,503.59495623702423,1987.0576314341797,0.0
10080,0.0,0.0,510.4788756614639,1298.5667550993005,0.0
10140,0.0,0.0,517.3582901087573,611.0765216867911,0.0
10200,0.0,0.0,524.2292151018612,-75.46260214668416,0.0
10260,0.0,0.0,531.0840520814331,-760.7953977192449,0.0
10320,0.0,0.0,537.926418337387,-1447.6864880645949,0.0
10380,0.0,0.0,544.7537172014556,-2128.6405630493596,0.0
10440,0.0,0.0,551.5634040218686,-2809.1644302041823,0.0
10500,0.0,0.0,558.3529606510057,-3488.342120135995,0.0
10560,0.0,0.0,565.1198991083356,-4158.655171298423,0.0
10620,0.0,0.0,571.8617651483607,-4845.229726258164,0.0
10680,0.0,0.0,578.5761417226444,-5517.398601046595,0.0
10740,0.0,0.0,585.2606523252157,-6179.61724123822,0.0
10800,0.0,0.0,591.9129642129974,-6842.9611711828675,0.0
10860,0.0,0.0,598.5307914918415,-7518.115605044916,0.0
10920,0.0,0.0,605.111898060327,-8171.152791890971,0.0
10980,0.0,0.0,611.6541004038826,-8831.136208557324,0.0
11040,0.0,0.0,618.155270232862,-9474.143600815527,0.0
11100,0.0,0.0,624.6133369583715,-10103.43896387345,0.0
11160,0.0,0.0,631.0262900013112,-10764.760898515997,0.0
