t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,100.0,0.0
60,0.0,0.0,10.007601484232314,-399.125979090165,0.0
120,0.0,0.0,10.006580760938697,-400.5635870920319,0.0
180,0.0,0.0,10.005560141753543,-399.9427746731884,0.0
240,0.0,0.0,10.004539626666237,-399.744907713921,0.0
300,0.0,0.0,10.003519215666163,-400.0718538308204,0.0
360,0.0,0.0,10.002498908742703,-400.62569336236265,0.0
420,0.0,0.0,10.001478705885242,-400.2051597497994,0.0
480,0.0,0.0,10.000458607083164,-399.9344051606619,0.0
540,0.0,0.0,9.999438612325859,-399.2054032918404,0.0
600,0.0,0.0,9.998418721602713,-399.71412552933293,0.0
660,0.0,0.0,9.997398934903114,-400.1676114311465,0.0
720,0.0,0.0,9.996379252216455,-400.05933286975977,0.0
780,0.0,0.0,9.995359673532125,-399.7044037172826,0.0
840,0.0,0.0,9.994340198839518,-399.30783755317447,0.0
900,0.0,0.0,9.993320828128025,-399.34039862154697,0.0
960,0.0,0.0,9.992301561387045,-399.6228491333839,0.0
1020,0.0,0.0,9.991282398605968,-399.79877420871344,0.0
1080,0.0,0.0,9.990263339774192,-399.7325127169016,0.0
1140,0.0,0.0,9.989244384881117,-398.6900789828348,0.0
1200,0.0,0.0,9.988225533916141,-399.0486626816927,0.0
1260,0.0,0.0,9.987206786868665,-399.4565644690388,0.0
1320,0.0,0.0,9.986188143728087,-399.47165154113253,0.0
1380,0.0,0.0,9.985169604483811,-399.7326884402828,0.0
1440,0.0,0.0,9.98415116912524,-398.30980853883847,0.0
1500,0.0,0.0,9.98313283764178,-398.7647511434791,0.0
1560,0.0,0.0,9.982114610022832,-398.88272573435773,0.0
1620,0.0,0.0,9.981096486257805,-399.6082233749443,0.0
1680,0.0,0.0,9.980078466336105,-399.1576462212825,0.0
1740,0.0,0.0,9.979060550247143,-399.1602161833177,0.0
1800,0.0,0.0,9.978042737980326,-398.39655189556856,0.0
1860,0.0,0.0,9.977025029525064,-398.5039178275097,0.0
1920,0.0,0.0,9.976007424870772,-398.9336042912202,0.0
1980,0.0,0.0,9.974989924006863,-399.0260482530921,0.0
2040,0.0,0.0,9.973972526922747,-398.47785003666775,0.0
2100,0.0,0.0,9.972955233607843,-398.5375816555068,0.0
2160,0.0,0.0,9.971938044051564,-398.0209085875464,0.0
2220,0.0,0.0,9.97092095824333,-398.44046844641855,0.0
2280,0.0,0.0,9.969903976172557,-399.06842513756305,0.0
2340,0.0,0.0,9.968887097828663,-398.5443407978884,0.0
2400,0.0,0.0,9.967870323201073,-398.3604657947573,0.0
2460,0.0,0.0,9.966853652279204,-397.80528060288236,0.0
2520,0.0,0.0,9.965837085052483,-398.0631264713886,0.0
2580,0.0,0.0,9.964820621510329,-398.9302478018425,0.0
2640,0.0,0.0,9.963804261642169,-398.2885091061182,0.0
2700,0.0,0.0,9.96278800543743,-398.3316173002258,0.0
2760,0.0,0.0,9.961771852885537,-397.0868463315168,0.0
