t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,7000.0,0.0
60,0.0,0.0,6.589857370373062,31603.321983194088,0.0
120,0.0,0.0,4.762608966440956,31668.752758374914,0.0
180,0.0,0.0,3.4427284295824214,31684.251658033612,0.0
240,0.0,0.0,2.4892451239109423,31626.107648657347,0.0
300,0.0,0.0,1.799436876738917,31630.03673475772,0.0
360,0.0,0.0,1.300657832033017,31661.173585778324,0.0
420,0.0,0.0,0.9401891355090256,31676.707540956773,0.0
480,0.0,0.0,0.6797285091086975,31650.967146394123,0.0
540,0.0,0.0,0.49135599562564364,31660.032399543947,0.0
600,0.0,0.0,0.3552751165719034,31601.40636344071,0.0
660,0.0,0.0,0.25678659165733514,31644.235055401085,0.0
720,0.0,0.0,0.1855928573672589,31700.905707653317,0.0
780,0.0,0.0,0.13417952177641967,31670.03688391965,0.0
840,0.0,0.0,0.09699839489737302,31670.375496695604,0.0
900,0.0,0.0,0.07013310932935095,31617.319341852788,0.0
960,0.0,0.0,0.0506956610285462,31634.17186614484,0.0
1020,0.0,0.0,0.036642580647156454,31673.22008669677,0.0
1080,0.0,0.0,0.026487939172559503,31682.85249988146,0.0
1140,0.0,0.0,0.019151144624776496,31639.687525985875,0.0
1200,0.0,0.0,0.013843969150751706,31645.365666808142,0.0
1260,0.0,0.0,0.010008686114659111,31619.358235244104,0.0
1320,0.0,0.0,0.007234322920624802,31654.327170997687,0.0
1380,0.0,0.0,0.005228762863136106,31704.21462975169,0.0
1440,0.0,0.0,0.0037807212490929766,31643.00326502966,0.0
1500,0.0,0.0,0.0027329918795847984,31649.9150730826,0.0
1560,0.0,0.0,0.001975939230898785,31612.48923118196,0.0
1620,0.0,0.0,0.0014280873021276866,31672.915826291563,0.0
1680,0.0,0.0,0.0010323850431943184,31666.716765275665,0.0
1740,0.0,0.0,0.000746207390591249,31707.426050963375,0.0
1800,0.0,0.0,0.0005395475843587486,31645.91536016912,0.0
1860,0.0,0.0,0.00039005721111516693,31631.227548241746,0.0
1920,0.0,0.0,0.000281962812544717,31638.970272990824,0.0
1980,0.0,0.0,0.0002038109631273159,31664.29491905945,0.0
2040,0.0,0.0,0.00014733014260161396,31674.333352688096,0.0
2100,0.0,0.0,0.0001065046158658094,31673.917333340396,0.0
2160,0.0,0.0,7.701453246735026e-05,31593.5031065207,0.0
2220,0.0,0.0,5.5665453610854936e-05,31632.284560421907,0.0
2280,0.0,0.0,4.023401813821408e-05,31675.204891777215,0.0
2340,0.0,0.0,2.9085364380161383e-05,31672.91825876235,0.0
2400,0.0,0.0,2.102438190798394e-05,31693.275186754567,0.0
2460,0.0,0.0,1.5201631843659193e-05,31634.068613229334,0.0
2520,0.0,0.0,1.0989622664907856e-05,31623.424414417186,0.0
2580,0.0,0.0,7.942799720707833e-06,31677.44920667293,0.0
2640,0.0,0.0,5.7419999414676926e-06,31670.256672129413,0.0
2700,0.0,0.0,4.150544339964687e-06,31693.85492777592,0.0
2760,0.0,0.0,3.0014846501663395e-06,31596.703796013386,0.0
2820,0.0,0.0,2.169578450774626e-06,31620.24646508469,0.0
2880,0.0,0.0,1.5682930639279443e-06,31634.469965859145,0.0
2940,0.0,0.0,1.1335568704633138e-06,31673.21461616446,0.0
3000,0.0,0.0,8.194218087790143e-07,31681.279625143838,0.0
3060,0.0,0.0,5.924638538283968e-07,31633.27200313307,0.0
3120,0.0,0.0,4.28266922503725e-07,31647.256744693692,0.0
3180,0.0,0.0,3.0962126765603134e-07,31621.2611740644,0.0
3240,0.0,0.0,2.2379710225982712e-07,31654.571797717566,0.0
3300,0.0,0.0,1.617524249836377e-07,31707.707818987437,0.0
3360,0.0,0.0,1.1694874598673523e-07,31663.667442506307,0.0
3420,0.0,0.0,8.454603569086636e-08,31650.449055837456,0.0
3480,0.0,0.0,6.112493285003776e-08,31619.176604804266,0.0
3540,0.0,0.0,4.41825004102302e-08,31646.05931721709,0.0
3600,0.0,0.0,3.193561836430718e-08,31679.891563672518,0.0
3660,0.0,0.0,2.3085959283099622e-08,31682.84460022741,0.0
3720,0.0,0.0,1.6692567649577057e-08,31620.782077492684,0.0
3780,0.0,0.0,1.206638899252195e-08,31633.959945634433,0.0
3840,0.0,0.0,8.722516457762809e-09,31640.547463847568,0.0
3900,0.0,0.0,6.304517129074102e-09,31684.872675818715,0.0
3960,0.0,0.0,4.557645809782233e-09,31677.122176472625,0.0
4020,0.0,0.0,3.294847134728548e-09,31668.2471686143,0.0
4080,0.0,0.0,2.3825570457139955e-09,31585.049184767835,0.0
4140,0.0,0.0,1.722029136543031e-09,31633.737945825404,0.0
4200,0.0,0.0,1.244633805441726e-09,31681.05129119584,0.0
4260,0.0,0.0,8.997776885711929e-10,31670.619199118606,0.0
4320,0.0,0.0,6.503932547934937e-10,31696.233225342054,0.0
4380,0.0,0.0,4.70271166807902e-10,31633.342585995117,0.0
4440,0.0,0.0,3.3996714575954884e-10,31625.141064475978,0.0
