t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,100.0,0.0
60,0.0,0.0,8.691843603952893e-07,2144.918557948936,0.0
120,0.0,0.0,1.3961959322848577e-06,2149.987404364278,0.0
180,0.0,0.0,1.060754449319481e-07,2149.9999687785403,0.0
240,0.0,0.0,1.171000582946553e-06,2149.9999999226106,0.0
300,0.0,0.0,-1.3839627140326369e-06,2149.9999999998067,0.0
360,0.0,0.0,-6.628152262277534e-07,2149.999999999999,0.0
420,0.0,0.0,-1.687065351721828e-07,2150.0,0.0
480,0.0,0.0,-7.147813877900592e-07,2149.999999999999,0.0
540,0.0,0.0,9.031785094984964e-07,2150.0000000000005,0.0
600,0.0,0.0,2.003891438992428e-06,2150.0000000000014,0.0
660,0.0,0.0,4.419413548508605e-07,2150.0000000000005,0.0
720,0.0,0.0,-2.9196463129282315e-07,2149.9999999999995,0.0
780,0.0,0.0,2.732398500328633e-07,2150.0,0.0
840,0.0,0.0,-3.7602785100306245e-07,2149.9999999999995,0.0
900,0.0,0.0,-5.248810556916734e-07,2149.999999999999,0.0
960,0.0,0.0,-2.759477984947015e-07,2149.9999999999995,0.0
1020,0.0,0.0,8.942539455854538e-07,2150.000000000001,0.0
1080,0.0,0.0,1.6348081427307054e-06,2150.0000000000014,0.0
1140,0.0,0.0,1.2337573352982207e-06,2150.000000000001,0.0
1200,0.0,0.0,3.724914841896516e-07,2150.0,0.0
1260,0.0,0.0,1.3874679040189611e-07,2150.0,0.0
1320,0.0,0.0,-1.483376152641494e-06,2149.999999999998,0.0
1380,0.0,0.0,-4.3566412060068844e-07,2149.9999999999995,0.0
1440,0.0,0.0,-9.340703566877896e-07,2149.9999999999986,0.0
1500,0.0,0.0,7.164646207135879e-07,2150.0000000000005,0.0
1560,0.0,0.0,1.3236430162102286e-06,2150.0000000000014,0.0
1620,0.0,0.0,2.0538738396454683e-06,2150.000000000002,0.0
1680,0.0,0.0,-1.6514320652324522e-07,2149.9999999999995,0.0
1740,0.0,0.0,4.5482121112848414e-07,2150.0,0.0
1800,0.0,0.0,-7.500508021037756e-07,2149.999999999999,0.0
1860,0.0,0.0,-2.71917300362983e-07,2149.9999999999995,0.0
1920,0.0,0.0,-1.9737373898485604e-07,2149.9999999999995,0.0
1980,0.0,0.0,6.019542877336256e-07,2150.0000000000005,0.0
2040,0.0,0.0,1.0465130084610216e-06,2150.000000000001,0.0
2100,0.0,0.0,7.918176356198315e-07,2150.0000000000005,0.0
2160,0.0,0.0,-1.1928246034722376e-07,2149.9999999999995,0.0
2220,0.0,0.0,-8.039142328922133e-08,2150.0,0.0
2280,0.0,0.0,-4.5435465782050006e-07,2149.9999999999995,0.0
2340,0.0,0.0,-3.6294151379182554e-07,2149.999999999999,0.0
2400,0.0,0.0,-7.792829275612933e-07,2149.999999999999,0.0
2460,0.0,0.0,6.87197332737447e-07,2150.0000000000005,0.0
2520,0.0,0.0,9.182253032435217e-07,2150.000000000001,0.0
2580,0.0,0.0,1.3032177757213924e-06,2150.0000000000014,0.0
2640,0.0,0.0,-1.4430906229256104e-07,2149.9999999999995,0.0
