t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,7000.0,0.0
60,0.0,0.0,10.280132378946643,4628906.229636146,0.0
120,0.0,0.0,10.569146238650674,4640913.035191911,0.0
180,0.0,0.0,10.866285383906929,4641265.314508548,0.0
240,0.0,0.0,11.171778247587799,4644742.115821203,0.0
300,0.0,0.0,11.485859684678342,4638921.551328807,0.0
360,0.0,0.0,11.808771152850198,4641808.2300759405,0.0
420,0.0,0.0,12.14076089806112,4632881.10497546,0.0
480,0.0,0.0,12.482084145421913,4639326.239448263,0.0
540,0.0,0.0,12.83300329539767,4648059.879388575,0.0
600,0.0,0.0,13.19378812551812,4642831.17146533,0.0
660,0.0,0.0,13.564715997816785,4643262.867670862,0.0
720,0.0,0.0,13.9460720720151,4635318.206502843,0.0
780,0.0,0.0,14.338149524781302,4637937.779873715,0.0
840,0.0,0.0,14.741249775091392,4643593.014471668,0.0
900,0.0,0.0,15.155682715964495,4644864.652934009,0.0
960,0.0,0.0,15.581766952692222,4637830.820204121,0.0
1020,0.0,0.0,16.01983004779526,4639496.399545281,0.0
1080,0.0,0.0,16.470208772819053,4635956.608737301,0.0
1140,0.0,0.0,16.933249367247377,4640861.9826893415,0.0
1200,0.0,0.0,17.409307804687916,4648406.112846922,0.0
1260,0.0,0.0,17.898750066506825,4642180.578952287,0.0
1320,0.0,0.0,18.401952423235883,4640015.616150023,0.0
1380,0.0,0.0,18.919301723794344,4635551.655291171,0.0
1440,0.0,0.0,19.451195692912403,4639555.013188959,0.0
1500,0.0,0.0,19.99804323688088,4649684.7253896715,0.0
1560,0.0,0.0,20.560264757899915,4642175.565199353,0.0
1620,0.0,0.0,21.138292477308074,4642920.250974413,0.0
1680,0.0,0.0,21.732570767816238,4630739.867304005,0.0
1740,0.0,0.0,22.343556495173733,4638661.568110832,0.0
1800,0.0,0.0,22.971719369362532,4642466.531117261,0.0
1860,0.0,0.0,23.617542305704298,4643152.881226987,0.0
1920,0.0,0.0,24.28152179613163,4643569.734921523,0.0
1980,0.0,0.0,24.964168290847503,4631449.263824491,0.0
2040,0.0,0.0,25.666006590789443,4637731.947293001,0.0
2100,0.0,0.0,26.387576251043594,4644325.715963244,0.0
2160,0.0,0.0,27.129431995636327,4643334.509278959,0.0
2220,0.0,0.0,27.892144144044757,4646507.603781102,0.0
2280,0.0,0.0,28.67629904956741,4637547.83841512,0.0
2340,0.0,0.0,29.482499550183878,4636382.914192006,0.0
2400,0.0,0.0,30.311365431927847,4640863.972627641,0.0
2460,0.0,0.0,31.163533905394473,4643862.848021506,0.0
2520,0.0,0.0,32.039660095599196,4642289.415823198,0.0
2580,0.0,0.0,32.940417545646895,4641950.628310281,0.0
2640,0.0,0.0,33.866498734498514,4632432.196700736,0.0
2700,0.0,0.0,34.81861560936873,4638477.649033867,0.0
2760,0.0,0.0,35.797500133025004,4646092.804120769,0.0
2820,0.0,0.0,36.803904846480734,4643478.100591463,0.0
2880,0.0,0.0,37.83860344760165,4642362.801871579,0.0
2940,0.0,0.0,38.90239138582847,4634924.301402633,0.0
3000,0.0,0.0,39.99608647375913,4637919.176526051,0.0
3060,0.0,0.0,41.120529515803675,4640799.958839357,0.0
3120,0.0,0.0,42.27658495463195,4649159.123223764,0.0
3180,0.0,0.0,43.46514153564512,4641847.6499211835,0.0
3240,0.0,0.0,44.68711299035845,4640463.539984498,0.0
3300,0.0,0.0,45.94343873872502,4635762.754129969,0.0
3360,0.0,0.0,47.235084611412795,4639630.644364777,0.0
3420,0.0,0.0,48.563043592267285,4644399.338123227,0.0
3480,0.0,0.0,49.92833658171808,4644840.46396614,0.0
3540,0.0,0.0,51.33201318158875,4635094.606021366,0.0
3600,0.0,0.0,52.77515250208201,4637923.744289305,0.0
3660,0.0,0.0,54.25886399128054,4639168.4411951015,0.0
3720,0.0,0.0,55.78428828808574,4642280.935311627,0.0
3780,0.0,0.0,57.35259809916572,4648266.310849365,0.0
3840,0.0,0.0,58.964999100384496,4640648.991959268,0.0
3900,0.0,0.0,60.62273086386221,4637622.876587359,0.0
3960,0.0,0.0,62.327067810791604,4638036.7459227815,0.0
4020,0.0,0.0,64.07932019120453,4641433.50755186,0.0
4080,0.0,0.0,65.88083509131714,4646437.53979586,0.0
4140,0.0,0.0,67.73299746901469,4638491.179962699,0.0
4200,0.0,0.0,69.63723121875006,4637988.083112455,0.0
