t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,0.5,0.0
60,0.0,0.0,10.038888850579104,0.33331966239139676,0.0
120,0.0,0.0,10.06748780786289,0.3329568298471359,0.0
180,0.0,0.0,10.096166316334882,0.332571645727072,0.0
240,0.0,0.0,10.124887338621674,0.33275397266307105,0.0
300,0.0,0.0,10.153660343031884,0.3333523331182212,0.0
360,0.0,0.0,10.182557616067553,0.33322734163360307,0.0
420,0.0,0.0,10.211551658520518,0.33282026323012365,0.0
480,0.0,0.0,10.240622397109174,0.33245136246292223,0.0
540,0.0,0.0,10.269735446643875,0.3326602205266003,0.0
600,0.0,0.0,10.298921920206205,0.3329602987661055,0.0
660,0.0,0.0,10.328181806256778,0.33335414710435696,0.0
720,0.0,0.0,10.357573637547159,0.3329371506014046,0.0
780,0.0,0.0,10.387043930249868,0.3325456720921229,0.0
840,0.0,0.0,10.416574709832782,0.33245945446938535,0.0
900,0.0,0.0,10.446156296410003,0.3328271629154068,0.0
960,0.0,0.0,10.475821980189643,0.3331383759491194,0.0
1020,0.0,0.0,10.50559483081474,0.33304424164028673,0.0
1080,0.0,0.0,10.535468298492352,0.3326510683198394,0.0
1140,0.0,0.0,10.565414964890358,0.33238088568156854,0.0
1200,0.0,0.0,10.595406016948349,0.3326718721413452,0.0
1260,0.0,0.0,10.625475159448671,0.3330130848503482,0.0
1320,0.0,0.0,10.655642152738212,0.3331098760423427,0.0
1380,0.0,0.0,10.685930235761449,0.332618271360513,0.0
1440,0.0,0.0,10.716277972401741,0.3324663559935517,0.0
1500,0.0,0.0,10.746705669719297,0.33235099053498673,0.0
1560,0.0,0.0,10.777163127583103,0.33302200071288013,0.0
1620,0.0,0.0,10.807742965527877,0.3331008767937666,0.0
1680,0.0,0.0,10.838426245067032,0.3328758822574211,0.0
1740,0.0,0.0,10.869220055486736,0.33224828355697344,0.0
1800,0.0,0.0,10.900042873447033,0.33242425781010976,0.0
1860,0.0,0.0,10.930959779871555,0.3324448005776828,0.0
1920,0.0,0.0,10.961902656404883,0.333311107749005,0.0
1980,0.0,0.0,10.993014727221514,0.3329285436210459,0.0
2040,0.0,0.0,11.024208909282327,0.3325782266985187,0.0
2100,0.0,0.0,11.055497579727255,0.3320836163564617,0.0
2160,0.0,0.0,11.086807133407973,0.3325133814373395,0.0
2220,0.0,0.0,11.118224054586442,0.33261503950692894,0.0
2280,0.0,0.0,11.149697074032114,0.33313200424244016,0.0
2340,0.0,0.0,11.181325335601402,0.3326410608513436,0.0
2400,0.0,0.0,11.213027814769521,0.33231318603998855,0.0
2460,0.0,0.0,11.244798452107743,0.3322366993691155,0.0
2520,0.0,0.0,11.276618438688832,0.33267920731896927,0.0
2580,0.0,0.0,11.308549237160632,0.3327678310044965,0.0
2640,0.0,0.0,11.340585061958071,0.332590275217087,0.0
2700,0.0,0.0,11.37270839677409,0.3323989897619355,0.0
2760,0.0,0.0,11.40492336291843,0.3321389698937518,0.0
2820,0.0,0.0,11.437159305794056,0.33280489582776956,0.0
2880,0.0,0.0,11.469550587301168,0.33251207632294855,0.0
2940,0.0,0.0,11.501982017433496,0.33287865574010744,0.0
3000,0.0,0.0,11.534555233246637,0.33248815301753576,0.0
3060,0.0,0.0,11.567231709781753,0.33188454882146756,0.0
3120,0.0,0.0,11.599919771632411,0.33234003175524884,0.0
3180,0.0,0.0,11.63272217916641,0.33243170612657824,0.0
3240,0.0,0.0,11.665592202715755,0.33280798083077956,0.0
3300,0.0,0.0,11.69859860759523,0.33252630843758463,0.0
3360,0.0,0.0,11.73170124133755,0.33214456046826835,0.0
3420,0.0,0.0,11.764868801395936,0.33209320095177,0.0
3480,0.0,0.0,11.798075928713788,0.3327172255955728,0.0
3540,0.0,0.0,11.831428794077327,0.3325738994421215,0.0
3600,0.0,0.0,11.864863037926508,0.3325430772535543,0.0
3660,0.0,0.0,11.898422170061318,0.3320401959895081,0.0
3720,0.0,0.0,11.932029153894462,0.3321076991312312,0.0
3780,0.0,0.0,11.965728447375103,0.3321479346316987,0.0
3840,0.0,0.0,11.999452544955586,0.33306608157831286,0.0
3900,0.0,0.0,12.03337574727641,0.33253371323048453,0.0
3960,0.0,0.0,12.067386127146221,0.3320543815127856,0.0
4020,0.0,0.0,12.1014466908969,0.3321209741535332,0.0
4080,0.0,0.0,12.135625902430984,0.3318268139928926,0.0
4140,0.0,0.0,12.169825220990141,0.33247617265143653,0.0
4200,0.0,0.0,12.204158233193162,0.3325713532161662,0.0
4260,0.0,0.0,12.238613737611125,0.3322664785729572,0.0
4320,0.0,0.0,12.27315620260711,0.33203247378392176,0.0
4380,0.0,0.0,12.3077682333289,0.3320984295553698,0.0
4440,0.0,0.0,12.342477028848592,0.3321107214176239,0.0
4500,0.0,0.0,12.377225113257344,0.3328179900411665,0.0
4560,0.0,0.0,12.41215507211345,0.33237385542891706,0.0
4620,0.0,0.0,12.447186785306398,0.3318239399325671,0.0
4680,0.0,0.0,12.482259518771393,0.33195273508677237,0.0
4740,0.0,0.0,12.517429634217082,0.332034397590942,0.0
4800,0.0,0.0,12.552659992840917,0.3325472578967071,0.0
4860,0.0,0.0,12.58803719134098,0.33238663685140785,0.0
4920,0.0,0.0,12.623515639633226,0.33214055051570274,0.0
4980,0.0,0.0,12.659117896303394,0.33152685325087833,0.0
5040,0.0,0.0,12.694728249944355,0.3320133320884143,0.0
5100,0.0,0.0,12.730465446603151,0.33209747913266224,0.0
5160,0.0,0.0,12.766275889845055,0.3324587903287817,0.0
5220,0.0,0.0,12.802233390273436,0.33217275638127386,0.0
5280,0.0,0.0,12.838293776375126,0.33179992609881664,0.0
5340,0.0,0.0,12.87442423004785,0.33175262281035384,0.0
5400,0.0,0.0,12.910595285309837,0.33239712191197923,0.0
5460,0.0,0.0,12.946927734966538,0.33223332066292743,0.0
5520,0.0,0.0,12.983348579428275,0.3321730709008719,0.0
5580,0.0,0.0,13.019901129308689,0.33168479360624636,0.0
5640,0.0,0.0,13.056505179748434,0.33176012492842655,0.0
5700,0.0,0.0,13.093207720934323,0.3318216981128397,0.0
5760,0.0,0.0,13.129939495300023,0.3327181852348366,0.0
5820,0.0,0.0,13.16688665147226,0.33217712824533013,0.0
5880,0.0,0.0,13.20392869546609,0.33167781750769304,0.0
5940,0.0,0.0,13.241020675331905,0.3317673300434973,0.0
6000,0.0,0.0,13.278242070867288,0.3314833383773615,0.0
6060,0.0,0.0,13.315484643042227,0.3321351799711322,0.0
6120,0.0,0.0,13.352873696240565,0.33221281604466313,0.0
6180,0.0,0.0,13.390395185061488,0.3318918574573374,0.0
6240,0.0,0.0,13.428008276447164,0.33166648729943554,0.0
6300,0.0,0.0,13.465694516262927,0.33175859477171604,0.0
6360,0.0,0.0,13.503488009595378,0.3317626590042598,0.0
6420,0.0,0.0,13.541323981083764,0.3324499371712255,0.0
6480,0.0,0.0,13.579356192436334,0.33200045059903643,0.0
