t,Tpos,Tpro,Tneg,o2,test
0,0.0,0.0,10.0,100.0,0.0
60,0.0,0.0,10.030090114262526,-79.83481428988377,0.0
120,0.0,0.0,10.029067097245626,-80.32651834141171,0.0
180,0.0,0.0,10.028044184571142,-80.18857007282068,0.0
240,0.0,0.0,10.027021376228427,-80.18483075414747,0.0
300,0.0,0.0,10.025998672206846,-80.29318925642671,0.0
360,0.0,0.0,10.02497607249575,-80.31455465442234,0.0
420,0.0,0.0,10.023953577084509,-80.28784192853423,0.0
480,0.0,0.0,10.022931185962479,-80.13800957344482,0.0
540,0.0,0.0,10.021908899119026,-80.09966191298565,0.0
600,0.0,0.0,10.020886716543515,-80.17313832387805,0.0
660,0.0,0.0,10.019864638225307,-80.29211037618727,0.0
720,0.0,0.0,10.018842664153771,-80.22791854901148,0.0
780,0.0,0.0,10.017820794318276,-80.18383766690545,0.0
840,0.0,0.0,10.016799028708187,-80.0198941576852,0.0
900,0.0,0.0,10.015777367312875,-80.09700185591163,0.0
960,0.0,0.0,10.014755810121711,-80.16211651080305,0.0
1020,0.0,0.0,10.013734357124068,-80.24798168470717,0.0
1080,0.0,0.0,10.012713008309316,-80.105652130846,0.0
1140,0.0,0.0,10.011691763666832,-80.0741210034928,0.0
1200,0.0,0.0,10.010670623185986,-79.99384821066796,0.0
1260,0.0,0.0,10.00964958685616,-80.10454583104722,0.0
1320,0.0,0.0,10.008628654666728,-80.13461555566471,0.0
1380,0.0,0.0,10.007607826607067,-80.14466098171872,0.0
1440,0.0,0.0,10.00658710266656,-79.96812224208132,0.0
1500,0.0,0.0,10.005566482834585,-79.97973587045495,0.0
1560,0.0,0.0,10.004545967100523,-80.02657018314893,0.0
1620,0.0,0.0,10.003525555453756,-80.08344418689423,0.0
1680,0.0,0.0,10.002505247883672,-80.08370912266582,0.0
1740,0.0,0.0,10.00148504437965,-79.98200104293304,0.0
1800,0.0,0.0,10.00046494493108,-79.85398569811471,0.0
1860,0.0,0.0,9.999444949527348,-79.92810742787645,0.0
1920,0.0,0.0,9.998425058157839,-80.07421043173186,0.0
1980,0.0,0.0,9.997405270811944,-80.00927523181156,0.0
2040,0.0,0.0,9.996385587479056,-80.01000444340282,0.0
2100,0.0,0.0,9.995366008148563,-79.80169354066295,0.0
2160,0.0,0.0,9.994346532809857,-79.87233184844115,0.0
2220,0.0,0.0,9.993327161452333,-79.94683979721214,0.0
2280,0.0,0.0,9.992307894065384,-79.9523592674858,0.0
2340,0.0,0.0,9.991288730638408,-80.01378792495676,0.0
2400,0.0,0.0,9.9902696711608,-79.85689457403672,0.0
2460,0.0,0.0,9.989250715621958,-79.80411062982668,0.0
2520,0.0,0.0,9.988231864011281,-79.89333403864211,0.0
2580,0.0,0.0,9.987213116318168,-79.89200628105273,0.0
2640,0.0,0.0,9.986194472532022,-79.95192942946628,0.0
2700,0.0,0.0,9.985175932642239,-79.72882425268898,0.0
2760,0.0,0.0,9.984157496638229,-79.75410408572124,0.0
2820,0.0,0.0,9.983139164509392,-79.75608778604942,0.0
2880,0.0,0.0,9.982120936245137,-79.84387087160799,0.0
2940,0.0,0.0,9.981102811834868,-79.86181240965765,0.0
3000,0.0,0.0,9.980084791267991,-79.7609570362033,0.0
3060,0.0,0.0,9.979066874533919,-79.77516369687392,0.0
3120,0.0,0.0,9.978049061622055,-79.65777875806202,0.0
3180,0.0,0.0,9.977031352521816,-79.74508012563197,0.0
3240,0.0,0.0,9.976013747222611,-79.87489650708766,0.0
3300,0.0,0.0,9.974996245713854,-79.7711652653546,0.0
3360,0.0,0.0,9.973978847984956,-79.74154625399453,0.0
3420,0.0,0.0,9.972961554025336,-79.62163265400501,0.0
3480,0.0,0.0,9.971944363824406,-79.66974157271335,0.0
3540,0.0,0.0,9.970927277371588,-79.75474180355063,0.0
3600,0.0,0.0,9.969910294656296,-79.76039190243749,0.0
3660,0.0,0.0,9.968893415667953,-79.61790894393583,0.0
3720,0.0,0.0,9.967876640395973,-79.62766482013102,0.0
3780,0.0,0.0,9.966859968829784,-79.5926837011714,0.0
3840,0.0,0.0,9.965843400958805,-79.71104463094821,0.0
3900,0.0,0.0,9.964826936772461,-79.69055366811787,0.0
3960,0.0,0.0,9.963810576260178,-79.69137744249808,0.0
4020,0.0,0.0,9.96279431941138,-79.44399578512987,0.0
4080,0.0,0.0,9.961778166215495,-79.55146395433268,0.0
4140,0.0,0.0,9.96076211666195,-79.63434828755514,0.0
4200,0.0,0.0,9.959746170740173,-79.62147040755914,0.0
